region,Lat,Long,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-20 00:00:00,2020-10-21 00:00:00,2020-10-22 00:00:00,2020-10-23 00:00:00,2020-10-24 00:00:00,2020-10-25 00:00:00,2020-10-26 00:00:00,2020-10-27 00:00:00,2020-10-28 00:00:00,2020-10-29 00:00:00,2020-10-30 00:00:00,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-03 00:00:00,2020-11-04 00:00:00,2020-11-05 00:00:00,2020-11-06 00:00:00,2020-11-07 00:00:00,2020-11-08 00:00:00,2020-11-09 00:00:00,2020-11-10 00:00:00,2020-11-11 00:00:00,2020-11-12 00:00:00,2020-11-13 00:00:00,2020-11-14 00:00:00,2020-11-15 00:00:00,2020-11-16 00:00:00,2020-11-17 00:00:00,2020-11-18 00:00:00,2020-11-19 00:00:00,2020-11-20 00:00:00,2020-11-21 00:00:00,2020-11-22 00:00:00,2020-11-23 00:00:00,2020-11-24 00:00:00,2020-11-25 00:00:00,2020-11-26 00:00:00,2020-11-27 00:00:00,2020-11-28 00:00:00,2020-11-29 00:00:00,2020-11-30 00:00:00,2020-12-01 00:00:00,2020-12-02 00:00:00,2020-12-03 00:00:00,2020-12-04 00:00:00,2020-12-05 00:00:00,2020-12-06 00:00:00,2020-12-07 00:00:00,2020-12-08 00:00:00,2020-12-09 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-12 00:00:00,2020-12-13 00:00:00,2020-12-14 00:00:00,2020-12-15 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-18 00:00:00,2020-12-19 00:00:00,2020-12-20 00:00:00,2020-12-21 00:00:00,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-24 00:00:00,2020-12-25 00:00:00,2020-12-26 00:00:00,2020-12-27 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-01-02 00:00:00,2021-01-03 00:00:00,2021-01-04 00:00:00,2021-01-05 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,2021-01-10 00:00:00,2021-01-11 00:00:00,2021-01-12 00:00:00,2021-01-13 00:00:00,2021-01-14 00:00:00,2021-01-15 00:00:00,2021-01-16 00:00:00,2021-01-17 00:00:00,2021-01-18 00:00:00,2021-01-19 00:00:00,2021-01-20 00:00:00,2021-01-21 00:00:00,2021-01-22 00:00:00,2021-01-23 00:00:00,2021-01-24 00:00:00,2021-01-25 00:00:00,2021-01-26 00:00:00,2021-01-27 00:00:00,2021-01-28 00:00:00,2021-01-29 00:00:00,2021-01-30 00:00:00,2021-01-31 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,2021-02-04 00:00:00,2021-02-05 00:00:00,2021-02-06 00:00:00,2021-02-07 00:00:00,2021-02-08 00:00:00,2021-02-09 00:00:00,2021-02-10 00:00:00,2021-02-11 00:00:00,2021-02-12 00:00:00,2021-02-13 00:00:00,2021-02-14 00:00:00,2021-02-15 00:00:00,2021-02-16 00:00:00,2021-02-17 00:00:00,2021-02-18 00:00:00,2021-02-19 00:00:00,2021-02-20 00:00:00,2021-02-21 00:00:00,2021-02-22 00:00:00,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-02-25 00:00:00,2021-02-26 00:00:00,2021-02-27 00:00:00,2021-02-28 00:00:00,2021-03-01 00:00:00,2021-03-02 00:00:00,2021-03-03 00:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-03-06 00:00:00,2021-03-07 00:00:00,2021-03-08 00:00:00,2021-03-09 00:00:00,2021-03-10 00:00:00,2021-03-11 00:00:00,2021-03-12 00:00:00,2021-03-13 00:00:00,2021-03-14 00:00:00,2021-03-15 00:00:00,2021-03-16 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-19 00:00:00,2021-03-20 00:00:00,2021-03-21 00:00:00,2021-03-22 00:00:00,2021-03-23 00:00:00,2021-03-24 00:00:00,2021-03-25 00:00:00,2021-03-26 00:00:00
Afghanistan_nan,33.93911,67.709953,54693.0,54741.0,38772.0,38815.0,38855.0,38872.0,38897.0,38919.0,39250.0,39289.0,39337.0,39353.0,39373.0,39382.0,39411.0,39427.0,39446.0,39461.0,39477.0,39484.0,39492.0,39530.0,39603.0,39668.0,39735.0,39802.0,39873.0,39889.0,39977.0,40040.0,40103.0,40175.0,40207.0,40268.0,40319.0,40375.0,40462.0,40543.0,40678.0,40793.0,40864.0,40947.0,41005.0,41101.0,41195.0,41307.0,41433.0,41507.0,41598.0,41671.0,41792.0,41891.0,41982.0,42102.0,42148.0,42209.0,42323.0,42450.0,42620.0,42772.0,42953.0,43126.0,43203.0,43391.0,43601.0,43814.0,44066.0,44314.0,44507.0,44656.0,44841.0,45104.0,45303.0,45522.0,45738.0,45870.0,45995.0,46240.0,46406.0,46653.0,46863.0,46991.0,47013.0,47207.0,47427.0,47652.0,47870.0,48014.0,48204.0,48279.0,48376.0,48651.0,48855.0,49099.0,49319.0,49524.0,49765.0,49841.0,49961.0,50149.0,50323.0,50571.0,50802.0,50968.0,51059.0,51187.0,51409.0,51507.0,51570.0,51684.0,51696.0,51699.0,51698.0,52976.0,53316.0,53337.0,53427.0,53439.0,53511.0,53598.0,53647.0,53763.0,53770.0,53926.0,54011.0,54113.0,54175.0,54238.0,54318.0,54443.0,54571.0,54664.0,54738.0,54776.0,54840.0,54919.0,55020.0,55074.0,55120.0,55186.0,55206.0,55237.0,55298.0,55353.0,55415.0,55453.0,55511.0,55527.0,55543.0,55568.0,55586.0,55606.0,55632.0,55660.0,55683.0,55704.0,55711.0,55729.0,55747.0,55764.0,55773.0,55794.0,55809.0,55835.0,55856.0,55872.0,55888.0,55899.0,55905.0,55923.0,55948.0,55963.0,55969.0,56013.0,56034.0,56040.0,56066.0,56068.0,56083.0,56107.0,56145.0,56155.0,58068.0,58507.0,58425.0,58425.0,58347.0,58371.0,58798.0,58905.0,61163.0,62725.0,63111.0,66177.0,68524.0
Albania_nan,41.1533,20.1683,31112.0,31256.0,11520.0,11672.0,11816.0,11948.0,12073.0,12226.0,12556.0,12711.0,12858.0,12998.0,13103.0,13227.0,13354.0,13481.0,13577.0,13719.0,13873.0,14004.0,14162.0,14325.0,14473.0,14633.0,14779.0,14946.0,15111.0,15282.0,15454.0,15622.0,15801.0,15993.0,16227.0,16471.0,16734.0,17044.0,17334.0,17622.0,17920.0,18229.0,18533.0,18836.0,19142.0,19436.0,19730.0,20041.0,20304.0,20646.0,20873.0,21237.0,21508.0,21887.0,22262.0,22681.0,23159.0,23627.0,24135.0,24664.0,25212.0,25716.0,26170.0,26684.0,27167.0,27743.0,28341.0,29037.0,29731.0,30514.0,31332.0,32078.0,32701.0,33495.0,34174.0,34850.0,35546.0,36184.0,36746.0,37563.0,38112.0,38964.0,39667.0,40448.0,41256.0,42087.0,42927.0,43653.0,44400.0,45145.0,45994.0,46812.0,47694.0,48503.0,49185.0,49970.0,50620.0,51385.0,52008.0,52548.0,53030.0,53447.0,53840.0,54337.0,54859.0,55429.0,55845.0,56321.0,56665.0,57185.0,57781.0,58373.0,58473.0,59010.0,59515.0,59717.0,60318.0,61057.0,61777.0,62487.0,63109.0,63680.0,64059.0,64628.0,65353.0,66037.0,66701.0,67290.0,67768.0,68066.0,68571.0,69266.0,69969.0,70729.0,71522.0,72353.0,72930.0,73698.0,74610.0,75488.0,76399.0,77295.0,78172.0,79033.0,79944.0,80954.0,82014.0,83110.0,84242.0,85371.0,86340.0,87496.0,88697.0,89785.0,90852.0,91973.0,93089.0,93897.0,94624.0,95669.0,96836.0,97943.0,99094.0,100297.0,101363.0,102339.0,103336.0,104320.0,105243.0,106206.0,107187.0,107981.0,108818.0,109707.0,110548.0,111350.0,112113.0,112933.0,113651.0,114253.0,114877.0,115485.0,116157.0,116290.0,121533.0,124624.0,123309.0,123156.0,124706.0,125584.0,125303.0,125303.0,126861.0,128558.0,128495.0,128207.0,128229.0
Algeria_nan,28.0339,1.6596,62912.0,63121.0,48496.0,48734.0,48966.0,49194.0,49413.0,49623.0,50159.0,50352.0,50540.0,50721.0,50898.0,51061.0,51215.0,51363.0,51517.0,51680.0,51842.0,52002.0,52152.0,52294.0,52428.0,52556.0,52678.0,52815.0,52961.0,53101.0,53235.0,53471.0,53574.0,53739.0,53934.0,54143.0,54359.0,54557.0,54765.0,54981.0,55221.0,55495.0,55770.0,56025.0,56284.0,56554.0,56837.0,57152.0,57463.0,57781.0,58076.0,58396.0,58702.0,59089.0,59625.0,60268.0,60915.0,61505.0,62148.0,62785.0,63505.0,64312.0,65161.0,66036.0,66883.0,67729.0,68626.0,69611.0,70655.0,71688.0,72780.0,73817.0,74877.0,75897.0,76991.0,78052.0,79112.0,80187.0,81228.0,82242.0,83219.0,84168.0,85104.0,85957.0,86756.0,87530.0,88283.0,88885.0,89449.0,90058.0,90638.0,91193.0,91721.0,92197.0,92687.0,93167.0,93611.0,94041.0,94478.0,94899.0,95318.0,95774.0,96201.0,96665.0,97142.0,97574.0,97989.0,98376.0,98752.0,99111.0,99433.0,99733.0,100020.0,100287.0,100537.0,100778.0,101010.0,101258.0,101526.0,101807.0,102072.0,102303.0,102522.0,102784.0,103020.0,103269.0,103538.0,103768.0,103988.0,104238.0,104495.0,104758.0,105011.0,105275.0,105530.0,105751.0,105999.0,106251.0,106507.0,106766.0,107036.0,107285.0,107494.0,107724.0,107988.0,108267.0,108539.0,108788.0,108819.0,109152.0,109517.0,109704.0,109951.0,110195.0,110464.0,110677.0,110853.0,111046.0,111217.0,111394.0,111568.0,111752.0,111926.0,112078.0,112250.0,112440.0,112625.0,112790.0,112964.0,113128.0,113256.0,113408.0,113589.0,113758.0,113925.0,114111.0,114276.0,114402.0,114539.0,114701.0,114846.0,115008.0,115176.0,115196.0,115157.0,115155.0,115154.0,120107.0,122364.0,120921.0,120930.0,120744.0,120744.0,123521.0,124885.0,124326.0,129494.0
Andorra_nan,42.5063,1.5218,22487.0,22568.0,1438.0,1438.0,1483.0,1483.0,1564.0,1564.0,2043.0,1681.0,2163.0,1753.0,2182.0,1836.0,2198.0,2310.0,1966.0,2446.0,2050.0,2448.0,2110.0,2418.0,2642.0,2370.0,3067.0,2568.0,3137.0,2696.0,3091.0,3349.0,2995.0,3676.0,3190.0,3754.0,3377.0,3766.0,3978.0,3623.0,4183.0,3811.0,4350.0,4038.0,4395.0,4642.0,4325.0,4504.0,4517.0,4752.0,4665.0,4756.0,4902.0,4922.0,5186.0,5045.0,5135.0,5572.0,5319.0,5458.0,5565.0,5640.0,5567.0,5765.0,5725.0,6077.0,5872.0,6031.0,6127.0,6038.0,6180.0,6164.0,6256.0,6356.0,6396.0,6466.0,6480.0,6534.0,6611.0,6909.0,6712.0,6874.0,6904.0,6925.0,6957.0,7042.0,7091.0,7135.0,7203.0,7210.0,7259.0,7319.0,7320.0,7359.0,7417.0,7440.0,7599.0,7453.0,7615.0,7584.0,7630.0,7717.0,7716.0,7733.0,7756.0,7826.0,7814.0,7857.0,7992.0,7936.0,8021.0,8051.0,8118.0,8172.0,8244.0,8342.0,8321.0,8362.0,8417.0,8617.0,8489.0,8586.0,8770.0,8812.0,8720.0,8818.0,9016.0,9037.0,9046.0,9154.0,9325.0,9204.0,9308.0,9447.0,9575.0,9525.0,9635.0,9686.0,9759.0,9758.0,9851.0,9915.0,9978.0,10005.0,10075.0,10107.0,10157.0,10177.0,10270.0,10310.0,10311.0,10382.0,10398.0,10431.0,10473.0,10514.0,10552.0,10580.0,10608.0,10663.0,10667.0,10701.0,10719.0,10760.0,10774.0,10819.0,10829.0,10841.0,10887.0,10914.0,10924.0,10961.0,10970.0,11012.0,11011.0,11055.0,11087.0,11107.0,11129.0,11144.0,11193.0,11167.0,11290.0,11199.0,11629.0,11581.0,11743.0,11743.0,11658.0,11658.0,12114.0,12109.0,12759.0,12650.0,12818.0,13479.0,13417.0
Angola_nan,-11.2027,17.8739,24248.0,24292.0,3439.0,3569.0,3675.0,3789.0,3848.0,3901.0,3991.0,4117.0,4236.0,4363.0,4475.0,4590.0,4745.0,4951.0,4881.0,4905.0,5163.0,5114.0,5321.0,5370.0,5752.0,5574.0,5725.0,6299.0,5958.0,6318.0,6246.0,6467.0,6666.0,6680.0,6961.0,7096.0,7489.0,7462.0,7769.0,7897.0,8145.0,8338.0,8663.0,8882.0,9308.0,9381.0,9731.0,10028.0,10233.0,10509.0,10607.0,10937.0,11180.0,11552.0,11577.0,12050.0,12138.0,12462.0,12548.0,12755.0,12716.0,13025.0,13139.0,13328.0,13384.0,13513.0,13753.0,13836.0,13916.0,14248.0,14264.0,14496.0,14578.0,14766.0,14808.0,14926.0,15057.0,15119.0,15209.0,15246.0,15337.0,15409.0,15405.0,15509.0,15660.0,15620.0,15767.0,15812.0,15874.0,15932.0,16056.0,16152.0,16251.0,16329.0,16468.0,16483.0,16535.0,16651.0,16697.0,16763.0,16805.0,16879.0,16957.0,17021.0,17127.0,17240.0,17312.0,17404.0,17423.0,17525.0,17577.0,17699.0,17686.0,17809.0,17818.0,17852.0,17918.0,18000.0,18088.0,18193.0,18300.0,18342.0,18433.0,18493.0,18552.0,18739.0,18751.0,18933.0,19024.0,19050.0,19176.0,19231.0,19314.0,19412.0,19503.0,19542.0,19658.0,19698.0,19729.0,19851.0,19861.0,19947.0,19968.0,20021.0,20071.0,20087.0,20171.0,20198.0,20243.0,20270.0,20296.0,20342.0,20375.0,20431.0,20468.0,20513.0,20546.0,20560.0,20583.0,20596.0,20638.0,20644.0,20687.0,20712.0,20737.0,20765.0,20815.0,20860.0,20927.0,20952.0,21000.0,21038.0,21051.0,21104.0,21154.0,21190.0,21234.0,21273.0,21291.0,21303.0,21353.0,21372.0,21435.0,21440.0,21474.0,21469.0,21462.0,21462.0,21464.0,21607.0,21541.0,22144.0,22197.0,22700.0,22788.0,22903.0,23948.0
Antigua and Barbuda_nan,17.0608,-61.7964,21411.0,21411.0,95.0,95.0,95.0,95.0,95.0,96.0,328.0,328.0,307.0,97.0,335.0,118.0,338.0,101.0,396.0,396.0,328.0,332.0,106.0,258.0,465.0,363.0,344.0,150.0,111.0,417.0,393.0,336.0,336.0,337.0,142.0,340.0,347.0,119.0,490.0,490.0,365.0,122.0,426.0,427.0,124.0,385.0,385.0,351.0,338.0,341.0,127.0,230.0,416.0,367.0,352.0,130.0,393.0,381.0,183.0,365.0,365.0,349.0,341.0,342.0,133.0,221.0,398.0,367.0,356.0,139.0,453.0,444.0,364.0,364.0,364.0,365.0,195.0,215.0,384.0,369.0,354.0,355.0,208.0,144.0,404.0,390.0,361.0,363.0,146.0,395.0,387.0,360.0,217.0,236.0,396.0,375.0,364.0,151.0,417.0,274.0,386.0,248.0,390.0,391.0,229.0,384.0,245.0,384.0,384.0,158.0,420.0,418.0,245.0,391.0,392.0,247.0,385.0,388.0,163.0,424.0,167.0,206.0,176.0,544.0,519.0,430.0,184.0,538.0,193.0,236.0,490.0,345.0,450.0,207.0,195.0,480.0,198.0,201.0,512.0,215.0,628.0,329.0,527.0,234.0,688.0,249.0,684.0,268.0,277.0,288.0,299.0,316.0,889.0,350.0,381.0,419.0,882.0,1113.0,443.0,1002.0,525.0,548.0,1439.0,598.0,1207.0,654.0,636.0,812.0,701.0,1278.0,726.0,1035.0,769.0,1200.0,1217.0,813.0,1215.0,1226.0,848.0,1205.0,884.0,882.0,1267.0,945.0,1377.0,1354.0,1206.0,1197.0,1186.0,1186.0,1160.0,955.0,1166.0,978.0,1251.0,1247.0,1234.0
Argentina_nan,-38.4161,-63.6167,500072.0,555537.0,577345.0,589881.0,605913.0,618524.0,627859.0,635181.0,639176.0,650830.0,664856.0,678592.0,692152.0,703409.0,711671.0,721812.0,736079.0,751066.0,765652.0,780144.0,792007.0,798493.0,807548.0,823219.0,841014.0,857603.0,872422.0,885045.0,894241.0,902580.0,914876.0,931347.0,949146.0,966938.0,980683.0,990203.0,1001265.0,1017817.0,1037262.0,1054859.0,1069984.0,1082230.0,1090038.0,1099996.0,1114923.0,1130263.0,1143932.0,1157266.0,1167668.0,1173073.0,1180757.0,1193828.0,1206043.0,1216805.0,1228893.0,1237833.0,1241882.0,1248425.0,1261137.0,1273960.0,1284826.0,1296832.0,1306064.0,1310473.0,1316550.0,1327639.0,1339391.0,1349629.0,1359362.0,1366723.0,1370170.0,1372953.0,1379748.0,1389641.0,1399552.0,1408034.0,1413983.0,1418691.0,1423846.0,1431509.0,1440162.0,1447711.0,1454923.0,1460045.0,1462792.0,1465097.0,1468613.0,1474073.0,1481810.0,1489857.0,1495574.0,1498548.0,1502475.0,1509651.0,1517224.0,1524466.0,1531803.0,1537627.0,1541361.0,1546055.0,1554550.0,1564117.0,1565583.0,1571191.0,1580490.0,1582161.0,1589818.0,1601589.0,1615427.0,1627177.0,1631674.0,1633506.0,1639439.0,1647324.0,1661497.0,1677694.0,1691537.0,1705224.0,1715777.0,1722545.0,1729298.0,1742546.0,1757795.0,1770786.0,1783729.0,1792706.0,1798654.0,1805742.0,1817600.0,1831719.0,1843446.0,1854223.0,1862667.0,1866965.0,1872570.0,1883626.0,1895867.0,1906049.0,1915424.0,1922927.0,1926779.0,1932115.0,1942038.0,1952842.0,1961835.0,1970277.0,1976994.0,1980217.0,1983671.0,1991722.0,2000815.0,2008426.0,2015598.0,2021782.0,2025755.0,2028170.0,2031581.0,2037843.0,2046396.0,2055136.0,2061563.0,2064713.0,2068757.0,2076471.0,2085324.0,2093924.0,2099549.0,2103627.0,2107198.0,2110437.0,2117510.0,2126193.0,2134442.0,2142247.0,2147607.0,2149348.0,2153065.0,2160871.0,2169580.0,2178099.0,2186310.0,2187260.0,2221017.0,2282399.0,2334908.0,2347366.0,2327236.0,2368101.0,2397933.0,2383163.0,2383163.0,2483099.0,2557111.0,2578900.0,2630045.0
Armenia_nan,40.0691,45.0382,60851.0,60943.0,45969.0,46119.0,46376.0,46671.0,46910.0,47154.0,47692.0,47804.0,47992.0,48336.0,48737.0,49177.0,49528.0,49720.0,50009.0,50426.0,50909.0,51456.0,52009.0,52578.0,52809.0,53153.0,53775.0,54487.0,55150.0,55807.0,56508.0,56922.0,57575.0,58594.0,59945.0,61463.0,63019.0,64696.0,65584.0,66605.0,68353.0,70628.0,73206.0,75530.0,77804.0,78954.0,80157.0,82343.0,84786.0,87309.0,89764.0,92203.0,93585.0,94562.0,96764.0,99377.0,101709.0,104178.0,106461.0,107597.0,108467.0,110209.0,112467.0,114382.0,115843.0,117301.0,117983.0,118629.0,120230.0,121939.0,123663.0,125004.0,126231.0,126890.0,127350.0,128886.0,130856.0,132498.0,133744.0,134844.0,135269.0,135758.0,137076.0,138494.0,139777.0,141044.0,142085.0,142482.0,142829.0,143918.0,145266.0,146416.0,147429.0,148423.0,148865.0,149059.0,150067.0,151436.0,152409.0,153263.0,153964.0,154172.0,154515.0,155375.0,156213.0,156858.0,157443.0,157937.0,158069.0,158250.0,158870.0,159500.0,159875.0,159926.0,160050.0,160300.0,160582.0,160950.0,161182.0,161507.0,161933.0,162266.0,162436.0,162698.0,163224.0,163715.0,164108.0,164373.0,164665.0,164812.0,164933.0,165284.0,165622.0,165842.0,166008.0,166148.0,166197.0,166297.0,166512.0,166776.0,166889.0,166991.0,167159.0,167208.0,167320.0,167527.0,167699.0,167852.0,168054.0,168229.0,168306.0,168399.0,168592.0,168800.0,168955.0,169135.0,169300.0,169379.0,169487.0,169695.0,169940.0,170146.0,170355.0,170539.0,170630.0,170762.0,171035.0,171351.0,171643.0,171927.0,172191.0,172351.0,172536.0,172899.0,173410.0,173906.0,174390.0,174840.0,175148.0,175307.0,175561.0,176300.0,177247.0,177394.0,177141.0,180272.0,181914.0,180754.0,182942.0,184147.0,183511.0,191003.0,201251.0,201960.0,199670.0,199670.0,201570.0
Australia_Australian Capital Territory,-35.4735,149.0124,21426.0,21426.0,113.0,113.0,113.0,113.0,113.0,113.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,319.0,133.0,342.0,342.0,324.0,324.0,324.0,324.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,320.0,136.0,343.0,343.0,325.0,325.0,325.0,325.0,320.0,321.0,139.0,163.0,367.0,349.0,332.0,332.0,332.0,327.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,143.0,345.0,345.0,328.0,328.0,328.0,328.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,325.0,120.0,369.0,369.0,336.0,122.0,379.0,380.0,165.0,358.0,358.0,342.0,333.0,333.0,336.0,127.0,416.0,419.0,131.0,435.0,435.0,377.0,138.0,498.0,503.0
Australia_New South Wales,-33.8688,151.2093,24922.0,24928.0,4177.0,4185.0,4190.0,4196.0,4198.0,4200.0,4397.0,4413.0,4396.0,4423.0,4410.0,4423.0,4428.0,4427.0,4421.0,4416.0,4427.0,4424.0,4440.0,4435.0,4449.0,4407.0,4459.0,4430.0,4443.0,4488.0,4475.0,4479.0,4473.0,4470.0,4499.0,4532.0,4524.0,4535.0,4544.0,4547.0,4531.0,4558.0,4560.0,4574.0,4569.0,4593.0,4566.0,4592.0,4613.0,4609.0,4621.0,4627.0,4616.0,4642.0,4623.0,4657.0,4632.0,4653.0,4670.0,4651.0,4682.0,4680.0,4676.0,4676.0,4690.0,4630.0,4666.0,4713.0,4699.0,4709.0,4727.0,4707.0,4710.0,4749.0,4742.0,4748.0,4768.0,4756.0,4743.0,4772.0,4757.0,4780.0,4785.0,4778.0,4795.0,4816.0,4804.0,4814.0,4809.0,4828.0,4835.0,4810.0,4830.0,4847.0,4849.0,4846.0,4847.0,4856.0,4858.0,4841.0,4854.0,4937.0,4971.0,4989.0,4988.0,5038.0,5022.0,5049.0,5047.0,5089.0,5043.0,5087.0,5154.0,5103.0,5143.0,5169.0,5165.0,5180.0,5185.0,5172.0,5199.0,5209.0,5203.0,5195.0,5237.0,5256.0,5260.0,5229.0,5253.0,5263.0,5286.0,5284.0,5274.0,5299.0,5291.0,5285.0,5288.0,5298.0,5296.0,5295.0,5298.0,5305.0,5307.0,5298.0,5317.0,5319.0,5314.0,5327.0,5320.0,5326.0,5321.0,5329.0,5325.0,5332.0,5338.0,5339.0,5339.0,5347.0,5346.0,5335.0,5353.0,5346.0,5352.0,5346.0,5358.0,5348.0,5366.0,5348.0,5366.0,5366.0,5372.0,5383.0,5387.0,5380.0,5400.0,5374.0,5415.0,5416.0,5419.0,5409.0,5416.0,5422.0,5416.0,5447.0,5468.0,5368.0,5482.0,5627.0,5431.0,5717.0,5717.0,5916.0,5746.0,6006.0,6453.0,6125.0,6811.0
