region,Lat,Long,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-20 00:00:00,2020-10-21 00:00:00,2020-10-22 00:00:00,2020-10-23 00:00:00,2020-10-24 00:00:00,2020-10-25 00:00:00,2020-10-26 00:00:00,2020-10-27 00:00:00,2020-10-28 00:00:00,2020-10-29 00:00:00,2020-10-30 00:00:00,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-03 00:00:00,2020-11-04 00:00:00,2020-11-05 00:00:00,2020-11-06 00:00:00,2020-11-07 00:00:00,2020-11-08 00:00:00,2020-11-09 00:00:00,2020-11-10 00:00:00,2020-11-11 00:00:00,2020-11-12 00:00:00,2020-11-13 00:00:00,2020-11-14 00:00:00,2020-11-15 00:00:00,2020-11-16 00:00:00,2020-11-17 00:00:00,2020-11-18 00:00:00,2020-11-19 00:00:00,2020-11-20 00:00:00,2020-11-21 00:00:00,2020-11-22 00:00:00,2020-11-23 00:00:00,2020-11-24 00:00:00,2020-11-25 00:00:00,2020-11-26 00:00:00,2020-11-27 00:00:00,2020-11-28 00:00:00,2020-11-29 00:00:00,2020-11-30 00:00:00,2020-12-01 00:00:00,2020-12-02 00:00:00,2020-12-03 00:00:00,2020-12-04 00:00:00,2020-12-05 00:00:00,2020-12-06 00:00:00,2020-12-07 00:00:00,2020-12-08 00:00:00,2020-12-09 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-12 00:00:00,2020-12-13 00:00:00,2020-12-14 00:00:00,2020-12-15 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-18 00:00:00,2020-12-19 00:00:00,2020-12-20 00:00:00,2020-12-21 00:00:00,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-24 00:00:00,2020-12-25 00:00:00,2020-12-26 00:00:00,2020-12-27 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-01-02 00:00:00,2021-01-03 00:00:00,2021-01-04 00:00:00,2021-01-05 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,2021-01-10 00:00:00,2021-01-11 00:00:00,2021-01-12 00:00:00,2021-01-13 00:00:00,2021-01-14 00:00:00,2021-01-15 00:00:00,2021-01-16 00:00:00,2021-01-17 00:00:00,2021-01-18 00:00:00,2021-01-19 00:00:00,2021-01-20 00:00:00,2021-01-21 00:00:00,2021-01-22 00:00:00,2021-01-23 00:00:00,2021-01-24 00:00:00,2021-01-25 00:00:00,2021-01-26 00:00:00,2021-01-27 00:00:00,2021-01-28 00:00:00,2021-01-29 00:00:00,2021-01-30 00:00:00,2021-01-31 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,2021-02-04 00:00:00,2021-02-05 00:00:00,2021-02-06 00:00:00,2021-02-07 00:00:00,2021-02-08 00:00:00,2021-02-09 00:00:00,2021-02-10 00:00:00,2021-02-11 00:00:00,2021-02-12 00:00:00,2021-02-13 00:00:00,2021-02-14 00:00:00
Afghanistan_nan,33.93911,67.709953,56005.0,56054.0,38772.0,38815.0,38855.0,38872.0,38897.0,38919.0,39247.0,39290.0,39338.0,39353.0,39374.0,39383.0,39413.0,39428.0,39447.0,39462.0,39478.0,39485.0,39494.0,39532.0,39603.0,39666.0,39735.0,39802.0,39872.0,39888.0,39979.0,40038.0,40102.0,40174.0,40207.0,40269.0,40319.0,40375.0,40462.0,40541.0,40676.0,40790.0,40861.0,40947.0,41004.0,41100.0,41193.0,41306.0,41431.0,41504.0,41598.0,41670.0,41791.0,41888.0,41981.0,42101.0,42146.0,42210.0,42323.0,42447.0,42616.0,42768.0,42950.0,43122.0,43199.0,43391.0,43595.0,43808.0,44061.0,44308.0,44501.0,44653.0,44839.0,45099.0,45296.0,45519.0,45734.0,45865.0,45994.0,46238.0,46399.0,46650.0,46858.0,46986.0,47012.0,47209.0,47420.0,47646.0,47866.0,48010.0,48202.0,48275.0,48376.0,48649.0,48847.0,49095.0,49314.0,49520.0,49760.0,49836.0,49962.0,50147.0,50319.0,50567.0,50796.0,50964.0,51057.0,51187.0,51406.0,51501.0,51570.0,51684.0,51693.0,51700.0,51699.0,52976.0,53270.0,53341.0,53434.0,53436.0,53508.0,53597.0,53646.0,53762.0,53769.0,53927.0,54005.0,54112.0,54173.0,54237.0,54316.0,54441.0,54567.0,54661.0,54737.0,54775.0,55008.0,55049.0,55049.0,55054.0,55931.0,56103.0,56114.0,57375.0,57550.0,57548.0,60414.0,62557.0,63912.0,64080.0,63749.0,66606.0,68367.0,68483.0,71325.0,73510.0,73677.0
Albania_nan,41.1533,20.1683,32434.0,32578.0,11520.0,11672.0,11816.0,11948.0,12073.0,12226.0,12536.0,12691.0,12840.0,12982.0,13086.0,13211.0,13340.0,13468.0,13561.0,13704.0,13857.0,13986.0,14143.0,14307.0,14455.0,14616.0,14761.0,14928.0,15092.0,15263.0,15435.0,15603.0,15782.0,15974.0,16206.0,16445.0,16704.0,17015.0,17305.0,17593.0,17890.0,18200.0,18505.0,18808.0,19115.0,19409.0,19704.0,20015.0,20278.0,20621.0,20846.0,21216.0,21481.0,21861.0,22232.0,22650.0,23126.0,23590.0,24098.0,24627.0,25175.0,25677.0,26135.0,26656.0,27135.0,27708.0,28303.0,29000.0,29689.0,30472.0,31286.0,32031.0,32660.0,33463.0,34132.0,34812.0,35512.0,36150.0,36714.0,37535.0,38071.0,38935.0,39627.0,40414.0,41219.0,42051.0,42889.0,43616.0,44369.0,45112.0,45961.0,46775.0,47660.0,48467.0,49152.0,49942.0,50586.0,51357.0,51976.0,52522.0,53005.0,53423.0,53817.0,54314.0,54832.0,55402.0,55817.0,56299.0,56639.0,57164.0,57752.0,58344.0,58445.0,58999.0,59481.0,59691.0,60301.0,61024.0,61743.0,62456.0,63080.0,63650.0,64032.0,64606.0,65321.0,66004.0,66671.0,67261.0,67740.0,68040.0,68549.0,69234.0,69936.0,70697.0,71490.0,72319.0,72433.0,72828.0,76571.0,77585.0,77184.0,77178.0,77071.0,77071.0,79395.0,80220.0,80263.0,81354.0,81467.0,85529.0,86960.0,88933.0,90082.0,89390.0,92418.0,93436.0,93090.0
Algeria_nan,28.0339,1.6596,64222.0,64430.0,48496.0,48734.0,48966.0,49194.0,49413.0,49623.0,50155.0,50348.0,50536.0,50717.0,50894.0,51058.0,51213.0,51360.0,51515.0,51677.0,51839.0,51999.0,52149.0,52291.0,52425.0,52554.0,52676.0,52812.0,52958.0,53098.0,53232.0,53469.0,53568.0,53739.0,53930.0,54139.0,54354.0,54553.0,54762.0,54976.0,55216.0,55490.0,55764.0,56020.0,56279.0,56549.0,56832.0,57147.0,57456.0,57775.0,58070.0,58390.0,58696.0,59083.0,59617.0,60256.0,60902.0,61493.0,62138.0,62773.0,63494.0,64299.0,65147.0,66022.0,66869.0,67716.0,68613.0,69597.0,70639.0,71672.0,72765.0,73802.0,74864.0,75883.0,76979.0,78038.0,79100.0,80174.0,81216.0,82230.0,83209.0,84158.0,85094.0,85948.0,86748.0,87522.0,88275.0,88878.0,89444.0,90052.0,90631.0,91186.0,91714.0,92190.0,92681.0,93160.0,93604.0,94036.0,94472.0,94892.0,95312.0,95767.0,96194.0,96659.0,97135.0,97567.0,97983.0,98370.0,98746.0,99106.0,99427.0,99727.0,100015.0,100282.0,100532.0,100773.0,101005.0,101253.0,101520.0,101801.0,102066.0,102297.0,102517.0,102779.0,103013.0,103263.0,103532.0,103762.0,103983.0,104232.0,104489.0,104752.0,105004.0,105269.0,105524.0,105746.0,105772.0,105721.0,110577.0,112595.0,111430.0,111446.0,111236.0,111236.0,111236.0,111236.0,111414.0,111414.0,113088.0,113804.0,113374.0,115584.0,116841.0,116454.0,118401.0,119131.0,118659.0
Andorra_nan,42.5063,1.5218,23812.0,23893.0,1438.0,1438.0,1483.0,1483.0,1564.0,1564.0,2016.0,1681.0,2128.0,1753.0,2159.0,1836.0,2172.0,2283.0,1966.0,2409.0,2050.0,2421.0,2110.0,2394.0,2618.0,2370.0,3009.0,2568.0,3092.0,2696.0,3057.0,3315.0,2995.0,3618.0,3190.0,3708.0,3377.0,3721.0,3932.0,3623.0,4129.0,3811.0,4300.0,4038.0,4340.0,4587.0,4325.0,4414.0,4517.0,4680.0,4665.0,4756.0,4825.0,4888.0,5122.0,5045.0,5135.0,5506.0,5319.0,5383.0,5481.0,5567.0,5567.0,5688.0,5725.0,6009.0,5872.0,5952.0,6046.0,6018.0,6100.0,6142.0,6207.0,6271.0,6313.0,6383.0,6428.0,6534.0,6610.0,6830.0,6712.0,6791.0,6816.0,6842.0,6904.0,6955.0,7005.0,7050.0,7115.0,7127.0,7171.0,7233.0,7236.0,7288.0,7338.0,7382.0,7515.0,7446.0,7527.0,7519.0,7560.0,7627.0,7626.0,7642.0,7669.0,7734.0,7756.0,7806.0,7899.0,7875.0,7924.0,7983.0,8049.0,8117.0,8166.0,8243.0,8249.0,8308.0,8348.0,8522.0,8489.0,8586.0,8668.0,8714.0,8682.0,8818.0,8903.0,8946.0,9038.0,9083.0,9221.0,9194.0,9308.0,9379.0,9460.0,9499.0,9638.0,9735.0,9782.0,10251.0,10293.0,10396.0,10396.0,10549.0,10615.0,11171.0,11524.0,11698.0,11571.0,11571.0,12288.0,12460.0,12918.0,13720.0,13656.0,13665.0,14295.0
Angola_nan,-11.2027,17.8739,25572.0,25616.0,3439.0,3569.0,3675.0,3789.0,3848.0,3901.0,3991.0,4117.0,4236.0,4363.0,4475.0,4590.0,4715.0,4935.0,4859.0,4905.0,5141.0,5114.0,5291.0,5370.0,5738.0,5540.0,5725.0,6291.0,5958.0,6299.0,6246.0,6436.0,6633.0,6680.0,6923.0,7096.0,7456.0,7462.0,7735.0,7854.0,8103.0,8338.0,8615.0,8834.0,9271.0,9381.0,9686.0,9988.0,10201.0,10481.0,10567.0,10902.0,11146.0,11525.0,11577.0,12018.0,12102.0,12446.0,12536.0,12748.0,12692.0,13010.0,13124.0,13319.0,13367.0,13499.0,13746.0,13822.0,13897.0,14237.0,14244.0,14484.0,14565.0,14760.0,14797.0,14918.0,15052.0,15112.0,15204.0,15242.0,15338.0,15410.0,15399.0,15506.0,15659.0,15611.0,15765.0,15809.0,15872.0,15928.0,16053.0,16144.0,16242.0,16322.0,16468.0,16478.0,16531.0,16650.0,16694.0,16759.0,16803.0,16881.0,16957.0,17015.0,17119.0,17234.0,17308.0,17402.0,17419.0,17524.0,17574.0,17697.0,17679.0,17810.0,17818.0,17854.0,17918.0,17998.0,18083.0,18187.0,18295.0,18337.0,18433.0,18491.0,18548.0,18736.0,18740.0,18930.0,19020.0,19045.0,19175.0,19228.0,19311.0,19408.0,19499.0,19537.0,19593.0,19608.0,19597.0,19764.0,19652.0,20446.0,20324.0,20678.0,21075.0,21066.0,21092.0,21288.0,21255.0,21246.0,21254.0,21254.0,21263.0,21272.0,21272.0,21798.0,21676.0
Antigua and Barbuda_nan,17.0608,-61.7964,22736.0,22736.0,95.0,95.0,95.0,95.0,95.0,96.0,330.0,330.0,314.0,97.0,338.0,107.0,340.0,101.0,392.0,392.0,335.0,339.0,106.0,236.0,450.0,367.0,352.0,146.0,111.0,411.0,389.0,343.0,343.0,344.0,137.0,343.0,349.0,119.0,474.0,474.0,373.0,122.0,425.0,427.0,124.0,386.0,386.0,359.0,344.0,347.0,127.0,217.0,411.0,370.0,359.0,130.0,394.0,381.0,179.0,368.0,368.0,355.0,347.0,348.0,133.0,211.0,396.0,371.0,362.0,139.0,447.0,438.0,371.0,371.0,371.0,372.0,191.0,209.0,384.0,372.0,360.0,361.0,205.0,144.0,403.0,391.0,367.0,369.0,146.0,396.0,388.0,366.0,214.0,230.0,398.0,379.0,370.0,151.0,416.0,265.0,390.0,244.0,394.0,395.0,227.0,388.0,240.0,388.0,387.0,158.0,420.0,417.0,244.0,396.0,396.0,245.0,389.0,392.0,163.0,423.0,167.0,189.0,176.0,533.0,512.0,439.0,184.0,531.0,187.0,224.0,488.0,343.0,456.0,198.0,195.0,477.0,198.0,471.0,208.0,246.0,219.0,587.0,576.0,235.0,679.0,243.0,596.0,572.0,526.0,255.0,259.0,637.0,534.0,507.0,509.0,337.0,499.0
Argentina_nan,-38.4161,-63.6167,501217.0,555537.0,577448.0,589948.0,605958.0,618580.0,627930.0,635275.0,639255.0,650867.0,664863.0,678631.0,692225.0,703501.0,711778.0,721912.0,736111.0,751091.0,765718.0,780240.0,792103.0,798618.0,807665.0,823234.0,841004.0,857655.0,872536.0,885169.0,894369.0,902688.0,914937.0,931350.0,949169.0,967002.0,980791.0,990349.0,1001391.0,1017859.0,1037273.0,1054917.0,1070112.0,1082363.0,1090168.0,1100095.0,1114934.0,1130254.0,1143981.0,1157343.0,1167733.0,1173157.0,1180822.0,1193799.0,1205996.0,1216828.0,1228924.0,1237849.0,1241935.0,1248461.0,1261083.0,1273884.0,1284829.0,1296860.0,1306078.0,1310519.0,1316584.0,1327589.0,1339317.0,1349610.0,1359371.0,1366730.0,1370186.0,1372955.0,1379690.0,1389533.0,1399467.0,1407993.0,1413971.0,1418682.0,1423808.0,1431441.0,1440074.0,1447655.0,1454886.0,1460008.0,1462759.0,1465050.0,1468527.0,1473963.0,1481692.0,1489752.0,1495505.0,1498510.0,1502428.0,1509554.0,1517112.0,1524390.0,1531743.0,1537573.0,1541316.0,1546002.0,1554453.0,1564005.0,1565514.0,1571204.0,1580347.0,1582085.0,1589773.0,1601466.0,1615312.0,1627133.0,1631678.0,1633557.0,1639397.0,1647207.0,1661383.0,1677576.0,1691506.0,1705246.0,1715799.0,1722578.0,1729319.0,1742498.0,1757689.0,1770751.0,1783734.0,1792711.0,1798676.0,1805726.0,1817521.0,1831607.0,1843387.0,1854211.0,1862651.0,1866949.0,1921972.0,1956017.0,2002916.0,2051717.0,2018640.0,2129161.0,2283400.0,2279101.0,2382810.0,2467212.0,2456219.0,2494864.0,2591824.0,2688698.0,2666850.0,2704600.0,2701362.0,2701362.0,2777283.0,2914191.0,2930417.0
Armenia_nan,40.0691,45.0382,62161.0,62253.0,45969.0,46119.0,46376.0,46671.0,46910.0,47154.0,47672.0,47790.0,47977.0,48318.0,48714.0,49154.0,49504.0,49700.0,49993.0,50404.0,50883.0,51430.0,51982.0,52551.0,52781.0,53138.0,53751.0,54455.0,55119.0,55780.0,56479.0,56891.0,57555.0,58562.0,59904.0,61416.0,62972.0,64650.0,65536.0,66584.0,68315.0,70572.0,73145.0,75471.0,77756.0,78905.0,80139.0,82303.0,84728.0,87256.0,89716.0,92156.0,93539.0,94542.0,96733.0,99317.0,101656.0,104137.0,106413.0,107556.0,108447.0,110175.0,112414.0,114329.0,115805.0,117266.0,117943.0,118603.0,120189.0,121883.0,123616.0,124959.0,126194.0,126847.0,127319.0,128843.0,130796.0,132443.0,133701.0,134804.0,135227.0,135725.0,137028.0,138436.0,139727.0,140998.0,142037.0,142438.0,142791.0,143871.0,145206.0,146362.0,147381.0,148376.0,148816.0,149018.0,150020.0,151373.0,152351.0,153216.0,153914.0,154124.0,154471.0,155320.0,156153.0,156804.0,157391.0,157884.0,158017.0,158201.0,158814.0,159440.0,159819.0,159874.0,160001.0,160243.0,160525.0,160892.0,161125.0,161453.0,161876.0,162209.0,162380.0,162645.0,163166.0,163655.0,164051.0,164317.0,164610.0,164755.0,164879.0,165226.0,165562.0,165784.0,165953.0,166091.0,166089.0,166046.0,170875.0,176179.0,176007.0,175026.0,181822.0,185282.0,191670.0,196292.0,203667.0,209534.0,206028.0,206028.0,212130.0,220347.0,220466.0,219581.0,225157.0,228158.0,237873.0
Australia_Australian Capital Territory,-35.4735,149.0124,22751.0,22751.0,113.0,113.0,113.0,113.0,113.0,113.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,325.0,127.0,345.0,345.0,330.0,330.0,330.0,330.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,326.0,130.0,346.0,346.0,331.0,331.0,331.0,331.0,326.0,327.0,133.0,155.0,367.0,352.0,338.0,338.0,338.0,333.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,329.0,138.0,348.0,348.0,334.0,334.0,334.0,334.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,333.0,122.0,412.0,126.0,130.0,507.0,453.0,132.0,137.0,507.0,460.0,378.0,385.0,145.0,509.0,491.0,150.0
Australia_New South Wales,-33.8688,151.2093,26246.0,26252.0,4177.0,4185.0,4190.0,4196.0,4198.0,4200.0,4401.0,4417.0,4399.0,4428.0,4414.0,4428.0,4432.0,4432.0,4425.0,4419.0,4430.0,4427.0,4444.0,4439.0,4453.0,4408.0,4463.0,4430.0,4444.0,4491.0,4478.0,4482.0,4473.0,4469.0,4499.0,4534.0,4526.0,4538.0,4547.0,4550.0,4532.0,4561.0,4562.0,4577.0,4571.0,4596.0,4567.0,4593.0,4615.0,4612.0,4624.0,4630.0,4619.0,4646.0,4625.0,4661.0,4634.0,4656.0,4673.0,4653.0,4686.0,4684.0,4681.0,4681.0,4695.0,4630.0,4666.0,4715.0,4701.0,4712.0,4731.0,4708.0,4711.0,4751.0,4744.0,4751.0,4773.0,4760.0,4746.0,4775.0,4758.0,4783.0,4787.0,4780.0,4798.0,4820.0,4808.0,4817.0,4812.0,4832.0,4838.0,4812.0,4832.0,4850.0,4852.0,4849.0,4850.0,4858.0,4857.0,4836.0,4846.0,4931.0,4968.0,4987.0,4987.0,5039.0,5022.0,5050.0,5047.0,5090.0,5040.0,5085.0,5156.0,5102.0,5144.0,5170.0,5167.0,5183.0,5187.0,5173.0,5201.0,5211.0,5205.0,5195.0,5238.0,5259.0,5264.0,5231.0,5255.0,5265.0,5290.0,5287.0,5277.0,5303.0,5296.0,5289.0,5291.0,5344.0,5162.0,5368.0,5368.0,5415.0,5213.0,5458.0,5458.0,5637.0,5457.0,5873.0,5573.0,5841.0,6043.0,5808.0,5982.0,6148.0,6335.0,6690.0,6634.0
