region,Lat,Long,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-20 00:00:00,2020-10-21 00:00:00,2020-10-22 00:00:00,2020-10-23 00:00:00,2020-10-24 00:00:00,2020-10-25 00:00:00,2020-10-26 00:00:00,2020-10-27 00:00:00,2020-10-28 00:00:00,2020-10-29 00:00:00,2020-10-30 00:00:00,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-03 00:00:00,2020-11-04 00:00:00,2020-11-05 00:00:00,2020-11-06 00:00:00,2020-11-07 00:00:00,2020-11-08 00:00:00,2020-11-09 00:00:00,2020-11-10 00:00:00,2020-11-11 00:00:00,2020-11-12 00:00:00,2020-11-13 00:00:00,2020-11-14 00:00:00,2020-11-15 00:00:00,2020-11-16 00:00:00,2020-11-17 00:00:00,2020-11-18 00:00:00,2020-11-19 00:00:00,2020-11-20 00:00:00,2020-11-21 00:00:00,2020-11-22 00:00:00,2020-11-23 00:00:00,2020-11-24 00:00:00,2020-11-25 00:00:00,2020-11-26 00:00:00,2020-11-27 00:00:00,2020-11-28 00:00:00,2020-11-29 00:00:00,2020-11-30 00:00:00,2020-12-01 00:00:00,2020-12-02 00:00:00,2020-12-03 00:00:00,2020-12-04 00:00:00,2020-12-05 00:00:00,2020-12-06 00:00:00,2020-12-07 00:00:00,2020-12-08 00:00:00,2020-12-09 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-12 00:00:00,2020-12-13 00:00:00,2020-12-14 00:00:00,2020-12-15 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-18 00:00:00,2020-12-19 00:00:00,2020-12-20 00:00:00,2020-12-21 00:00:00,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-24 00:00:00,2020-12-25 00:00:00,2020-12-26 00:00:00,2020-12-27 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-01-02 00:00:00,2021-01-03 00:00:00,2021-01-04 00:00:00,2021-01-05 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,2021-01-10 00:00:00,2021-01-11 00:00:00,2021-01-12 00:00:00,2021-01-13 00:00:00,2021-01-14 00:00:00,2021-01-15 00:00:00,2021-01-16 00:00:00,2021-01-17 00:00:00,2021-01-18 00:00:00,2021-01-19 00:00:00,2021-01-20 00:00:00,2021-01-21 00:00:00,2021-01-22 00:00:00,2021-01-23 00:00:00,2021-01-24 00:00:00,2021-01-25 00:00:00,2021-01-26 00:00:00,2021-01-27 00:00:00,2021-01-28 00:00:00,2021-01-29 00:00:00,2021-01-30 00:00:00,2021-01-31 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,2021-02-04 00:00:00,2021-02-05 00:00:00,2021-02-06 00:00:00,2021-02-07 00:00:00,2021-02-08 00:00:00,2021-02-09 00:00:00,2021-02-10 00:00:00,2021-02-11 00:00:00,2021-02-12 00:00:00,2021-02-13 00:00:00,2021-02-14 00:00:00,2021-02-15 00:00:00,2021-02-16 00:00:00,2021-02-17 00:00:00,2021-02-18 00:00:00,2021-02-19 00:00:00,2021-02-20 00:00:00,2021-02-21 00:00:00,2021-02-22 00:00:00,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-02-25 00:00:00,2021-02-26 00:00:00,2021-02-27 00:00:00,2021-02-28 00:00:00,2021-03-01 00:00:00,2021-03-02 00:00:00,2021-03-03 00:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-03-06 00:00:00,2021-03-07 00:00:00,2021-03-08 00:00:00,2021-03-09 00:00:00,2021-03-10 00:00:00,2021-03-11 00:00:00,2021-03-12 00:00:00,2021-03-13 00:00:00,2021-03-14 00:00:00,2021-03-15 00:00:00,2021-03-16 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-19 00:00:00,2021-03-20 00:00:00,2021-03-21 00:00:00,2021-03-22 00:00:00,2021-03-23 00:00:00,2021-03-24 00:00:00,2021-03-25 00:00:00,2021-03-26 00:00:00,2021-03-27 00:00:00,2021-03-28 00:00:00,2021-03-29 00:00:00,2021-03-30 00:00:00,2021-03-31 00:00:00,2021-04-01 00:00:00,2021-04-02 00:00:00,2021-04-03 00:00:00,2021-04-04 00:00:00,2021-04-05 00:00:00,2021-04-06 00:00:00,2021-04-07 00:00:00,2021-04-08 00:00:00,2021-04-09 00:00:00,2021-04-10 00:00:00,2021-04-11 00:00:00,2021-04-12 00:00:00,2021-04-13 00:00:00,2021-04-14 00:00:00,2021-04-15 00:00:00,2021-04-16 00:00:00,2021-04-17 00:00:00,2021-04-18 00:00:00,2021-04-19 00:00:00,2021-04-20 00:00:00,2021-04-21 00:00:00
Afghanistan_nan,33.93911,67.709953,54889.0,54938.0,38772.0,38815.0,38855.0,38872.0,38897.0,38919.0,39250.0,39289.0,39337.0,39353.0,39373.0,39382.0,39411.0,39428.0,39446.0,39461.0,39477.0,39485.0,39493.0,39531.0,39603.0,39667.0,39735.0,39802.0,39873.0,39889.0,39977.0,40040.0,40103.0,40174.0,40207.0,40268.0,40319.0,40375.0,40462.0,40542.0,40677.0,40793.0,40863.0,40947.0,41004.0,41100.0,41195.0,41307.0,41432.0,41506.0,41598.0,41670.0,41792.0,41890.0,41982.0,42101.0,42148.0,42209.0,42322.0,42449.0,42618.0,42771.0,42952.0,43125.0,43201.0,43390.0,43599.0,43813.0,44064.0,44312.0,44505.0,44655.0,44840.0,45102.0,45301.0,45521.0,45736.0,45868.0,45994.0,46238.0,46404.0,46651.0,46861.0,46988.0,47011.0,47206.0,47424.0,47650.0,47868.0,48012.0,48202.0,48277.0,48374.0,48649.0,48852.0,49097.0,49316.0,49522.0,49763.0,49839.0,49959.0,50147.0,50321.0,50568.0,50799.0,50966.0,51057.0,51185.0,51407.0,51504.0,51568.0,51682.0,51693.0,51697.0,51696.0,52974.0,53307.0,53336.0,53426.0,53436.0,53508.0,53595.0,53644.0,53760.0,53767.0,53924.0,54007.0,54110.0,54172.0,54235.0,54315.0,54440.0,54567.0,54661.0,54735.0,54774.0,54838.0,54916.0,55017.0,55071.0,55117.0,55183.0,55203.0,55235.0,55295.0,55350.0,55412.0,55450.0,55508.0,55523.0,55540.0,55565.0,55583.0,55603.0,55629.0,55657.0,55680.0,55701.0,55708.0,55726.0,55744.0,55761.0,55770.0,55791.0,55806.0,55832.0,55853.0,55869.0,55885.0,55896.0,55902.0,55920.0,55945.0,55959.0,55966.0,56010.0,56030.0,56037.0,56063.0,56065.0,56080.0,56084.0,56124.0,56137.0,56134.0,56135.0,58157.0,58611.0,58541.0,58541.0,58358.0,58358.0,58358.0,58358.0,60247.0,61837.0,62041.0,61959.0,61798.0,61694.0,61694.0,64865.0,65818.0,65635.0,65635.0,68776.0,69765.0,69404.0,71983.0,72686.0,72352.0,72352.0,72331.0,75373.0,76356.0,78253.0,79404.0,78831.0,78799.0,78767.0,78767.0,78785.0,81662.0
Albania_nan,41.1533,20.1683,31310.0,31454.0,11520.0,11672.0,11816.0,11948.0,12073.0,12226.0,12548.0,12702.0,12849.0,12990.0,13095.0,13219.0,13347.0,13474.0,13570.0,13712.0,13865.0,13996.0,14153.0,14316.0,14464.0,14624.0,14771.0,14937.0,15102.0,15272.0,15444.0,15612.0,15791.0,15983.0,16217.0,16460.0,16721.0,17030.0,17319.0,17608.0,17905.0,18214.0,18518.0,18821.0,19127.0,19421.0,19715.0,20026.0,20290.0,20631.0,20858.0,21223.0,21493.0,21872.0,22245.0,22664.0,23141.0,23608.0,24115.0,24643.0,25191.0,25694.0,26149.0,26664.0,27147.0,27722.0,28319.0,29015.0,29707.0,30490.0,31306.0,32051.0,32674.0,33470.0,34148.0,34825.0,35520.0,36159.0,36722.0,37539.0,38086.0,38939.0,39640.0,40422.0,41228.0,42059.0,42898.0,43624.0,44372.0,45116.0,45965.0,46782.0,47664.0,48473.0,49154.0,49940.0,50588.0,51354.0,51977.0,52517.0,52999.0,53416.0,53809.0,54306.0,54827.0,55396.0,55812.0,56289.0,56632.0,57152.0,57747.0,58338.0,58439.0,58978.0,59479.0,59682.0,60284.0,61020.0,61740.0,62450.0,63072.0,63642.0,64021.0,64591.0,65314.0,65998.0,66662.0,67250.0,67729.0,68026.0,68532.0,69224.0,69927.0,70687.0,71480.0,72310.0,72887.0,73655.0,74565.0,75443.0,76355.0,77250.0,78126.0,78987.0,79897.0,80907.0,81965.0,83062.0,84193.0,85322.0,86290.0,87446.0,88644.0,89733.0,90800.0,91920.0,93035.0,93842.0,94570.0,95613.0,96777.0,97885.0,99036.0,100238.0,101304.0,102280.0,103276.0,104259.0,105181.0,106143.0,107123.0,107916.0,108753.0,109641.0,110482.0,111283.0,112045.0,112865.0,113582.0,114184.0,114807.0,114896.0,118336.0,119960.0,124102.0,126519.0,124997.0,130752.0,134681.0,133618.0,133618.0,133618.0,140517.0,147086.0,150303.0,156745.0,157473.0,156212.0,156212.0,156212.0,156212.0,156212.0,161876.0,165260.0,168547.0,171314.0,174609.0,182375.0,182513.0,191299.0,200415.0,198022.0,197840.0,205952.0,219306.0,220325.0,222595.0,233858.0,235965.0,235197.0,236964.0,236964.0,239697.0
Algeria_nan,28.0339,1.6596,63109.0,63317.0,48496.0,48734.0,48966.0,49194.0,49413.0,49623.0,50157.0,50350.0,50537.0,50719.0,50895.0,51059.0,51213.0,51361.0,51515.0,51677.0,51840.0,51999.0,52150.0,52291.0,52426.0,52554.0,52676.0,52812.0,52959.0,53098.0,53232.0,53469.0,53571.0,53737.0,53931.0,54140.0,54356.0,54554.0,54763.0,54978.0,55218.0,55492.0,55767.0,56022.0,56280.0,56551.0,56834.0,57149.0,57459.0,57777.0,58073.0,58392.0,58698.0,59085.0,59621.0,60263.0,60911.0,61501.0,62144.0,62780.0,63500.0,64307.0,65156.0,66031.0,66878.0,67724.0,68621.0,69606.0,70650.0,71682.0,72775.0,73812.0,74872.0,75892.0,76986.0,78047.0,79107.0,80182.0,81223.0,82237.0,83214.0,84163.0,85099.0,85952.0,86750.0,87524.0,88277.0,88879.0,89443.0,90051.0,90631.0,91185.0,91713.0,92189.0,92679.0,93158.0,93602.0,94033.0,94470.0,94890.0,95309.0,95765.0,96191.0,96656.0,97133.0,97564.0,97980.0,98367.0,98743.0,99102.0,99423.0,99723.0,100010.0,100277.0,100527.0,100768.0,101000.0,101247.0,101516.0,101796.0,102061.0,102292.0,102512.0,102773.0,103008.0,103258.0,103527.0,103757.0,103977.0,104227.0,104484.0,104747.0,104999.0,105264.0,105519.0,105740.0,105988.0,106239.0,106495.0,106755.0,107025.0,107273.0,107482.0,107712.0,107976.0,108255.0,108527.0,108776.0,108807.0,109141.0,109504.0,109691.0,109939.0,110183.0,110451.0,110664.0,110841.0,111033.0,111204.0,111381.0,111555.0,111739.0,111913.0,112065.0,112237.0,112427.0,112612.0,112777.0,112951.0,113115.0,113242.0,113395.0,113575.0,113744.0,113912.0,114097.0,114263.0,114388.0,114525.0,114687.0,114832.0,114848.0,115363.0,120176.0,124547.0,124386.0,125844.0,131218.0,136118.0,136389.0,141617.0,144726.0,143089.0,143089.0,147579.0,158051.0,160291.0,158006.0,158006.0,159097.0,164345.0,165918.0,165134.0,165152.0,166671.0,167610.0,169496.0,170940.0,170200.0,170200.0,170185.0,170185.0,170185.0,170185.0,170330.0,170330.0,170951.0,174531.0,177083.0,179163.0,180145.0,179146.0,179317.0
Andorra_nan,42.5063,1.5218,22684.0,22765.0,1438.0,1438.0,1483.0,1483.0,1564.0,1564.0,2001.0,1681.0,2114.0,1753.0,2141.0,1836.0,2154.0,2266.0,1966.0,2391.0,2050.0,2401.0,2110.0,2374.0,2598.0,2370.0,2988.0,2568.0,3067.0,2696.0,3028.0,3286.0,2995.0,3589.0,3190.0,3676.0,3377.0,3686.0,3898.0,3623.0,4094.0,3811.0,4264.0,4038.0,4301.0,4548.0,4325.0,4410.0,4517.0,4649.0,4665.0,4756.0,4825.0,4888.0,5082.0,5045.0,5135.0,5460.0,5319.0,5383.0,5443.0,5526.0,5567.0,5647.0,5725.0,5957.0,5872.0,5914.0,6000.0,6018.0,6066.0,6142.0,6207.0,6256.0,6304.0,6351.0,6428.0,6534.0,6610.0,6771.0,6712.0,6745.0,6790.0,6842.0,6904.0,6955.0,7005.0,7050.0,7084.0,7127.0,7162.0,7190.0,7236.0,7288.0,7338.0,7382.0,7449.0,7446.0,7466.0,7519.0,7560.0,7577.0,7602.0,7633.0,7669.0,7699.0,7756.0,7806.0,7832.0,7875.0,7919.0,7983.0,8049.0,8117.0,8166.0,8192.0,8249.0,8308.0,8348.0,8447.0,8489.0,8586.0,8591.0,8637.0,8682.0,8818.0,8868.0,8946.0,9038.0,9083.0,9139.0,9194.0,9308.0,9379.0,9416.0,9499.0,9549.0,9596.0,9638.0,9716.0,9779.0,9837.0,9885.0,9937.0,9972.0,10017.0,10070.0,10137.0,10172.0,10206.0,10251.0,10275.0,10312.0,10352.0,10391.0,10427.0,10463.0,10503.0,10538.0,10555.0,10583.0,10610.0,10645.0,10672.0,10699.0,10712.0,10739.0,10775.0,10799.0,10822.0,10849.0,10866.0,10889.0,10908.0,10948.0,10976.0,10998.0,11019.0,11042.0,11069.0,11089.0,11130.0,11130.0,11245.0,11415.0,11552.0,11683.0,12130.0,12130.0,12130.0,12130.0,12541.0,12816.0,12992.0,13113.0,13113.0,13257.0,13471.0,13471.0,13471.0,13471.0,13471.0,13471.0,13471.0,13698.0,13980.0,13980.0,14052.0,14200.0,14603.0,14916.0,15495.0,15786.0,15786.0,15786.0,15786.0,15786.0,15937.0,16090.0,16456.0,16456.0,16456.0,16456.0
Angola_nan,-11.2027,17.8739,24446.0,24490.0,3439.0,3569.0,3675.0,3789.0,3848.0,3901.0,3991.0,4117.0,4236.0,4363.0,4475.0,4590.0,4734.0,4944.0,4877.0,4905.0,5157.0,5114.0,5313.0,5370.0,5744.0,5566.0,5725.0,6290.0,5958.0,6312.0,6246.0,6457.0,6654.0,6680.0,6949.0,7096.0,7475.0,7462.0,7758.0,7883.0,8133.0,8338.0,8646.0,8865.0,9294.0,9381.0,9716.0,10012.0,10222.0,10501.0,10597.0,10927.0,11169.0,11543.0,11577.0,12040.0,12126.0,12455.0,12544.0,12755.0,12714.0,13022.0,13136.0,13328.0,13383.0,13512.0,13752.0,13836.0,13915.0,14246.0,14262.0,14495.0,14576.0,14766.0,14808.0,14927.0,15058.0,15120.0,15211.0,15248.0,15339.0,15413.0,15408.0,15512.0,15662.0,15622.0,15769.0,15814.0,15877.0,15935.0,16059.0,16153.0,16252.0,16330.0,16470.0,16485.0,16538.0,16654.0,16699.0,16765.0,16808.0,16882.0,16961.0,17024.0,17129.0,17241.0,17313.0,17406.0,17426.0,17528.0,17580.0,17701.0,17688.0,17811.0,17821.0,17856.0,17922.0,18003.0,18091.0,18194.0,18301.0,18343.0,18436.0,18495.0,18554.0,18741.0,18752.0,18934.0,19026.0,19052.0,19178.0,19234.0,19316.0,19414.0,19505.0,19544.0,19661.0,19700.0,19732.0,19854.0,19863.0,19950.0,19970.0,20024.0,20075.0,20090.0,20174.0,20200.0,20247.0,20273.0,20300.0,20345.0,20378.0,20434.0,20470.0,20516.0,20549.0,20564.0,20586.0,20600.0,20642.0,20647.0,20690.0,20716.0,20740.0,20769.0,20818.0,20863.0,20930.0,20954.0,21003.0,21041.0,21054.0,21107.0,21157.0,21193.0,21236.0,21276.0,21294.0,21306.0,21356.0,21337.0,21368.0,21369.0,21364.0,21672.0,21519.0,21754.0,21756.0,21710.0,21710.0,21710.0,21710.0,22238.0,22114.0,23187.0,23058.0,23324.0,23835.0,23651.0,23847.0,23869.0,24600.0,24583.0,24840.0,25200.0,25001.0,25201.0,25201.0,26013.0,26001.0,26832.0,27042.0,27144.0,28065.0,27942.0,28974.0,29262.0,29841.0,29988.0,30043.0,31450.0,31557.0
Antigua and Barbuda_nan,17.0608,-61.7964,21608.0,21608.0,95.0,95.0,95.0,95.0,95.0,96.0,333.0,333.0,316.0,97.0,341.0,122.0,343.0,101.0,395.0,395.0,336.0,341.0,106.0,249.0,454.0,368.0,353.0,157.0,111.0,414.0,392.0,345.0,345.0,345.0,149.0,346.0,352.0,119.0,478.0,478.0,373.0,122.0,426.0,428.0,124.0,388.0,388.0,360.0,347.0,349.0,127.0,230.0,415.0,373.0,361.0,130.0,396.0,384.0,190.0,371.0,371.0,358.0,349.0,351.0,133.0,223.0,400.0,373.0,365.0,139.0,449.0,441.0,373.0,373.0,373.0,374.0,202.0,220.0,388.0,375.0,363.0,364.0,215.0,144.0,406.0,394.0,370.0,371.0,146.0,399.0,392.0,369.0,224.0,241.0,401.0,381.0,372.0,151.0,419.0,275.0,393.0,253.0,396.0,397.0,237.0,391.0,250.0,391.0,390.0,158.0,423.0,420.0,253.0,398.0,399.0,255.0,392.0,395.0,163.0,426.0,167.0,205.0,176.0,535.0,514.0,439.0,184.0,532.0,187.0,238.0,490.0,350.0,457.0,212.0,195.0,480.0,198.0,201.0,511.0,215.0,614.0,312.0,532.0,234.0,673.0,249.0,672.0,268.0,277.0,288.0,299.0,316.0,867.0,350.0,381.0,419.0,823.0,1084.0,443.0,999.0,525.0,548.0,1372.0,598.0,1187.0,628.0,636.0,797.0,701.0,1254.0,726.0,1032.0,769.0,1190.0,1209.0,813.0,1206.0,1217.0,848.0,1200.0,876.0,882.0,1247.0,927.0,960.0,1409.0,978.0,1290.0,1278.0,1245.0,1246.0,1009.0,1037.0,1388.0,1291.0,1287.0,1287.0,1325.0,1087.0,1406.0,1453.0,1142.0,1321.0,1523.0,1433.0,1456.0,1223.0,1663.0,1291.0,1666.0,1560.0,1511.0,1327.0,1391.0,1858.0,1474.0,1940.0,1568.0,1987.0,2080.0,1687.0,2159.0,1820.0
Argentina_nan,-38.4161,-63.6167,500253.0,555537.0,577486.0,590005.0,605921.0,618539.0,627879.0,635205.0,639185.0,650814.0,664831.0,678586.0,692167.0,703432.0,711696.0,721825.0,736060.0,751046.0,765657.0,780164.0,792027.0,798518.0,807557.0,823176.0,840965.0,857594.0,872445.0,885071.0,894260.0,902580.0,914844.0,931289.0,949102.0,966923.0,980690.0,990222.0,1001263.0,1017771.0,1037205.0,1054834.0,1069993.0,1082237.0,1090031.0,1099961.0,1114840.0,1130173.0,1143872.0,1157219.0,1167611.0,1173016.0,1180678.0,1193699.0,1205907.0,1216706.0,1228798.0,1237727.0,1241787.0,1248312.0,1260976.0,1273794.0,1284703.0,1296724.0,1305947.0,1310365.0,1316427.0,1327470.0,1339212.0,1349482.0,1359229.0,1366586.0,1370029.0,1372796.0,1379553.0,1389422.0,1399349.0,1407857.0,1413819.0,1418522.0,1423658.0,1431304.0,1439950.0,1447515.0,1454737.0,1459856.0,1462599.0,1464890.0,1468382.0,1473826.0,1481562.0,1489620.0,1495358.0,1498345.0,1502262.0,1509411.0,1516980.0,1524243.0,1531590.0,1537416.0,1541151.0,1545836.0,1554309.0,1563871.0,1565362.0,1570998.0,1580228.0,1581921.0,1589600.0,1601329.0,1615183.0,1626975.0,1631501.0,1633341.0,1639220.0,1647061.0,1661242.0,1677449.0,1691343.0,1705061.0,1715613.0,1722382.0,1729118.0,1742327.0,1757551.0,1770581.0,1783547.0,1792519.0,1798467.0,1805527.0,1817348.0,1831455.0,1843212.0,1854014.0,1862451.0,1866741.0,1872329.0,1883341.0,1895572.0,1905787.0,1915184.0,1922678.0,1926525.0,1931845.0,1941732.0,1952529.0,1961552.0,1970010.0,1976720.0,1979939.0,1983381.0,1991397.0,2000475.0,2008112.0,2015300.0,2021480.0,2025449.0,2027857.0,2031249.0,2037490.0,2046038.0,2054793.0,2061243.0,2064406.0,2068441.0,2076124.0,2084970.0,2093592.0,2099234.0,2103319.0,2106869.0,2110091.0,2117148.0,2125822.0,2134091.0,2141917.0,2147280.0,2149024.0,2152725.0,2160494.0,2169201.0,2170677.0,2232790.0,2339424.0,2359633.0,2415517.0,2458844.0,2426573.0,2487216.0,2546720.0,2530057.0,2530057.0,2530057.0,2530057.0,2596561.0,2645074.0,2723420.0,2797489.0,2744426.0,2744426.0,2744426.0,2754936.0,2879282.0,2933960.0,2892365.0,2984150.0,3041615.0,3157833.0,3266942.0,3236327.0,3282242.0,3263944.0,3301602.0,3344092.0,3332237.0,3332237.0,3332237.0,3425092.0,3557046.0,3550657.0,3545644.0,3556730.0,3628705.0
Armenia_nan,40.0691,45.0382,61047.0,61140.0,45969.0,46119.0,46376.0,46671.0,46910.0,47154.0,47666.0,47779.0,47966.0,48310.0,48710.0,49150.0,49500.0,49693.0,49982.0,50398.0,50880.0,51427.0,51979.0,52548.0,52778.0,53125.0,53745.0,54455.0,55118.0,55775.0,56476.0,56889.0,57543.0,58560.0,59909.0,61426.0,62981.0,64657.0,65545.0,66570.0,68314.0,70585.0,73162.0,75486.0,77761.0,78910.0,80118.0,82298.0,84736.0,87260.0,89716.0,92155.0,93536.0,94517.0,96715.0,99319.0,101653.0,104126.0,106405.0,107541.0,108414.0,110150.0,112402.0,114317.0,115782.0,117239.0,117918.0,118565.0,120161.0,121864.0,123592.0,124934.0,126162.0,126818.0,127279.0,128810.0,130775.0,132420.0,133669.0,134769.0,135192.0,135681.0,136993.0,138408.0,139695.0,140962.0,142002.0,142399.0,142746.0,143831.0,145174.0,146327.0,147342.0,148336.0,148776.0,148971.0,149976.0,151339.0,152314.0,153172.0,153872.0,154079.0,154422.0,155277.0,156114.0,156761.0,157346.0,157839.0,157970.0,158151.0,158768.0,159397.0,159773.0,159825.0,159950.0,160196.0,160478.0,160846.0,161078.0,161404.0,161829.0,162162.0,162332.0,162595.0,163119.0,163610.0,164003.0,164269.0,164560.0,164707.0,164828.0,165177.0,165515.0,165735.0,165902.0,166041.0,166089.0,166189.0,166403.0,166667.0,166780.0,166883.0,167050.0,167099.0,167211.0,167418.0,167589.0,167743.0,167945.0,168119.0,168197.0,168290.0,168482.0,168689.0,168845.0,169026.0,169190.0,169269.0,169377.0,169584.0,169829.0,170035.0,170244.0,170429.0,170520.0,170651.0,170923.0,171239.0,171532.0,171816.0,172080.0,172240.0,172425.0,172786.0,173297.0,173794.0,174279.0,174728.0,175036.0,175195.0,175449.0,175542.0,179769.0,184450.0,191427.0,194436.0,191795.0,191795.0,201221.0,206815.0,203879.0,203879.0,203879.0,207525.0,209921.0,214317.0,224411.0,232835.0,242548.0,245756.0,251721.0,256832.0,263363.0,268320.0,278124.0,289992.0,303640.0,312491.0,310768.0,327281.0,333213.0,350361.0,363386.0,356105.0,379798.0,393668.0,385756.0,388274.0,402514.0,426691.0,425610.0,422769.0,422769.0
Australia_Australian Capital Territory,-35.4735,149.0124,21624.0,21624.0,113.0,113.0,113.0,113.0,113.0,113.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,328.0,140.0,348.0,348.0,333.0,333.0,333.0,333.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,329.0,143.0,349.0,349.0,334.0,334.0,334.0,334.0,329.0,330.0,146.0,168.0,370.0,355.0,340.0,340.0,340.0,336.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,332.0,150.0,351.0,351.0,337.0,337.0,337.0,337.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,334.0,120.0,372.0,372.0,345.0,122.0,383.0,383.0,172.0,364.0,366.0,125.0,380.0,380.0,352.0,349.0,179.0,368.0,194.0,131.0,278.0,443.0,389.0,371.0,374.0,135.0,408.0,139.0,432.0,434.0,141.0,416.0,408.0,146.0,448.0,448.0,387.0,379.0,384.0,152.0,461.0,155.0,436.0,436.0,402.0,402.0,380.0,380.0,370.0,370.0,370.0
Australia_New South Wales,-33.8688,151.2093,25120.0,25126.0,4177.0,4185.0,4190.0,4196.0,4198.0,4200.0,4404.0,4420.0,4402.0,4430.0,4417.0,4430.0,4435.0,4434.0,4428.0,4423.0,4433.0,4430.0,4446.0,4442.0,4455.0,4413.0,4466.0,4436.0,4449.0,4494.0,4481.0,4485.0,4478.0,4475.0,4503.0,4537.0,4529.0,4541.0,4550.0,4553.0,4537.0,4564.0,4565.0,4580.0,4575.0,4599.0,4572.0,4597.0,4618.0,4615.0,4627.0,4633.0,4623.0,4649.0,4629.0,4664.0,4638.0,4659.0,4676.0,4657.0,4688.0,4686.0,4683.0,4683.0,4697.0,4636.0,4671.0,4718.0,4705.0,4715.0,4733.0,4713.0,4715.0,4754.0,4747.0,4754.0,4775.0,4762.0,4750.0,4778.0,4763.0,4786.0,4791.0,4784.0,4801.0,4822.0,4811.0,4820.0,4815.0,4834.0,4841.0,4816.0,4836.0,4853.0,4855.0,4852.0,4853.0,4862.0,4863.0,4845.0,4856.0,4939.0,4974.0,4993.0,4992.0,5043.0,5027.0,5054.0,5052.0,5094.0,5048.0,5091.0,5159.0,5108.0,5148.0,5173.0,5170.0,5185.0,5191.0,5177.0,5205.0,5215.0,5209.0,5200.0,5242.0,5261.0,5266.0,5235.0,5259.0,5268.0,5292.0,5290.0,5280.0,5305.0,5298.0,5292.0,5294.0,5304.0,5303.0,5301.0,5304.0,5312.0,5313.0,5304.0,5323.0,5325.0,5321.0,5334.0,5327.0,5333.0,5328.0,5335.0,5332.0,5338.0,5344.0,5345.0,5345.0,5354.0,5353.0,5341.0,5360.0,5353.0,5359.0,5353.0,5364.0,5355.0,5372.0,5354.0,5373.0,5372.0,5378.0,5389.0,5394.0,5386.0,5406.0,5380.0,5421.0,5421.0,5426.0,5416.0,5423.0,5421.0,5537.0,5335.0,5593.0,5593.0,5552.0,5780.0,5600.0,5924.0,5937.0,5775.0,5850.0,5857.0,5821.0,5960.0,5762.0,6026.0,6025.0,6246.0,6072.0,6271.0,6494.0,6381.0,6360.0,6661.0,6487.0,6942.0,6666.0,6946.0,6942.0,6890.0,6890.0,6881.0,7105.0,6926.0,7113.0,7468.0,7387.0,7377.0,7249.0,7401.0,7693.0
