region,Lat,Long,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-20 00:00:00,2020-10-21 00:00:00,2020-10-22 00:00:00,2020-10-23 00:00:00,2020-10-24 00:00:00,2020-10-25 00:00:00,2020-10-26 00:00:00,2020-10-27 00:00:00,2020-10-28 00:00:00,2020-10-29 00:00:00,2020-10-30 00:00:00,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-03 00:00:00,2020-11-04 00:00:00,2020-11-05 00:00:00,2020-11-06 00:00:00,2020-11-07 00:00:00,2020-11-08 00:00:00,2020-11-09 00:00:00,2020-11-10 00:00:00,2020-11-11 00:00:00,2020-11-12 00:00:00,2020-11-13 00:00:00,2020-11-14 00:00:00,2020-11-15 00:00:00,2020-11-16 00:00:00,2020-11-17 00:00:00,2020-11-18 00:00:00,2020-11-19 00:00:00,2020-11-20 00:00:00,2020-11-21 00:00:00,2020-11-22 00:00:00,2020-11-23 00:00:00,2020-11-24 00:00:00,2020-11-25 00:00:00,2020-11-26 00:00:00,2020-11-27 00:00:00,2020-11-28 00:00:00,2020-11-29 00:00:00,2020-11-30 00:00:00,2020-12-01 00:00:00,2020-12-02 00:00:00,2020-12-03 00:00:00,2020-12-04 00:00:00,2020-12-05 00:00:00,2020-12-06 00:00:00,2020-12-07 00:00:00,2020-12-08 00:00:00,2020-12-09 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-12 00:00:00,2020-12-13 00:00:00,2020-12-14 00:00:00,2020-12-15 00:00:00,2020-12-16 00:00:00,2020-12-17 00:00:00,2020-12-18 00:00:00,2020-12-19 00:00:00,2020-12-20 00:00:00,2020-12-21 00:00:00,2020-12-22 00:00:00,2020-12-23 00:00:00,2020-12-24 00:00:00,2020-12-25 00:00:00,2020-12-26 00:00:00,2020-12-27 00:00:00,2020-12-28 00:00:00,2020-12-29 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-01-02 00:00:00,2021-01-03 00:00:00,2021-01-04 00:00:00,2021-01-05 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,2021-01-10 00:00:00,2021-01-11 00:00:00,2021-01-12 00:00:00,2021-01-13 00:00:00,2021-01-14 00:00:00,2021-01-15 00:00:00,2021-01-16 00:00:00,2021-01-17 00:00:00,2021-01-18 00:00:00,2021-01-19 00:00:00,2021-01-20 00:00:00,2021-01-21 00:00:00,2021-01-22 00:00:00,2021-01-23 00:00:00,2021-01-24 00:00:00,2021-01-25 00:00:00,2021-01-26 00:00:00,2021-01-27 00:00:00,2021-01-28 00:00:00,2021-01-29 00:00:00,2021-01-30 00:00:00,2021-01-31 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,2021-02-04 00:00:00,2021-02-05 00:00:00,2021-02-06 00:00:00,2021-02-07 00:00:00,2021-02-08 00:00:00,2021-02-09 00:00:00,2021-02-10 00:00:00,2021-02-11 00:00:00,2021-02-12 00:00:00,2021-02-13 00:00:00,2021-02-14 00:00:00,2021-02-15 00:00:00,2021-02-16 00:00:00,2021-02-17 00:00:00,2021-02-18 00:00:00,2021-02-19 00:00:00,2021-02-20 00:00:00,2021-02-21 00:00:00,2021-02-22 00:00:00,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-02-25 00:00:00,2021-02-26 00:00:00,2021-02-27 00:00:00,2021-02-28 00:00:00,2021-03-01 00:00:00,2021-03-02 00:00:00,2021-03-03 00:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-03-06 00:00:00,2021-03-07 00:00:00,2021-03-08 00:00:00,2021-03-09 00:00:00,2021-03-10 00:00:00,2021-03-11 00:00:00,2021-03-12 00:00:00,2021-03-13 00:00:00,2021-03-14 00:00:00,2021-03-15 00:00:00,2021-03-16 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-19 00:00:00,2021-03-20 00:00:00,2021-03-21 00:00:00,2021-03-22 00:00:00,2021-03-23 00:00:00,2021-03-24 00:00:00,2021-03-25 00:00:00,2021-03-26 00:00:00,2021-03-27 00:00:00,2021-03-28 00:00:00,2021-03-29 00:00:00,2021-03-30 00:00:00,2021-03-31 00:00:00,2021-04-01 00:00:00,2021-04-02 00:00:00,2021-04-03 00:00:00,2021-04-04 00:00:00,2021-04-05 00:00:00,2021-04-06 00:00:00,2021-04-07 00:00:00,2021-04-08 00:00:00,2021-04-09 00:00:00,2021-04-10 00:00:00,2021-04-11 00:00:00,2021-04-12 00:00:00,2021-04-13 00:00:00,2021-04-14 00:00:00,2021-04-15 00:00:00,2021-04-16 00:00:00
Afghanistan_nan,33.93911,67.709953,55768.0,55816.0,38772.0,38815.0,38855.0,38872.0,38897.0,38919.0,39243.0,39286.0,39334.0,39350.0,39371.0,39379.0,39409.0,39424.0,39443.0,39458.0,39474.0,39481.0,39490.0,39528.0,39599.0,39662.0,39730.0,39797.0,39869.0,39884.0,39975.0,40035.0,40099.0,40171.0,40203.0,40265.0,40315.0,40372.0,40458.0,40537.0,40673.0,40786.0,40858.0,40943.0,41000.0,41097.0,41190.0,41302.0,41427.0,41501.0,41594.0,41666.0,41788.0,41884.0,41977.0,42097.0,42142.0,42206.0,42319.0,42444.0,42613.0,42764.0,42946.0,43118.0,43195.0,43388.0,43592.0,43805.0,44057.0,44304.0,44497.0,44649.0,44836.0,45096.0,45293.0,45515.0,45730.0,45862.0,45990.0,46235.0,46396.0,46646.0,46854.0,46982.0,47008.0,47205.0,47417.0,47642.0,47861.0,48005.0,48198.0,48271.0,48372.0,48645.0,48843.0,49090.0,49309.0,49515.0,49756.0,49832.0,49958.0,50143.0,50315.0,50563.0,50791.0,50959.0,51051.0,51183.0,51402.0,51497.0,51566.0,51679.0,51689.0,51695.0,51694.0,52971.0,53263.0,53333.0,53425.0,53435.0,53506.0,53596.0,53644.0,53756.0,53763.0,53921.0,53999.0,54106.0,54166.0,54231.0,54310.0,54435.0,54561.0,54655.0,54731.0,54769.0,54834.0,54911.0,55012.0,55065.0,55113.0,55179.0,55198.0,55231.0,55291.0,55345.0,55407.0,55445.0,55504.0,55518.0,55536.0,55561.0,55579.0,55599.0,55625.0,55629.0,56787.0,57006.0,57008.0,57603.0,57619.0,57734.0,57761.0,57705.0,57772.0,57761.0,57761.0,57796.0,57796.0,57803.0,57803.0,57803.0,59579.0,59949.0,59919.0,61497.0,61692.0,61638.0,64007.0,64430.0,64418.0,64418.0,64260.0,64304.0,67431.0,69695.0,70029.0,69895.0,69624.0,69644.0,72106.0,72785.0,75457.0,79038.0,79359.0,82933.0,86390.0,90504.0,94975.0,96058.0,96559.0,96737.0,96737.0,100267.0,103790.0,103932.0,103703.0,109366.0,111683.0,110433.0,110460.0,110626.0,110626.0,110626.0,113712.0,115490.0,114658.0,116790.0
Albania_nan,41.1533,20.1683,32194.0,32338.0,11520.0,11672.0,11816.0,11948.0,12073.0,12226.0,12537.0,12692.0,12841.0,12982.0,13087.0,13212.0,13340.0,13468.0,13562.0,13704.0,13857.0,13986.0,14143.0,14307.0,14455.0,14616.0,14762.0,14928.0,15092.0,15263.0,15435.0,15603.0,15782.0,15973.0,16206.0,16445.0,16705.0,17015.0,17305.0,17593.0,17891.0,18200.0,18505.0,18808.0,19114.0,19409.0,19704.0,20015.0,20277.0,20621.0,20845.0,21215.0,21481.0,21860.0,22231.0,22649.0,23125.0,23589.0,24097.0,24626.0,25174.0,25676.0,26134.0,26654.0,27134.0,27708.0,28302.0,28998.0,29687.0,30469.0,31284.0,32029.0,32658.0,33461.0,34131.0,34811.0,35510.0,36148.0,36711.0,37532.0,38069.0,38931.0,39623.0,40410.0,41214.0,42046.0,42884.0,43611.0,44364.0,45107.0,45956.0,46770.0,47654.0,48461.0,49145.0,49935.0,50580.0,51351.0,51968.0,52514.0,52996.0,53416.0,53809.0,54305.0,54822.0,55390.0,55805.0,56286.0,56626.0,57152.0,57740.0,58331.0,58431.0,58986.0,59469.0,59678.0,60287.0,61010.0,61728.0,62439.0,63064.0,63635.0,64017.0,64593.0,65309.0,65991.0,66656.0,67245.0,67725.0,68025.0,68535.0,69220.0,69920.0,70680.0,71471.0,72301.0,72878.0,73655.0,74557.0,75436.0,76348.0,77243.0,78120.0,78982.0,79893.0,80902.0,81959.0,83055.0,84186.0,85314.0,86284.0,87445.0,88637.0,89728.0,90796.0,94820.0,97293.0,96982.0,96770.0,96770.0,99669.0,100986.0,100526.0,103418.0,104377.0,106433.0,109623.0,111670.0,112216.0,111730.0,111730.0,116673.0,118919.0,117876.0,117876.0,120051.0,121116.0,123172.0,124369.0,126081.0,127108.0,126521.0,126999.0,127367.0,127367.0,127461.0,132909.0,135582.0,133979.0,133979.0,140849.0,144188.0,142323.0,149016.0,152165.0,150410.0,150410.0,150410.0,150410.0,158719.0,162939.0,160595.0,160595.0,160543.0,160543.0,160543.0,167278.0,171444.0,169026.0,169026.0,171629.0,173185.0,172595.0,172595.0,172595.0,179684.0,186185.0,185123.0
Algeria_nan,28.0339,1.6596,63985.0,64193.0,48496.0,48734.0,48966.0,49194.0,49413.0,49623.0,50152.0,50344.0,50532.0,50713.0,50890.0,51053.0,51208.0,51356.0,51510.0,51672.0,51834.0,51994.0,52144.0,52286.0,52421.0,52549.0,52671.0,52808.0,52953.0,53092.0,53227.0,53463.0,53562.0,53734.0,53924.0,54134.0,54349.0,54547.0,54757.0,54971.0,55212.0,55485.0,55759.0,56015.0,56274.0,56544.0,56827.0,57142.0,57451.0,57770.0,58065.0,58386.0,58691.0,59079.0,59612.0,60251.0,60896.0,61487.0,62133.0,62769.0,63491.0,64296.0,65144.0,66018.0,66866.0,67713.0,68611.0,69596.0,70637.0,71670.0,72763.0,73799.0,74862.0,75881.0,76978.0,78036.0,79099.0,80173.0,81215.0,82229.0,83207.0,84157.0,85092.0,85946.0,86745.0,87520.0,88272.0,88874.0,89441.0,90048.0,90626.0,91180.0,91708.0,92183.0,92673.0,93152.0,93596.0,94027.0,94463.0,94883.0,95302.0,95757.0,96183.0,96648.0,97124.0,97556.0,97972.0,98359.0,98736.0,99095.0,99417.0,99717.0,100004.0,100270.0,100521.0,100761.0,100993.0,101240.0,101508.0,101787.0,102052.0,102284.0,102504.0,102765.0,103000.0,103250.0,103518.0,103749.0,103969.0,104219.0,104475.0,104738.0,104990.0,105255.0,105510.0,105731.0,105980.0,106231.0,106487.0,106746.0,107016.0,107264.0,107474.0,107704.0,107967.0,108246.0,108518.0,108767.0,108798.0,109136.0,109491.0,109683.0,109930.0,110174.0,110442.0,110474.0,110405.0,110413.0,110410.0,113675.0,115909.0,117563.0,122007.0,122855.0,121842.0,121842.0,121842.0,121842.0,121842.0,126879.0,129392.0,127979.0,132718.0,139228.0,143636.0,143925.0,142928.0,151986.0,160195.0,159177.0,158531.0,158531.0,158531.0,158531.0,158531.0,158749.0,158886.0,158886.0,158873.0,158873.0,163447.0,165702.0,164205.0,164205.0,164058.0,164058.0,165396.0,172682.0,175744.0,173538.0,173436.0,181724.0,186149.0,183524.0,183524.0,190752.0,197228.0,195828.0,198947.0,201117.0,200040.0,200040.0,200040.0,200040.0,200040.0,209610.0,214994.0,218140.0
Andorra_nan,42.5063,1.5218,23571.0,23652.0,1438.0,1438.0,1483.0,1483.0,1564.0,1564.0,2004.0,1681.0,2115.0,1753.0,2145.0,1836.0,2157.0,2269.0,1966.0,2394.0,2050.0,2405.0,2110.0,2379.0,2603.0,2370.0,2989.0,2568.0,3071.0,2696.0,3036.0,3293.0,2995.0,3593.0,3190.0,3683.0,3377.0,3695.0,3906.0,3623.0,4101.0,3811.0,4273.0,4038.0,4310.0,4557.0,4325.0,4410.0,4517.0,4650.0,4665.0,4756.0,4825.0,4888.0,5089.0,5045.0,5135.0,5470.0,5319.0,5383.0,5445.0,5532.0,5567.0,5651.0,5725.0,5970.0,5872.0,5914.0,6007.0,6018.0,6066.0,6142.0,6207.0,6256.0,6304.0,6351.0,6428.0,6534.0,6610.0,6785.0,6712.0,6747.0,6790.0,6842.0,6904.0,6955.0,7005.0,7050.0,7084.0,7127.0,7162.0,7190.0,7236.0,7288.0,7338.0,7382.0,7465.0,7446.0,7477.0,7519.0,7560.0,7577.0,7602.0,7633.0,7669.0,7699.0,7756.0,7806.0,7847.0,7875.0,7919.0,7983.0,8049.0,8117.0,8166.0,8192.0,8249.0,8308.0,8348.0,8465.0,8489.0,8586.0,8609.0,8656.0,8682.0,8818.0,8868.0,8946.0,9038.0,9083.0,9159.0,9194.0,9308.0,9379.0,9416.0,9499.0,9549.0,9596.0,9638.0,9716.0,9779.0,9837.0,9885.0,9937.0,9972.0,10017.0,10070.0,10137.0,10172.0,10206.0,10251.0,10275.0,10312.0,10352.0,10391.0,10427.0,10427.0,10769.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,11249.0,11541.0,11910.0,11938.0,11938.0,11938.0,12449.0,12702.0,12702.0,12702.0,12702.0,12702.0,12894.0,13294.0,13294.0,13596.0,13781.0,13781.0,13781.0,13878.0,14148.0,14411.0,14411.0,14411.0,14411.0,14524.0,14802.0,14802.0,14802.0,14802.0,14819.0,15089.0,15089.0,15089.0,15089.0,15089.0,15089.0,15089.0,15109.0,15123.0,15390.0,15691.0,15975.0,15975.0,15975.0,15975.0,15975.0,15975.0,15975.0,16034.0,16034.0,16312.0,16445.0,16737.0
Angola_nan,-11.2027,17.8739,25332.0,25376.0,3439.0,3569.0,3675.0,3789.0,3848.0,3901.0,3991.0,4117.0,4236.0,4363.0,4475.0,4590.0,4718.0,4936.0,4863.0,4905.0,5144.0,5114.0,5295.0,5370.0,5739.0,5545.0,5725.0,6290.0,5958.0,6302.0,6246.0,6440.0,6636.0,6680.0,6927.0,7096.0,7459.0,7462.0,7739.0,7859.0,8108.0,8338.0,8619.0,8838.0,9275.0,9381.0,9691.0,9991.0,10205.0,10485.0,10572.0,10907.0,11150.0,11528.0,11577.0,12022.0,12104.0,12448.0,12538.0,12751.0,12698.0,13013.0,13126.0,13321.0,13370.0,13502.0,13748.0,13825.0,13901.0,14239.0,14247.0,14486.0,14567.0,14762.0,14800.0,14921.0,15053.0,15114.0,15206.0,15243.0,15339.0,15411.0,15401.0,15507.0,15659.0,15613.0,15766.0,15810.0,15874.0,15929.0,16054.0,16145.0,16243.0,16323.0,16469.0,16480.0,16533.0,16651.0,16695.0,16761.0,16804.0,16881.0,16958.0,17016.0,17121.0,17234.0,17309.0,17403.0,17421.0,17525.0,17575.0,17698.0,17680.0,17811.0,17819.0,17855.0,17919.0,17999.0,18084.0,18187.0,18295.0,18338.0,18434.0,18492.0,18550.0,18736.0,18741.0,18930.0,19020.0,19046.0,19176.0,19229.0,19312.0,19409.0,19500.0,19538.0,19659.0,19696.0,19728.0,19853.0,19858.0,19947.0,19967.0,20023.0,20073.0,20086.0,20172.0,20197.0,20244.0,20271.0,20298.0,20343.0,20375.0,20431.0,20467.0,21158.0,21307.0,21708.0,22044.0,21982.0,21883.0,22270.0,22661.0,22834.0,24237.0,24170.0,24856.0,24679.0,24800.0,25852.0,26573.0,27191.0,27650.0,28827.0,28781.0,29136.0,29211.0,29139.0,30588.0,30646.0,30878.0,30934.0,30770.0,30777.0,30782.0,31722.0,31737.0,33277.0,33216.0,33455.0,34805.0,34783.0,34961.0,35005.0,34947.0,35001.0,35030.0,35030.0,35087.0,35087.0,36330.0,36817.0,37966.0,38097.0,38491.0,38419.0,38411.0,38411.0,38784.0,40091.0,41486.0,41794.0,42025.0,41887.0,42213.0,43907.0,44192.0,44420.0
Antigua and Barbuda_nan,17.0608,-61.7964,22495.0,22495.0,95.0,95.0,95.0,95.0,95.0,96.0,333.0,333.0,317.0,97.0,340.0,112.0,343.0,101.0,394.0,394.0,337.0,342.0,106.0,239.0,451.0,369.0,354.0,150.0,111.0,412.0,391.0,345.0,345.0,346.0,142.0,346.0,352.0,119.0,475.0,475.0,375.0,122.0,426.0,428.0,124.0,388.0,388.0,361.0,347.0,350.0,127.0,222.0,413.0,373.0,362.0,130.0,396.0,384.0,184.0,371.0,371.0,358.0,350.0,352.0,133.0,216.0,399.0,373.0,365.0,139.0,448.0,439.0,374.0,374.0,374.0,375.0,196.0,213.0,387.0,375.0,363.0,364.0,209.0,144.0,405.0,393.0,370.0,372.0,146.0,399.0,391.0,369.0,219.0,235.0,400.0,381.0,373.0,151.0,418.0,269.0,393.0,248.0,397.0,398.0,231.0,391.0,244.0,391.0,390.0,158.0,422.0,420.0,248.0,398.0,399.0,250.0,392.0,395.0,163.0,426.0,167.0,193.0,176.0,533.0,513.0,440.0,184.0,531.0,187.0,228.0,489.0,345.0,458.0,203.0,195.0,479.0,198.0,201.0,510.0,215.0,611.0,297.0,532.0,234.0,670.0,249.0,670.0,268.0,277.0,288.0,299.0,316.0,863.0,350.0,381.0,419.0,1201.0,973.0,436.0,917.0,855.0,450.0,757.0,780.0,476.0,835.0,835.0,741.0,631.0,733.0,733.0,717.0,503.0,520.0,945.0,538.0,876.0,895.0,560.0,921.0,582.0,609.0,1038.0,1010.0,656.0,684.0,1249.0,720.0,1116.0,1159.0,770.0,808.0,829.0,1311.0,866.0,1277.0,888.0,910.0,1137.0,1297.0,986.0,1027.0,1565.0,1058.0,1139.0,1104.0,1129.0,1199.0,1240.0,1762.0,1283.0,1651.0,1680.0,1336.0,1709.0,1375.0,1691.0,1674.0
Argentina_nan,-38.4161,-63.6167,501014.0,555537.0,577343.0,589832.0,605672.0,618274.0,627625.0,634990.0,639261.0,650881.0,664849.0,678596.0,692165.0,703440.0,711737.0,721902.0,736104.0,751069.0,765671.0,780183.0,792041.0,798585.0,807671.0,823235.0,840975.0,857583.0,872452.0,885084.0,894316.0,902677.0,914947.0,931331.0,949112.0,966905.0,980683.0,990263.0,1001347.0,1017832.0,1037227.0,1054836.0,1070019.0,1082268.0,1090111.0,1100076.0,1114916.0,1130203.0,1143890.0,1157234.0,1167616.0,1173065.0,1180764.0,1193734.0,1205898.0,1216704.0,1228780.0,1237695.0,1241802.0,1248361.0,1260978.0,1273742.0,1284665.0,1296680.0,1305894.0,1310361.0,1316464.0,1327474.0,1339172.0,1349442.0,1359187.0,1366543.0,1370017.0,1372821.0,1379565.0,1389380.0,1399279.0,1407775.0,1413747.0,1418472.0,1423622.0,1431268.0,1439884.0,1447451.0,1454666.0,1459792.0,1462556.0,1464867.0,1468352.0,1473775.0,1481478.0,1489508.0,1495244.0,1498257.0,1502199.0,1509334.0,1516887.0,1524156.0,1531495.0,1537325.0,1541079.0,1545790.0,1554240.0,1563774.0,1565265.0,1570994.0,1580087.0,1581871.0,1589532.0,1601235.0,1615037.0,1626836.0,1631404.0,1633327.0,1639196.0,1647032.0,1661180.0,1677314.0,1691215.0,1704934.0,1715524.0,1722346.0,1729135.0,1742332.0,1757484.0,1770524.0,1783479.0,1792460.0,1798448.0,1805530.0,1817336.0,1831381.0,1843134.0,1853937.0,1862378.0,1866700.0,1872327.0,1883301.0,1895486.0,1905688.0,1915095.0,1922581.0,1926465.0,1931812.0,1941672.0,1952422.0,1961445.0,1969903.0,1976616.0,1979858.0,1983338.0,1991328.0,2000362.0,2007993.0,2015180.0,2069588.0,2100902.0,2077536.0,2077536.0,2077536.0,2089470.0,2101025.0,2178530.0,2237278.0,2197016.0,2197016.0,2218428.0,2237342.0,2231128.0,2231128.0,2231128.0,2280488.0,2314149.0,2291820.0,2401347.0,2469910.0,2429184.0,2438435.0,2503331.0,2557452.0,2555252.0,2579460.0,2571916.0,2571916.0,2571916.0,2571916.0,2647583.0,2698772.0,2778304.0,2853449.0,2799086.0,2821120.0,2834017.0,2834017.0,2896325.0,2941080.0,2917477.0,2956336.0,2980911.0,2968412.0,2968412.0,3085272.0,3171705.0,3257587.0,3353837.0,3287403.0,3291526.0,3306050.0,3493446.0,3754670.0,3780073.0,3766299.0,3746772.0,3746772.0,3746772.0,3746772.0,3746772.0,3940051.0
Armenia_nan,40.0691,45.0382,61924.0,62016.0,45969.0,46119.0,46376.0,46671.0,46910.0,47154.0,47661.0,47778.0,47967.0,48307.0,48702.0,49141.0,49491.0,49687.0,49981.0,50394.0,50873.0,51419.0,51969.0,52539.0,52769.0,53128.0,53741.0,54445.0,55107.0,55767.0,56467.0,56878.0,57544.0,58552.0,59893.0,61402.0,62957.0,64635.0,65522.0,66575.0,68309.0,70567.0,73134.0,75457.0,77741.0,78891.0,80134.0,82301.0,84726.0,87247.0,89702.0,92141.0,93523.0,94534.0,96729.0,99311.0,101643.0,104119.0,106394.0,107536.0,108434.0,110167.0,112404.0,114312.0,115783.0,117243.0,117919.0,118585.0,120171.0,121861.0,123587.0,124926.0,126162.0,126815.0,127294.0,128819.0,130768.0,132408.0,133663.0,134768.0,135192.0,135698.0,137001.0,138406.0,139690.0,140958.0,141997.0,142399.0,142757.0,143838.0,145171.0,146322.0,147338.0,148332.0,148773.0,148980.0,149984.0,151334.0,152307.0,153170.0,153868.0,154080.0,154430.0,155281.0,156110.0,156758.0,157344.0,157836.0,157969.0,158157.0,158769.0,159393.0,159769.0,159824.0,159952.0,160194.0,160477.0,160842.0,161073.0,161400.0,161823.0,162156.0,162328.0,162594.0,163114.0,163603.0,163998.0,164265.0,164558.0,164703.0,164829.0,165175.0,165511.0,165730.0,165899.0,166037.0,166086.0,166187.0,166400.0,166662.0,166774.0,166880.0,167045.0,167095.0,167208.0,167413.0,167584.0,167738.0,167940.0,168113.0,168192.0,168287.0,168478.0,168684.0,168840.0,168856.0,168830.0,168830.0,170643.0,171572.0,172641.0,173500.0,172918.0,172918.0,172918.0,178924.0,182193.0,180149.0,180157.0,183491.0,185410.0,192824.0,197324.0,198144.0,200181.0,209647.0,223614.0,229371.0,232219.0,231409.0,246283.0,255123.0,250538.0,251573.0,265436.0,280674.0,280384.0,278252.0,286741.0,291639.0,303323.0,312310.0,307595.0,315365.0,319317.0,317622.0,325739.0,330576.0,328501.0,328501.0,328501.0,335491.0,339986.0,352208.0,361811.0,355566.0,355566.0,355566.0,370896.0,381382.0,375430.0,375430.0,392318.0,403029.0,396649.0,396649.0,415924.0,437032.0
Australia_Australian Capital Territory,-35.4735,149.0124,22511.0,22511.0,113.0,113.0,113.0,113.0,113.0,113.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,328.0,132.0,348.0,348.0,333.0,333.0,333.0,333.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,329.0,135.0,349.0,349.0,334.0,334.0,334.0,334.0,329.0,330.0,139.0,160.0,369.0,355.0,341.0,341.0,341.0,336.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,143.0,351.0,351.0,337.0,337.0,337.0,337.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,146.0,352.0,352.0,338.0,338.0,338.0,341.0,122.0,392.0,212.0,370.0,190.0,374.0,379.0,129.0,441.0,441.0,135.0,474.0,474.0,404.0,143.0,365.0,149.0,488.0,476.0,421.0,151.0,418.0,416.0,153.0,404.0,410.0,160.0,482.0,485.0,163.0,445.0,175.0,442.0,425.0,174.0,526.0,515.0,425.0,418.0,418.0,418.0,389.0,389.0,393.0,178.0,443.0,443.0,405.0,409.0,182.0,460.0,209.0,188.0
Australia_New South Wales,-33.8688,151.2093,26006.0,26012.0,4177.0,4185.0,4190.0,4196.0,4198.0,4200.0,4403.0,4419.0,4401.0,4430.0,4416.0,4430.0,4435.0,4434.0,4428.0,4422.0,4433.0,4430.0,4446.0,4442.0,4455.0,4411.0,4465.0,4433.0,4447.0,4493.0,4480.0,4484.0,4476.0,4472.0,4501.0,4536.0,4528.0,4540.0,4549.0,4552.0,4535.0,4563.0,4564.0,4579.0,4574.0,4599.0,4570.0,4596.0,4617.0,4614.0,4626.0,4632.0,4621.0,4648.0,4627.0,4663.0,4636.0,4659.0,4675.0,4655.0,4688.0,4687.0,4684.0,4683.0,4697.0,4633.0,4668.0,4717.0,4704.0,4714.0,4733.0,4711.0,4713.0,4753.0,4746.0,4754.0,4775.0,4762.0,4748.0,4777.0,4761.0,4785.0,4790.0,4782.0,4800.0,4822.0,4810.0,4819.0,4814.0,4834.0,4841.0,4815.0,4834.0,4852.0,4854.0,4851.0,4852.0,4860.0,4860.0,4839.0,4849.0,4934.0,4970.0,4990.0,4989.0,5041.0,5024.0,5052.0,5049.0,5092.0,5043.0,5088.0,5158.0,5104.0,5146.0,5172.0,5169.0,5185.0,5190.0,5176.0,5204.0,5214.0,5207.0,5197.0,5240.0,5261.0,5266.0,5233.0,5258.0,5267.0,5292.0,5289.0,5280.0,5305.0,5298.0,5291.0,5294.0,5304.0,5302.0,5301.0,5304.0,5311.0,5313.0,5303.0,5323.0,5325.0,5320.0,5334.0,5326.0,5333.0,5327.0,5335.0,5331.0,5337.0,5344.0,5366.0,5325.0,5425.0,5454.0,5847.0,5823.0,5795.0,5981.0,6184.0,6508.0,6528.0,6462.0,6818.0,6639.0,7004.0,7047.0,6757.0,7108.0,6916.0,7160.0,7440.0,7620.0,7980.0,7899.0,7850.0,7844.0,7990.0,7796.0,8272.0,8148.0,8285.0,8614.0,8613.0,8783.0,8841.0,9461.0,9146.0,9432.0,9885.0,9672.0,10024.0,10435.0,10473.0,10211.0,10459.0,10459.0,10418.0,10419.0,10664.0,10496.0,11187.0,10989.0,11340.0,11869.0,11750.0,12130.0,12204.0,12236.0,12866.0,12754.0,13251.0,13670.0,13981.0
