region,Lat,Long,2021-06-25 00:00:00,2021-06-26 00:00:00,2021-06-27 00:00:00,2021-06-28 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,2021-07-01 00:00:00,2021-07-02 00:00:00,2021-07-03 00:00:00,2021-07-04 00:00:00,2021-07-05 00:00:00,2021-07-06 00:00:00,2021-07-07 00:00:00,2021-07-08 00:00:00,2021-07-09 00:00:00,2021-07-10 00:00:00,2021-07-11 00:00:00,2021-07-12 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,2021-07-16 00:00:00,2021-07-17 00:00:00,2021-07-18 00:00:00,2021-07-19 00:00:00,2021-07-20 00:00:00,2021-07-21 00:00:00,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-24 00:00:00,2021-07-25 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-29 00:00:00,2021-07-30 00:00:00,2021-07-31 00:00:00,2021-08-01 00:00:00,2021-08-02 00:00:00,2021-08-03 00:00:00,2021-08-04 00:00:00,2021-08-05 00:00:00,2021-08-06 00:00:00,2021-08-07 00:00:00,2021-08-08 00:00:00,2021-08-09 00:00:00,2021-08-10 00:00:00,2021-08-11 00:00:00,2021-08-12 00:00:00,2021-08-13 00:00:00,2021-08-14 00:00:00,2021-08-15 00:00:00,2021-08-16 00:00:00,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-08-21 00:00:00,2021-08-22 00:00:00,2021-08-23 00:00:00,2021-08-24 00:00:00,2021-08-25 00:00:00,2021-08-26 00:00:00,2021-08-27 00:00:00,2021-08-28 00:00:00,2021-08-29 00:00:00,2021-08-30 00:00:00,2021-08-31 00:00:00,2021-09-01 00:00:00,2021-09-02 00:00:00,2021-09-03 00:00:00,2021-09-04 00:00:00,2021-09-05 00:00:00,2021-09-06 00:00:00,2021-09-07 00:00:00,2021-09-08 00:00:00,2021-09-09 00:00:00,2021-09-10 00:00:00,2021-09-11 00:00:00,2021-09-12 00:00:00,2021-09-13 00:00:00,2021-09-14 00:00:00,2021-09-15 00:00:00,2021-09-16 00:00:00,2021-09-17 00:00:00,2021-09-18 00:00:00,2021-09-19 00:00:00,2021-09-20 00:00:00,2021-09-21 00:00:00,2021-09-22 00:00:00,2021-09-23 00:00:00,2021-09-24 00:00:00,2021-09-25 00:00:00,2021-09-26 00:00:00,2021-09-27 00:00:00,2021-09-28 00:00:00,2021-09-29 00:00:00,2021-09-30 00:00:00,2021-10-01 00:00:00,2021-10-02 00:00:00,2021-10-03 00:00:00,2021-10-04 00:00:00,2021-10-05 00:00:00,2021-10-06 00:00:00,2021-10-07 00:00:00,2021-10-08 00:00:00,2021-10-09 00:00:00,2021-10-10 00:00:00,2021-10-11 00:00:00,2021-10-12 00:00:00,2021-10-13 00:00:00,2021-10-14 00:00:00,2021-10-15 00:00:00,2021-10-16 00:00:00,2021-10-17 00:00:00,2021-10-18 00:00:00,2021-10-19 00:00:00,2021-10-20 00:00:00,2021-10-21 00:00:00,2021-10-22 00:00:00,2021-10-23 00:00:00,2021-10-24 00:00:00,2021-10-25 00:00:00,2021-10-26 00:00:00,2021-10-27 00:00:00,2021-10-28 00:00:00,2021-10-29 00:00:00,2021-10-30 00:00:00,2021-10-31 00:00:00,2021-11-01 00:00:00,2021-11-02 00:00:00,2021-11-03 00:00:00,2021-11-04 00:00:00,2021-11-05 00:00:00,2021-11-06 00:00:00,2021-11-07 00:00:00,2021-11-08 00:00:00,2021-11-09 00:00:00,2021-11-10 00:00:00,2021-11-11 00:00:00,2021-11-12 00:00:00,2021-11-13 00:00:00,2021-11-14 00:00:00,2021-11-15 00:00:00,2021-11-16 00:00:00,2021-11-17 00:00:00,2021-11-18 00:00:00,2021-11-19 00:00:00,2021-11-20 00:00:00,2021-11-21 00:00:00,2021-11-22 00:00:00,2021-11-23 00:00:00,2021-11-24 00:00:00,2021-11-25 00:00:00,2021-11-26 00:00:00,2021-11-27 00:00:00,2021-11-28 00:00:00,2021-11-29 00:00:00,2021-11-30 00:00:00,2021-12-01 00:00:00,2021-12-02 00:00:00,2021-12-03 00:00:00,2021-12-04 00:00:00,2021-12-05 00:00:00,2021-12-06 00:00:00,2021-12-07 00:00:00,2021-12-08 00:00:00,2021-12-09 00:00:00,2021-12-10 00:00:00,2021-12-11 00:00:00,2021-12-12 00:00:00,2021-12-13 00:00:00,2021-12-14 00:00:00,2021-12-15 00:00:00,2021-12-16 00:00:00,2021-12-17 00:00:00,2021-12-18 00:00:00,2021-12-19 00:00:00,2021-12-20 00:00:00,2021-12-21 00:00:00,2021-12-22 00:00:00,2021-12-23 00:00:00,2021-12-24 00:00:00,2021-12-25 00:00:00,2021-12-26 00:00:00,2021-12-27 00:00:00,2021-12-28 00:00:00,2021-12-29 00:00:00,2021-12-30 00:00:00,2021-12-31 00:00:00,2022-01-01 00:00:00,2022-01-02 00:00:00,2022-01-03 00:00:00,2022-01-04 00:00:00,2022-01-05 00:00:00,2022-01-06 00:00:00,2022-01-07 00:00:00,2022-01-08 00:00:00,2022-01-09 00:00:00,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00
Afghanistan_nan,33.93911,67.709953,216748.0,218059.0,113124.0,114220.0,115751.0,117158.0,118659.0,120216.0,124668.0,126236.0,127492.0,129004.0,130419.0,131572.0,133161.0,134213.0,135190.0,136355.0,137470.0,138217.0,139487.0,140531.0,141700.0,142193.0,143278.0,144018.0,144431.0,144997.0,145217.0,145459.0,145620.0,146006.0,146585.0,147035.0,147550.0,148096.0,148711.0,149091.0,149650.0,150188.0,150546.0,151016.0,151444.0,151871.0,152110.0,152471.0,152685.0,152964.0,153218.0,153428.0,153607.0,153707.0,153832.0,153920.0,154033.0,154076.0,154122.0,154164.0,154174.0,154243.0,154301.0,154362.0,154455.0,154580.0,154635.0,154687.0,154797.0,154856.0,154911.0,154962.0,155025.0,155042.0,155080.0,155178.0,155250.0,155361.0,155463.0,155588.0,155620.0,155658.0,155753.0,155818.0,155920.0,155994.0,156119.0,156124.0,156157.0,156242.0,156342.0,156390.0,156448.0,156591.0,156587.0,156627.0,156724.0,156734.0,156782.0,156821.0,156842.0,156843.0,156848.0,156931.0,156937.0,157018.0,157059.0,157089.0,157114.0,157156.0,157186.0,157240.0,157266.0,157323.0,157329.0,157386.0,157405.0,157425.0,157450.0,157499.0,157528.0,157570.0,157584.0,157595.0,157678.0,157700.0,157765.0,157801.0,157838.0,157856.0,157898.0,157929.0,157951.0,157970.0,158006.0,158031.0,158042.0,158048.0,158048.0,158047.0,158060.0,158094.0,158120.0,158145.0,158187.0,158241.0,158282.0,158371.0,158374.0,158457.0,158496.0,158539.0,158560.0,158654.0,158665.0,158779.0,158800.0,158840.0,158866.0,158906.0,158935.0,158997.0,159024.0,159054.0,159075.0,159100.0,159141.0,159150.0,159187.0,159221.0,159241.0,159256.0,159278.0,159292.0,159304.0,159311.0,159363.0,159366.0,159388.0,159425.0,159435.0,159459.0,159481.0,159517.0,159525.0,159540.0,159590.0,159601.0,159639.0,159673.0,159694.0,159724.0,159747.0,159823.0,159816.0,159854.0,159884.0,159913.0,159940.0,159945.0,159950.0,159947.0,164529.0,164240.0,165435.0,165433.0
Albania_nan,41.1533,20.1683,234647.0,234649.0,132509.0,132512.0,132513.0,132514.0,132521.0,132523.0,133521.0,133521.0,133525.0,133531.0,133542.0,133548.0,133565.0,133570.0,133579.0,133585.0,133595.0,133602.0,133615.0,133630.0,133646.0,133667.0,133679.0,133722.0,133736.0,133777.0,133805.0,133833.0,133858.0,133876.0,133908.0,133931.0,133976.0,134008.0,134055.0,134094.0,134124.0,134189.0,134270.0,134386.0,134522.0,134660.0,134844.0,134920.0,135164.0,135392.0,135650.0,136021.0,136396.0,136796.0,137037.0,137535.0,137930.0,138445.0,138966.0,139608.0,140125.0,140591.0,141394.0,142112.0,142991.0,143900.0,144816.0,145620.0,146206.0,147280.0,148110.0,149003.0,149914.0,150873.0,151759.0,152347.0,153169.0,154121.0,155039.0,156031.0,156916.0,157804.0,158280.0,159307.0,160171.0,161109.0,162054.0,162912.0,163726.0,164236.0,165131.0,165861.0,166633.0,167437.0,168103.0,168682.0,169026.0,169627.0,170224.0,170864.0,171495.0,172047.0,172537.0,172618.0,173404.0,173878.0,174445.0,174881.0,175364.0,175702.0,175936.0,176430.0,176870.0,177353.0,177789.0,178226.0,178660.0,178913.0,179509.0,180104.0,180676.0,181268.0,181895.0,182370.0,182686.0,183315.0,183934.0,184524.0,185006.0,185553.0,185972.0,186218.0,186894.0,187424.0,187997.0,188603.0,188697.0,189717.0,189979.0,190774.0,191396.0,192057.0,192630.0,193220.0,193743.0,193953.0,194516.0,195083.0,195627.0,196122.0,196592.0,196658.0,197218.0,197755.0,198353.0,198854.0,199311.0,199724.0,200144.0,200394.0,200587.0,200797.0,201211.0,201597.0,201953.0,202279.0,202473.0,202848.0,203196.0,203442.0,203766.0,204071.0,204340.0,204491.0,204844.0,205161.0,205462.0,205757.0,206076.0,206316.0,206455.0,206803.0,207136.0,207455.0,207738.0,208057.0,208243.0,208274.0,208834.0,209371.0,209448.0,210582.0,210754.0,211363.0,211439.0,212476.0,212589.0,213670.0,215244.0,215466.0,215495.0,219702.0,220449.0,221546.0,223005.0,223348.0
Algeria_nan,28.0339,1.6596,239153.0,239445.0,138113.0,138465.0,138840.0,139229.0,139626.0,140075.0,142595.0,143070.0,143565.0,144046.0,144626.0,145217.0,146014.0,146778.0,147576.0,148468.0,149392.0,150319.0,151426.0,152582.0,153697.0,154838.0,156030.0,157314.0,158536.0,159784.0,161126.0,162416.0,163730.0,165221.0,166733.0,168610.0,170157.0,171782.0,173050.0,174303.0,175647.0,176930.0,178391.0,179649.0,180886.0,182035.0,183091.0,184104.0,185076.0,185928.0,186764.0,187602.0,188355.0,188973.0,189668.0,190344.0,191049.0,191734.0,192323.0,192846.0,193273.0,193773.0,194289.0,194820.0,195315.0,195818.0,196304.0,196796.0,197224.0,197720.0,198166.0,198563.0,198954.0,199308.0,199653.0,199961.0,200289.0,200598.0,200906.0,201191.0,201454.0,201700.0,201933.0,202159.0,202395.0,202612.0,202841.0,203043.0,203222.0,203388.0,203567.0,203739.0,203899.0,204062.0,204189.0,204333.0,204485.0,204651.0,204803.0,204962.0,205120.0,205262.0,205397.0,205524.0,205654.0,205778.0,205885.0,205995.0,206096.0,206201.0,206299.0,206394.0,206500.0,206604.0,206705.0,206799.0,206887.0,206966.0,207053.0,207131.0,207200.0,207281.0,207349.0,207420.0,207498.0,207584.0,207663.0,207753.0,207860.0,207951.0,208046.0,208158.0,208246.0,208349.0,208470.0,208589.0,208677.0,208756.0,208852.0,208977.0,209102.0,209218.0,209353.0,209467.0,209568.0,209699.0,209840.0,209974.0,210123.0,210285.0,210432.0,210551.0,210707.0,210877.0,211056.0,211219.0,211408.0,211575.0,211748.0,211940.0,212128.0,212320.0,212516.0,212710.0,212895.0,213071.0,213262.0,213457.0,213647.0,213824.0,214029.0,214246.0,214445.0,214654.0,214882.0,215125.0,215343.0,215631.0,215919.0,216187.0,216435.0,216739.0,217030.0,217323.0,217688.0,217980.0,218245.0,218534.0,218868.0,219242.0,219631.0,220026.0,220412.0,220765.0,221139.0,221558.0,222017.0,222434.0,222913.0,228374.0,234606.0,235661.0,235542.0,235748.0,235949.0,238060.0
Andorra_nan,42.5063,1.5218,133127.0,133127.0,13882.0,13882.0,13882.0,13900.0,13911.0,13918.0,13918.0,13918.0,13918.0,13918.0,13991.0,14021.0,14050.0,14075.0,14075.0,14075.0,14155.0,14167.0,14167.0,14239.0,14273.0,14273.0,14273.0,14359.0,14379.0,14379.0,14464.0,14498.0,14498.0,14498.0,14577.0,14586.0,14586.0,14655.0,14678.0,14678.0,14678.0,14747.0,14766.0,14797.0,14809.0,14836.0,14836.0,14836.0,14836.0,14873.0,14891.0,14908.0,14924.0,14924.0,14924.0,14954.0,14960.0,14976.0,14981.0,14988.0,14988.0,14988.0,15002.0,15003.0,15014.0,15016.0,15025.0,15025.0,15025.0,15032.0,15033.0,15046.0,15052.0,15055.0,15055.0,15055.0,15069.0,15070.0,15070.0,15078.0,15083.0,15083.0,15083.0,15096.0,15099.0,15108.0,15113.0,15124.0,15124.0,15124.0,15140.0,15140.0,15153.0,15156.0,15167.0,15167.0,15167.0,15189.0,15192.0,15209.0,15222.0,15222.0,15222.0,15222.0,15267.0,15271.0,15284.0,15288.0,15291.0,15291.0,15291.0,15307.0,15307.0,15314.0,15326.0,15338.0,15338.0,15338.0,15367.0,15369.0,15382.0,15382.0,15404.0,15404.0,15404.0,15425.0,15425.0,15462.0,15505.0,15516.0,15516.0,15516.0,15516.0,15516.0,15572.0,15618.0,15618.0,15618.0,15618.0,15705.0,15717.0,15744.0,15744.0,15819.0,15819.0,15819.0,15907.0,15929.0,15972.0,16035.0,16086.0,16086.0,16086.0,16299.0,16342.0,16426.0,16566.0,16712.0,16712.0,16712.0,16712.0,17115.0,17426.0,17658.0,18010.0,18010.0,18010.0,18631.0,18815.0,18815.0,19272.0,19440.0,19440.0,19440.0,19440.0,20136.0,20136.0,20549.0,20549.0,20549.0,20549.0,21062.0,21062.0,21372.0,21571.0,21730.0,21730.0,21730.0,22332.0,22540.0,22823.0,23122.0,23740.0,23740.0,23740.0,24502.0,24802.0,25289.0,25289.0,26408.0,26985.0,26985.0,27933.0,29327.0,30512.0,30512.0
Angola_nan,-11.2027,17.8739,154085.0,154220.0,38528.0,38556.0,38613.0,38682.0,38849.0,38965.0,40740.0,40899.0,41037.0,41080.0,41178.0,41168.0,41388.0,41256.0,41618.0,41749.0,41784.0,41995.0,41936.0,42034.0,42362.0,42516.0,42563.0,42703.0,42743.0,42891.0,43078.0,43107.0,43454.0,43691.0,43766.0,43641.0,43972.0,44094.0,44313.0,44437.0,44794.0,44631.0,44834.0,44959.0,45096.0,44976.0,45313.0,45482.0,45570.0,45556.0,45806.0,45817.0,46059.0,46057.0,46454.0,46587.0,46557.0,46798.0,47157.0,47170.0,47372.0,47742.0,47981.0,47905.0,48237.0,48470.0,48587.0,48788.0,49064.0,49117.0,49241.0,49424.0,49712.0,49871.0,50154.0,50375.0,50763.0,50642.0,51097.0,51329.0,51659.0,51653.0,52507.0,52457.0,52777.0,53111.0,53406.0,53632.0,54135.0,54593.0,54303.0,54738.0,55025.0,55415.0,55956.0,56231.0,57047.0,57288.0,57848.0,57801.0,59938.0,58240.0,60235.0,60588.0,61889.0,61055.0,62080.0,62666.0,62955.0,63067.0,63371.0,63502.0,63737.0,63774.0,64145.0,64365.0,64490.0,64823.0,64835.0,64960.0,65214.0,65231.0,65459.0,65591.0,65664.0,65776.0,65815.0,65923.0,65979.0,66083.0,66145.0,66192.0,66264.0,66295.0,66316.0,66338.0,66402.0,66405.0,66477.0,66478.0,66546.0,66569.0,66605.0,66660.0,66666.0,66681.0,66719.0,66709.0,66723.0,66749.0,66769.0,66778.0,66789.0,66821.0,66815.0,66850.0,66868.0,66880.0,66907.0,66922.0,66927.0,66938.0,66958.0,66961.0,66993.0,67002.0,67014.0,67069.0,67047.0,67080.0,67125.0,67137.0,67146.0,67172.0,67205.0,67285.0,67239.0,67423.0,67500.0,67589.0,67783.0,68125.0,68332.0,69265.0,70437.0,70797.0,72762.0,73298.0,78341.0,76787.0,80597.0,82626.0,83268.0,84769.0,85847.0,86528.0,87894.0,88048.0,90061.0,90040.0,90998.0,90970.0,94369.0,92806.0,94954.0,94872.0
Antigua and Barbuda_nan,17.0608,-61.7964,122328.0,122328.0,1263.0,1263.0,1263.0,1263.0,1263.0,1264.0,2915.0,2915.0,2912.0,2913.0,2819.0,2920.0,2822.0,2920.0,2920.0,2917.0,2917.0,2915.0,2821.0,2918.0,2824.0,2921.0,2927.0,2270.0,2962.0,2961.0,2760.0,2956.0,2678.0,2968.0,2952.0,2204.0,2994.0,2350.0,2282.0,3047.0,3033.0,3017.0,2998.0,2277.0,2216.0,2333.0,3085.0,2183.0,2226.0,3184.0,1372.0,3211.0,3190.0,2642.0,1524.0,3220.0,3229.0,1421.0,3257.0,1447.0,1490.0,3546.0,1540.0,3707.0,1598.0,3809.0,3759.0,1638.0,2832.0,1713.0,3743.0,3442.0,2063.0,3201.0,3145.0,1870.0,3551.0,1960.0,3450.0,2059.0,4539.0,2166.0,4576.0,2297.0,4301.0,4646.0,4545.0,2603.0,5211.0,5211.0,4592.0,4596.0,3766.0,2815.0,4830.0,2902.0,4012.0,5116.0,3160.0,4589.0,3857.0,3336.0,3403.0,3503.0,5761.0,4881.0,3581.0,3663.0,5019.0,3738.0,4947.0,5354.0,4645.0,3898.0,4901.0,4460.0,4354.0,5321.0,4399.0,5328.0,4686.0,3987.0,5098.0,4628.0,5386.0,4996.0,5355.0,5190.0,5170.0,5297.0,4745.0,5298.0,5176.0,5085.0,5296.0,5208.0,5133.0,4923.0,5316.0,5308.0,5302.0,4987.0,5321.0,5210.0,4968.0,5330.0,5331.0,5216.0,5126.0,5338.0,5278.0,5208.0,5329.0,5301.0,5268.0,5323.0,5237.0,5324.0,5319.0,5318.0,5317.0,5315.0,5315.0,5316.0,5175.0,5296.0,5327.0,5296.0,5328.0,5243.0,5339.0,5108.0,5346.0,5262.0,5358.0,4936.0,5378.0,5357.0,5155.0,5057.0,5408.0,5406.0,5303.0,5289.0,5100.0,5431.0,4860.0,5461.0,4825.0,5483.0,5499.0,4815.0,5512.0,5491.0,5478.0,5628.0,4486.0,6140.0,4715.0,6349.0,6349.0,6225.0,6256.0,5127.0,6152.0,4817.0
Argentina_nan,-38.4161,-63.6167,3865048.0,4374587.0,4403133.0,4417088.0,4444034.0,4469709.0,4489811.0,4509768.0,4533549.0,4539782.0,4553588.0,4579188.0,4600806.0,4618272.0,4633200.0,4642708.0,4650614.0,4663720.0,4686254.0,4708267.0,4725195.0,4740951.0,4754092.0,4759405.0,4768857.0,4786915.0,4802556.0,4815419.0,4829937.0,4842781.0,4848473.0,4858610.0,4877651.0,4895727.0,4909239.0,4921773.0,4932303.0,4937516.0,4945953.0,4963120.0,4978728.0,4991441.0,5004898.0,5015160.0,5019934.0,5027885.0,5042306.0,5054851.0,5067034.0,5077111.0,5080946.0,5083893.0,5086573.0,5094050.0,5105826.0,5116819.0,5125347.0,5130206.0,5132527.0,5136947.0,5146686.0,5154813.0,5160769.0,5166477.0,5169956.0,5171458.0,5175378.0,5183704.0,5189789.0,5193550.0,5197501.0,5200128.0,5202405.0,5203834.0,5209248.0,5212808.0,5215967.0,5218993.0,5221809.0,5223604.0,5224534.0,5226831.0,5229848.0,5232358.0,5234851.0,5237159.0,5238610.0,5239232.0,5241394.0,5243231.0,5245265.0,5246998.0,5248847.0,5249840.0,5250402.0,5251940.0,5253765.0,5255261.0,5256902.0,5258466.0,5259352.0,5259738.0,5260719.0,5261935.0,5263219.0,5264305.0,5265058.0,5265528.0,5265859.0,5266275.0,5267339.0,5268653.0,5270003.0,5271361.0,5272151.0,5272551.0,5273463.0,5274766.0,5275984.0,5277525.0,5278910.0,5279818.0,5280358.0,5281585.0,5283000.0,5284485.0,5286074.0,5287447.0,5288259.0,5288807.0,5289945.0,5291285.0,5292549.0,5293989.0,5295260.0,5296188.0,5296781.0,5298069.0,5299418.0,5300985.0,5302445.0,5304059.0,5305151.0,5305742.0,5307159.0,5308781.0,5310334.0,5312089.0,5313607.0,5314702.0,5315348.0,5315989.0,5317633.0,5319867.0,5322127.0,5324039.0,5325560.0,5326448.0,5328416.0,5330748.0,5332629.0,5335310.0,5337692.0,5339382.0,5340676.0,5343153.0,5346242.0,5348123.0,5350867.0,5354440.0,5356885.0,5358455.0,5363181.0,5368477.0,5373790.0,5379646.0,5384224.0,5386875.0,5391562.0,5401537.0,5414500.0,5428420.0,5445443.0,5455492.0,5458327.0,5477427.0,5516602.0,5564466.0,5617556.0,5670023.0,5692797.0,5699459.0,5742524.0,5832510.0,5944505.0,6057813.0,6174918.0,6191951.0,6456217.0,6716682.0,6635225.0,6767744.0,6895877.0,7244849.0
Armenia_nan,40.0691,45.0382,313491.0,313571.0,224728.0,224797.0,224851.0,224967.0,225095.0,225221.0,225887.0,225982.0,226041.0,226098.0,226225.0,226403.0,226554.0,226701.0,226810.0,226888.0,227020.0,227180.0,227367.0,227528.0,227710.0,227850.0,227950.0,228132.0,228351.0,228575.0,228792.0,229038.0,229217.0,229338.0,229512.0,229779.0,230019.0,230272.0,230516.0,230746.0,230898.0,231123.0,231401.0,231721.0,232025.0,232321.0,232564.0,232718.0,233009.0,233395.0,233793.0,234182.0,234607.0,234956.0,235225.0,235574.0,236063.0,236616.0,237127.0,237630.0,238033.0,238306.0,238804.0,239441.0,240115.0,240648.0,241307.0,241746.0,242031.0,242522.0,243139.0,243764.0,244346.0,244959.0,245405.0,245667.0,246130.0,246770.0,247363.0,247998.0,248719.0,249214.0,249519.0,250129.0,250901.0,251661.0,252408.0,253379.0,253976.0,254315.0,254791.0,255116.0,255925.0,256868.0,257895.0,258820.0,259354.0,260063.0,260988.0,262030.0,262965.0,264068.0,265019.0,265663.0,266506.0,267659.0,268969.0,270183.0,271480.0,272666.0,273340.0,274158.0,275375.0,276939.0,278689.0,280544.0,282269.0,283529.0,284587.0,286523.0,289193.0,291458.0,293355.0,295628.0,297067.0,298401.0,300475.0,302832.0,304925.0,307038.0,308724.0,309758.0,310913.0,312885.0,315278.0,317173.0,319172.0,320742.0,321528.0,322521.0,324203.0,325776.0,327001.0,328190.0,329082.0,329458.0,329923.0,330881.0,331931.0,332716.0,333497.0,334039.0,334270.0,334736.0,335608.0,336277.0,336852.0,337393.0,337781.0,337981.0,338320.0,338845.0,339393.0,339806.0,340175.0,340516.0,340723.0,340818.0,341223.0,341563.0,341859.0,342158.0,342405.0,342538.0,342604.0,342765.0,342977.0,343157.0,343350.0,343506.0,343636.0,343708.0,343845.0,343997.0,344126.0,344261.0,344379.0,344481.0,344540.0,344649.0,344737.0,344826.0,344930.0,344980.0,345007.0,345036.0,345126.0,345255.0,345389.0,345518.0,345943.0,346408.0,346408.0,346408.0,347001.0,347457.0
Australia_Australian Capital Territory,-35.4735,149.0124,121353.0,121353.0,124.0,124.0,124.0,124.0,124.0,124.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1969.0,129.0,402.0,559.0,152.0,169.0,191.0,207.0,219.0,1559.0,245.0,261.0,291.0,1225.0,314.0,335.0,361.0,384.0,589.0,398.0,421.0,595.0,451.0,483.0,498.0,1245.0,528.0,548.0,563.0,587.0,602.0,617.0,1011.0,652.0,1093.0,771.0,710.0,998.0,742.0,2334.0,786.0,782.0,961.0,817.0,849.0,874.0,1038.0,1861.0,928.0,959.0,1011.0,1063.0,1101.0,1185.0,1162.0,1402.0,1231.0,1271.0,1809.0,1326.0,1358.0,1634.0,1437.0,1483.0,1518.0,2676.0,1620.0,2877.0,2341.0,2275.0,1958.0,3054.0,2254.0,3287.0,3270.0,3009.0,3129.0,3229.0,3085.0,3125.0,3268.0,3400.0,3192.0,2739.0,2916.0,3408.0,2622.0,3000.0,3052.0,2754.0,3350.0,3350.0,2985.0,3252.0,3018.0,3343.0,3211.0,3600.0,2467.0,3011.0,3236.0,3176.0,3438.0,2989.0,3268.0,3658.0,3632.0,3674.0,3663.0,3660.0,3695.0,3794.0,3565.0,3796.0,3631.0,3691.0,3695.0,3919.0,3588.0,3809.0,4043.0,3101.0,4008.0,3895.0,3833.0,3733.0,3438.0,3067.0,3221.0,3281.0,3589.0,3501.0,2365.0,2450.0,2552.0,2694.0,2765.0,2942.0,3186.0,3311.0,3559.0,7468.0,4010.0,4919.0,5323.0,12119.0,7054.0,8021.0,9553.0,20031.0,10557.0,11752.0,13091.0,18616.0,13795.0,14379.0
Australia_New South Wales,-33.8688,151.2093,126147.0,126173.0,5756.0,5778.0,5798.0,5826.0,5854.0,5886.0,7135.0,7655.0,7255.0,7666.0,7503.0,7334.0,7288.0,7249.0,6836.0,6369.0,7021.0,7060.0,7778.0,7367.0,7205.0,7513.0,7765.0,8231.0,7804.0,7805.0,7848.0,7674.0,8180.0,8264.0,8173.0,8483.0,8531.0,9142.0,8915.0,9153.0,9581.0,9928.0,9865.0,10063.0,10354.0,10662.0,11153.0,11261.0,11558.0,11902.0,12245.0,12629.0,13092.0,13503.0,13978.0,14416.0,15043.0,15717.0,16353.0,17173.0,17995.0,18800.0,19545.0,20466.0,21471.0,22346.0,23372.0,24585.0,25857.0,27026.0,28543.0,29390.0,30807.0,32323.0,33792.0,35762.0,37475.0,38268.0,40100.0,41469.0,42620.0,44864.0,45976.0,47504.0,48557.0,49642.0,51098.0,52127.0,53572.0,54769.0,55708.0,56660.0,57635.0,58657.0,59647.0,60531.0,61641.0,62379.0,63285.0,64044.0,64959.0,65708.0,66513.0,67160.0,67740.0,68308.0,68924.0,69391.0,69944.0,70562.0,70887.0,71478.0,71752.0,72182.0,72497.0,72865.0,73137.0,73430.0,73693.0,74008.0,74252.0,74587.0,74908.0,75223.0,75504.0,75821.0,76062.0,76348.0,76591.0,76790.0,76980.0,77174.0,77304.0,77564.0,77685.0,78018.0,78241.0,78448.0,78750.0,78907.0,79167.0,79390.0,79619.0,79851.0,80073.0,80309.0,80486.0,80723.0,80910.0,81135.0,81342.0,81520.0,81688.0,81928.0,82118.0,82349.0,82603.0,82825.0,83023.0,83233.0,83436.0,83630.0,83930.0,84191.0,84496.0,84759.0,85084.0,85420.0,85710.0,86197.0,86668.0,87137.0,87744.0,88483.0,89557.0,90824.0,92733.0,94933.0,97461.0,100113.0,103346.0,106829.0,112025.0,116794.0,123497.0,129987.0,136780.0,143385.0,154313.0,165287.0,185714.0,188255.0,226836.0,247442.0,275295.0,309781.0,348073.0,388105.0,434029.0,445370.0,449500.0,467880.0,522910.0,566402.0,599911.0,614521.0
