,date,Afghanistan_nan,Albania_nan,Algeria_nan,Andorra_nan,Angola_nan,Antarctica_nan,Antigua and Barbuda_nan,Argentina_nan,Armenia_nan,Australia_Australian Capital Territory,Australia_New South Wales,Australia_Northern Territory,Australia_Queensland,Australia_South Australia,Australia_Tasmania,Australia_Victoria,Australia_Western Australia,Austria_nan,Azerbaijan_nan,Bahamas_nan,Bahrain_nan,Bangladesh_nan,Barbados_nan,Belarus_nan,Belgium_nan,Belize_nan,Benin_nan,Bhutan_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Botswana_nan,Brazil_nan,Brunei_nan,Bulgaria_nan,Burkina Faso_nan,Burma_nan,Burundi_nan,Cabo Verde_nan,Cambodia_nan,Cameroon_nan,Canada_Alberta,Canada_British Columbia,Canada_Diamond Princess,Canada_Grand Princess,Canada_Manitoba,Canada_New Brunswick,Canada_Newfoundland and Labrador,Canada_Northwest Territories,Canada_Nova Scotia,Canada_Nunavut,Canada_Ontario,Canada_Prince Edward Island,Canada_Quebec,Canada_Repatriated Travellers,Canada_Saskatchewan,Canada_Yukon,Central African Republic_nan,Chad_nan,Chile_nan,China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Macau,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Unknown,China_Xinjiang,China_Yunnan,China_Zhejiang,Colombia_nan,Comoros_nan,Congo (Brazzaville)_nan,Congo (Kinshasa)_nan,Costa Rica_nan,Cote d'Ivoire_nan,Croatia_nan,Cuba_nan,Cyprus_nan,Czechia_nan,Denmark_Faroe Islands,Denmark_Greenland,Denmark_nan,Diamond Princess_nan,Djibouti_nan,Dominica_nan,Dominican Republic_nan,Ecuador_nan,Egypt_nan,El Salvador_nan,Equatorial Guinea_nan,Eritrea_nan,Estonia_nan,Eswatini_nan,Ethiopia_nan,Fiji_nan,Finland_nan,France_French Guiana,France_French Polynesia,France_Guadeloupe,France_Martinique,France_Mayotte,France_New Caledonia,France_Reunion,France_Saint Barthelemy,France_Saint Pierre and Miquelon,France_St Martin,France_Wallis and Futuna,France_nan,Gabon_nan,Gambia_nan,Georgia_nan,Germany_nan,Ghana_nan,Greece_nan,Grenada_nan,Guatemala_nan,Guinea-Bissau_nan,Guinea_nan,Guyana_nan,Haiti_nan,Holy See_nan,Honduras_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Jamaica_nan,Japan_nan,Jordan_nan,Kazakhstan_nan,Kenya_nan,Kiribati_nan,"Korea, North_nan","Korea, South_nan",Kosovo_nan,Kuwait_nan,Kyrgyzstan_nan,Laos_nan,Latvia_nan,Lebanon_nan,Lesotho_nan,Liberia_nan,Libya_nan,Liechtenstein_nan,Lithuania_nan,Luxembourg_nan,MS Zaandam_nan,Madagascar_nan,Malawi_nan,Malaysia_nan,Maldives_nan,Mali_nan,Malta_nan,Marshall Islands_nan,Mauritania_nan,Mauritius_nan,Mexico_nan,Micronesia_nan,Moldova_nan,Monaco_nan,Mongolia_nan,Montenegro_nan,Morocco_nan,Mozambique_nan,Namibia_nan,Nepal_nan,Netherlands_Aruba,"Netherlands_Bonaire, Sint Eustatius and Saba",Netherlands_Curacao,Netherlands_Sint Maarten,Netherlands_nan,New Zealand_Cook Islands,New Zealand_nan,Nicaragua_nan,Niger_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Palau_nan,Panama_nan,Papua New Guinea_nan,Paraguay_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Romania_nan,Russia_nan,Rwanda_nan,Saint Kitts and Nevis_nan,Saint Lucia_nan,Saint Vincent and the Grenadines_nan,Samoa_nan,San Marino_nan,Sao Tome and Principe_nan,Saudi Arabia_nan,Senegal_nan,Serbia_nan,Seychelles_nan,Sierra Leone_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,Solomon Islands_nan,Somalia_nan,South Africa_nan,South Sudan_nan,Spain_nan,Sri Lanka_nan,Sudan_nan,Summer Olympics 2020_nan,Suriname_nan,Sweden_nan,Switzerland_nan,Syria_nan,Taiwan*_nan,Tajikistan_nan,Tanzania_nan,Thailand_nan,Timor-Leste_nan,Togo_nan,Tonga_nan,Trinidad and Tobago_nan,Tunisia_nan,Turkey_nan,Uganda_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_Anguilla,United Kingdom_Bermuda,United Kingdom_British Virgin Islands,United Kingdom_Cayman Islands,United Kingdom_Channel Islands,United Kingdom_Falkland Islands (Malvinas),United Kingdom_Gibraltar,United Kingdom_Guernsey,United Kingdom_Isle of Man,United Kingdom_Jersey,United Kingdom_Montserrat,"United Kingdom_Saint Helena, Ascension and Tristan da Cunha",United Kingdom_Turks and Caicos Islands,United Kingdom_nan,United States_nan,Uruguay_nan,Uzbekistan_nan,Vanuatu_nan,Venezuela_nan,Vietnam_nan,West Bank and Gaza_nan,Winter Olympics 2022_nan,Yemen_nan,Zambia_nan,Zimbabwe_nan
0,2021-11-27,157190,199137,209980,16712,65139,0,4141,5325560,337522,2117,81355,285,2120,931,239,119815,1122,1118256,584121,22734,277552,1575579,24769,650168,1701633,30165,24850,2636,535115,272798,194909,22081833,14992,688628,15711,521211,20386,38358,120064,106794,334203,217099,0,13,67420,8172,2048,2059,8169,674,621758,363,445755,13,80848,1475,11708,5107,1757077,1008,1191,610,1320,344,3297,395,159,190,1453,1992,1637,12424,68311,1199,618,1619,959,583,784,77,122,30,707,1017,2847,264,1271,530,1,12244,981,1691,1501,5063177,4489,18837,58115,566560,61704,599977,962067,131951,2110274,3408,1332,474637,712,13504,5819,406511,526615,355767,118919,13579,7305,221160,46528,371177,52494,185104,45802,45609,55080,45010,20938,12099,59048,1666,61,4013,454,7401437,37298,9989,835306,5717295,130920,920683,5888,617495,6440,30763,37707,25027,27,377859,1068888,17446,34572523,4255672,6105101,2079084,556319,1341881,4994891,91122,1726419,939293,1052622,254940,2,0,440896,161075,413266,183207,70323,251925,666768,21755,5821,370787,4477,469853,88108,9,44072,61889,2619577,91350,17300,39162,4,39115,55439,3879836,1,362326,3705,665104,156608,949648,151515,129160,820724,16312,2869,17390,4575,2599579,1,11260,13330,6958,213924,214676,259200,304519,1284189,8,477306,34906,462605,2232749,2831177,3487254,1139810,242979,1775572,9370694,100325,2779,12954,5500,3,5930,3731,549671,73981,1248719,23197,6401,261636,1143068,415898,20,23016,2958548,12717,5131012,561778,42056,865,50741,1198848,986834,47764,16578,17493,26261,2100959,19822,26241,1,69680,717163,8724400,127423,3580671,741858,1334,5730,2773,6738,0,79,7162,3670,11085,13654,44,4,3096,10110408,48236030,399181,192599,6,430046,1197404,459479,0,9981,210138,133836
1,2021-11-28,157218,199555,210152,16712,65144,0,4141,5326448,337931,2124,81499,286,2125,931,239,120814,1121,1130304,585783,22734,277585,1575784,24923,651839,1701633,30165,24850,2640,536472,272798,194909,22085369,14992,689356,15711,521561,20386,38362,120087,106794,334203,217099,0,13,67420,8217,2048,2059,8169,674,622519,363,446630,13,80901,1475,11708,5107,1759405,1008,1191,610,1320,344,3301,396,159,190,1453,1992,1637,12427,68311,1199,638,1619,959,583,784,77,122,30,707,1020,2853,265,1271,530,1,12265,981,1697,1501,5065373,4498,18837,58115,566560,61708,603316,962220,131951,2132380,3505,1332,478927,712,13504,5955,406803,526800,356718,119803,13579,7318,221549,46538,371262,52494,185898,45802,45609,55080,45010,20938,12105,59048,1666,61,4013,454,7433018,37298,9989,838639,5761696,130920,924506,5888,617610,6440,30763,37773,25027,27,377859,1068888,17446,34580832,4255936,6108882,2079622,560054,1342210,5007818,91169,1726479,943305,1053427,254951,2,0,444200,161081,413266,183248,71518,252413,668087,21755,5821,371571,4507,471244,88108,9,44072,61897,2623816,91464,17339,39234,4,39178,55573,3882792,1,362433,3705,666293,156873,949732,151524,129180,820878,16324,2889,17397,4575,2621022,1,11444,13330,6958,213982,215009,260921,304519,1284365,8,477306,35029,462605,2234075,2831807,3507828,1142707,243132,1776949,9403480,100330,2782,12977,5500,3,5930,3731,549695,73985,1250393,23197,6401,262383,1152125,417376,20,23016,2961406,12717,5131012,562520,42056,865,50760,1198848,986834,47965,16588,17493,26261,2106813,19822,26241,1,70136,717258,8746055,127451,3588916,741918,1334,5730,2773,6738,0,79,7179,3747,11152,13746,44,4,3096,10146915,48279179,399348,192831,6,430696,1210340,459479,0,9987,210143,133951
2,2021-11-29,157260,199750,210344,16712,65155,0,4141,5328416,338120,2130,81674,288,2127,932,239,121727,1121,1139925,586640,22763,277628,1576011,25152,653323,1749469,30338,24850,2640,536472,274219,195068,22089858,15058,692376,15711,521931,20415,38367,120112,106794,335009,218068,0,13,67753,8263,2057,2059,8227,674,623226,372,447386,13,80950,1507,11708,5107,1761365,1008,1191,610,1321,344,3310,400,159,190,1453,1992,1637,12430,68311,1199,659,1619,959,583,784,77,122,30,707,1021,2853,265,1271,531,1,12283,981,1699,1501,5067348,4498,18905,58234,566560,61712,604347,962350,133860,2133098,3553,1456,483253,712,13504,5955,407113,526870,357629,119803,13579,7341,221860,46582,371346,52506,186688,45864,45609,55080,45176,20938,12139,59048,1666,67,4013,454,7441297,37342,9989,840593,5791060,130920,931183,5888,617621,6440,30770,37825,25175,27,377859,1096718,17770,34587822,4256112,6113192,2080448,564657,1342976,5015790,91222,1726555,948966,1054091,254979,2,0,447230,161083,413327,183285,72447,252728,668605,21768,5823,372209,4562,471932,89010,9,44330,61901,2627903,91543,17364,39329,4,39213,55634,3884566,1,363110,3738,667361,157085,949785,151528,129180,821121,16335,2905,17401,4584,2643176,1,11576,13330,6989,214113,215125,263798,304519,1284840,8,477514,35090,463001,2234970,2832375,3520961,1144342,243290,1778045,9436650,100344,2782,12989,5525,3,5979,3731,549720,73987,1252573,23390,6402,263486,1159767,418413,20,23016,2963679,12755,5153923,563267,42826,865,50823,1198848,1006239,48068,16596,17493,26261,2111566,19822,26250,1,70598,717309,8770372,127523,3595410,741976,1386,5748,2773,6738,0,79,7203,3819,11230,13854,44,4,3096,10189059,48465468,399504,193065,6,431296,1224110,460053,0,9995,210150,134226
3,2021-11-30,157289,199945,210531,17115,65168,0,4141,5330748,338518,2134,81916,292,2130,932,240,122890,1121,1147912,588318,22791,277690,1576284,25316,654718,1766035,30431,24850,2640,537559,275065,195068,22100143,15058,695057,16000,522402,20415,38370,120134,106794,335247,218426,0,13,67877,8318,2057,2060,8288,674,624174,372,448170,13,80992,1514,11708,5107,1762751,1008,1191,610,1322,344,3314,401,159,190,1453,1992,1637,12436,68311,1199,750,1619,959,583,784,77,122,30,707,1021,2856,265,1276,531,1,12301,981,1707,1501,5069644,4501,18970,58234,566839,61724,608205,962486,134473,2150042,3626,1456,487401,712,13504,6028,407251,527333,358578,119803,13592,7358,222584,46656,371536,52506,188390,45984,45609,55080,45176,20973,12159,61188,1672,70,4031,454,7486179,37342,9989,845643,5836813,130920,938903,5897,617984,6440,30770,37874,25175,27,377859,1103108,17894,34596776,4256409,6117445,2081172,570115,1343660,5028547,91249,1726636,953943,1054972,255088,2,0,452350,161091,413362,183351,73738,253659,670656,21779,5824,372636,4678,473717,89181,9,44330,61916,2632782,91650,17434,39435,4,39266,55634,3884566,1,363774,3738,668402,157376,949917,151548,129187,821366,16354,2938,17401,4588,2661691,1,11723,13330,7007,214218,215585,267843,304554,1285254,8,477742,35179,463058,2236351,2832734,3540061,1147249,243447,1779667,9468640,100349,2786,13000,5525,3,6039,3731,549752,73987,1254845,23417,6402,264725,1170200,420898,20,23016,2968052,12758,5164184,563989,43084,865,50848,1204859,1014662,48170,16601,17493,26270,2115872,19823,26265,1,71361,717572,8795588,127550,3606622,742041,1386,5748,2773,7074,0,79,7248,3932,11339,13948,44,4,3096,10228772,48582575,399695,193208,6,431296,1238082,460053,0,10004,210169,134625
4,2021-12-01,157359,200173,210723,17426,65183,0,4141,5332629,339020,2142,82180,290,2133,952,240,124299,1121,1156022,590113,22802,277721,1576566,25429,656510,1786444,30517,24863,2640,538647,275965,195068,22112425,15111,697162,16000,522825,20432,38393,120160,107148,335677,218812,0,13,67999,8411,2059,2063,8322,674,625238,372,449366,13,81074,1519,11708,5107,1764274,1008,1191,610,1322,344,3315,409,159,190,1453,1992,1637,12439,68311,1199,803,1619,959,585,784,77,122,30,708,1021,2859,265,1277,532,1,12312,981,1710,1501,5071817,4508,18970,58306,566959,61758,613914,962628,134965,2172084,3688,1456,492521,712,13504,6028,407474,527688,359516,119803,13592,7393,223171,46753,371672,52532,189817,46014,46319,55080,45348,20973,12295,61188,1672,84,4031,454,7535587,37342,9989,850102,5903999,130920,945095,5898,618436,6442,30770,37951,25351,27,377859,1114260,18055,34606541,4256687,6121757,2082061,573905,1344103,5043620,91272,1726751,958990,1055779,255164,2,0,457612,161099,413383,183404,75163,254690,672548,21807,5824,373210,4745,475656,89766,9,44330,61926,2638221,91750,17500,39530,4,39339,56048,3891218,1,364433,3797,670381,157611,950088,151594,129243,821651,16372,2970,17426,4593,2684734,1,11895,13397,7007,214270,215995,271623,304572,1285631,8,477990,35237,463121,2237842,2833038,3569137,1151919,243607,1780808,9500836,100362,2786,13017,5562,3,6084,3731,549786,73990,1257025,23537,6402,266049,1182562,423162,20,23016,2976613,12777,5174720,564733,43229,865,50882,1207498,1025129,48267,16609,17493,26270,2120758,19825,26273,1,72019,717710,8818144,127589,3619223,742109,1386,5748,2809,7324,0,83,7281,4079,11486,14102,44,4,3099,10276007,48719685,399966,193424,6,432514,1252590,460799,0,10006,210195,135337
5,2021-12-02,157387,200639,210921,17658,65208,0,4141,5335310,339578,2146,82514,292,2139,953,240,125474,1121,1166983,591885,22809,277752,1576827,25627,658328,1809557,30618,24863,2640,539762,276548,195302,22124356,15111,699180,16000,523346,20439,38405,120183,107148,336043,219180,0,13,68166,8506,2059,2068,8362,674,626348,372,450512,13,81145,1533,11742,5107,1766493,1008,1194,610,1322,344,3318,413,159,190,1453,2002,1637,12445,68311,1199,859,1619,959,585,784,77,122,30,709,1021,2867,265,1277,533,1,12324,981,1720,1501,5074079,4521,18970,58319,567263,61775,619255,962778,135503,2193289,3750,1542,497201,712,13505,6120,407629,528101,360435,119803,13599,7412,223689,46917,371803,52532,191261,46060,46321,55080,45348,20973,12321,61188,1672,85,4031,454,7583957,37342,9992,853833,5977208,130920,951351,5900,618727,6442,30770,38027,25351,27,377859,1124726,18198,34615757,4256998,6125596,2082774,578064,1344668,5060430,91304,1726864,963655,1056517,255260,2,0,462555,161115,413419,183460,76496,255402,674000,21807,5824,373739,4809,477674,90336,9,44330,61936,2644027,91893,17572,39668,4,39408,56048,3891218,1,365165,3820,672184,157869,950223,151652,129243,821949,16392,2997,17440,4593,2706263,1,11992,13397,7056,214270,216328,275763,304581,1286022,8,478275,35354,463199,2239421,2833473,3596491,1154817,243758,1781957,9533593,100381,2787,13017,5579,3,6118,3732,549810,73996,1259005,23537,6402,267150,1192439,425288,20,23016,2988148,12777,5189220,565471,43489,865,50929,1209935,1034675,48357,16626,17493,26270,2125729,19825,26282,1,72775,717908,8839891,127618,3633386,742109,1414,5751,2809,7324,0,83,7324,4163,11614,14237,44,4,3103,10329074,48858533,400275,193633,6,433208,1266288,461157,0,10006,210220,136379
6,2021-12-03,157412,201045,211112,18010,65223,0,4146,5337692,339977,2153,82837,293,2146,957,240,126839,1122,1175757,593588,22825,277772,1577070,25792,660204,1827467,30680,24863,2640,540869,277228,195302,22134978,15142,701469,16000,523748,20439,38426,120207,107148,336392,219584,0,13,68308,8603,2064,2068,8381,674,627529,372,451867,13,81225,1537,11742,5703,1768584,1008,1194,610,1322,344,3322,416,159,190,1457,2007,1637,12448,68311,1199,920,1619,959,585,784,77,122,30,709,1021,2873,265,1277,533,1,12348,981,1727,1501,5076378,4527,18970,58319,567383,61794,623776,962892,136097,2211972,3796,1582,501760,712,13506,6120,407918,528590,361368,119803,13599,7442,224195,47158,371946,52543,192729,46094,46323,55080,45600,20973,12331,61188,1672,86,4031,454,7633529,37391,9992,857933,6051560,130920,957552,5900,619040,6444,30770,38068,25463,27,378251,1134869,18333,34624360,4257243,6129199,2083515,583472,1345083,5077445,91369,1727005,963655,1057315,255355,2,0,467907,161128,413441,183510,77500,256125,675765,21838,5824,374280,4862,479853,90774,9,44330,61949,2649578,91993,17698,39806,4,39468,56306,3897452,1,365713,3850,674029,158076,950374,151763,129508,822172,16414,3026,17455,4594,2728876,2,12087,13397,7061,214513,216670,279954,304581,1286453,8,478543,35390,463199,2241027,2833878,3623452,1157352,243912,1783630,9565909,100391,2789,13027,5579,3,6148,3732,549848,74007,1260806,23599,6402,267916,1209977,427035,20,23051,3004203,12804,5202958,566196,43489,865,50960,1212145,1044633,48452,16637,17493,26270,2130641,19827,26284,1,73759,718059,8861386,127651,3647777,742163,1414,5751,2809,7529,0,83,7340,4293,11764,14367,44,4,3103,10379647,49017143,400542,193893,6,433660,1280780,461467,0,10020,210262,137441
7,2021-12-04,157431,201402,211297,18010,65244,0,4147,5339382,340396,2159,83118,294,2152,962,240,127789,1122,1183006,594994,22825,277803,1577070,25964,662056,1827467,30680,24863,2641,542859,277228,195302,22142385,15164,702454,16000,524122,20439,38439,120232,107148,336392,219584,0,13,68308,8680,2064,2069,8381,674,628494,372,453379,13,81293,1537,11742,5703,1770620,1008,1194,610,1322,344,3323,417,159,190,1457,2017,1637,12452,68311,1199,950,1619,959,585,786,77,122,30,709,1021,2877,265,1277,535,1,12363,981,1736,1501,5078987,4528,18970,58319,567383,61817,628241,963002,136525,2229715,3796,1582,506085,712,13508,6120,408245,529174,362260,119803,13599,7458,224654,47368,372090,52543,194258,46094,46323,55080,45600,20973,12331,61188,1672,86,4031,454,7684993,37477,9992,861883,6116070,130920,962695,5907,619542,6444,30770,38118,25510,27,378251,1134869,18333,34624360,4257489,6131356,2083889,589094,1345442,5094072,91421,1727125,971401,1058105,255408,2,0,473034,161132,413464,183573,78469,256852,677147,21838,5824,374280,4862,481913,90774,9,44800,61966,2654474,92095,17812,39865,4,39510,56306,3897452,1,366162,3879,674951,158283,950501,151868,129638,822392,16432,3026,17470,4598,2751954,2,12195,13397,7061,214567,217025,282918,304581,1286825,8,478543,35390,463260,2242646,2834294,3649027,1163001,244071,1785120,9598283,100404,2789,13027,5579,3,6148,3732,549877,74013,1262419,23599,6402,268659,1221771,428945,20,23051,3020569,12804,5202958,566936,43489,865,50993,1212145,1044633,48538,16648,17493,26270,2136537,19828,26291,1,74533,718278,8881760,127651,3661583,742214,1414,5751,2809,7529,0,83,7360,4388,11861,14516,44,4,3103,10421104,49083484,400821,194105,6,434133,1294778,461467,0,10021,210294,138523
8,2021-12-05,157454,201730,211469,18010,65259,0,4147,5340676,340723,2165,83321,297,2155,972,240,128849,1122,1189268,596388,22825,277831,1577443,26095,663813,1827467,30680,24863,2641,543390,277228,195302,22147078,15186,703160,16000,524407,20439,38450,120256,107148,336392,219584,0,13,68308,8798,2064,2069,8381,675,629360,372,454635,13,81362,1537,11742,5703,1772547,1008,1194,610,1323,344,3324,426,159,190,1458,2024,1637,12461,68311,1199,978,1619,959,585,786,77,122,30,711,1022,2882,265,1277,535,1,12382,981,1742,1501,5081064,4542,18970,58319,567383,61824,631037,963090,136832,2240721,3916,1582,509111,712,13508,6120,408516,529349,363162,119803,13599,7458,224993,47504,372215,52543,195230,46094,46323,55080,45600,20973,12331,61188,1672,86,4031,454,7727146,37477,9992,865293,6158125,130920,966221,5908,619852,6444,30770,38160,25510,27,378251,1134869,18333,34641561,4257685,6134465,2084346,594250,1345915,5109082,91469,1727229,975956,1058758,255437,2,0,477358,161135,413491,183615,79833,257329,678801,21838,5824,374989,4893,483450,90774,9,44800,61981,2658772,92211,17915,39934,4,39558,56306,3901263,1,366256,3885,676062,158466,950591,151924,129796,822592,16450,3040,17485,4598,2772919,2,12331,13397,7080,214622,217301,284448,304603,1287161,8,479053,35538,463260,2243415,2834775,3671421,1166787,244223,1786036,9630296,100414,2790,13034,5623,3,6148,3733,549912,74024,1263663,23599,6402,269211,1230343,430064,20,23051,3031694,12804,5202958,567682,43489,865,51009,1212145,1044633,48619,16652,17493,26270,2141241,19828,26304,1,75134,718443,8901117,127655,3668794,742328,1414,5751,2809,7529,0,83,7371,4524,11926,14647,44,4,3103,10464389,49138667,400925,194333,6,434918,1309092,461467,0,10025,210312,139046
9,2021-12-06,157499,201902,211662,18631,65259,0,4148,5343153,340818,2167,83572,299,2155,971,240,130029,1122,1194582,596973,22839,277856,1577720,26200,665125,1868906,30824,24863,2641,544666,278511,195552,22153095,15202,705586,16000,524638,20473,38453,120272,107148,337180,220530,0,13,68845,8869,2071,2069,8427,675,630398,372,455824,13,81410,1554,11742,5703,1774048,1008,1195,610,1323,344,3327,439,159,190,1458,2026,1637,12466,68311,1199,1033,1619,959,585,786,77,122,30,712,1023,2887,265,1282,535,1,12422,981,1749,1502,5082762,4543,18970,58858,567614,61826,631765,963194,137538,2247067,3957,1621,516257,712,13508,6086,408748,529456,364033,119803,13599,7484,225294,47851,372334,52562,196233,46142,46324,55080,45811,21003,12385,61188,1674,88,4040,454,7738424,37511,9998,867071,6185961,131246,971148,5909,619891,6444,30770,38217,25638,27,378251,1157568,18642,34648383,4257815,6137821,2084961,597161,1346670,5118576,91536,1727283,981767,1059309,255469,2,0,482310,161139,413524,183649,80722,257559,679625,21838,5829,375468,4941,484251,91709,9,44800,61997,2663034,92368,17971,40015,4,39584,62500,3902015,1,366751,3902,676859,158623,950643,152000,129796,822830,16450,3057,17487,4608,2790830,2,12428,13397,7091,214789,217400,287123,304612,1287393,8,479053,35538,463427,2243415,2835154,3684671,1169003,244387,1786839,9661865,100429,2790,13048,5623,3,6217,3733,549955,74031,1265228,23664,6402,269873,1234982,430839,20,23051,3038075,12823,5202958,568423,44170,865,51052,1212145,1068528,48709,16662,17493,26270,2145241,19828,26315,1,75935,718443,8921150,127756,3673839,742376,1469,5751,2816,7663,0,83,7376,4586,12035,14757,44,4,3107,10515239,49316351,401103,194556,6,434918,1323683,462219,0,10034,210327,139046
