,date,Afghanistan_nan,Albania_nan,Algeria_nan,Andorra_nan,Angola_nan,Antarctica_nan,Antigua and Barbuda_nan,Argentina_nan,Armenia_nan,Australia_Australian Capital Territory,Australia_New South Wales,Australia_Northern Territory,Australia_Queensland,Australia_South Australia,Australia_Tasmania,Australia_Victoria,Australia_Western Australia,Austria_nan,Azerbaijan_nan,Bahamas_nan,Bahrain_nan,Bangladesh_nan,Barbados_nan,Belarus_nan,Belgium_nan,Belize_nan,Benin_nan,Bhutan_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Botswana_nan,Brazil_nan,Brunei_nan,Bulgaria_nan,Burkina Faso_nan,Burma_nan,Burundi_nan,Cabo Verde_nan,Cambodia_nan,Cameroon_nan,Canada_Alberta,Canada_British Columbia,Canada_Diamond Princess,Canada_Grand Princess,Canada_Manitoba,Canada_New Brunswick,Canada_Newfoundland and Labrador,Canada_Northwest Territories,Canada_Nova Scotia,Canada_Nunavut,Canada_Ontario,Canada_Prince Edward Island,Canada_Quebec,Canada_Repatriated Travellers,Canada_Saskatchewan,Canada_Yukon,Central African Republic_nan,Chad_nan,Chile_nan,China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Macau,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Unknown,China_Xinjiang,China_Yunnan,China_Zhejiang,Colombia_nan,Comoros_nan,Congo (Brazzaville)_nan,Congo (Kinshasa)_nan,Costa Rica_nan,Cote d'Ivoire_nan,Croatia_nan,Cuba_nan,Cyprus_nan,Czechia_nan,Denmark_Faroe Islands,Denmark_Greenland,Denmark_nan,Diamond Princess_nan,Djibouti_nan,Dominica_nan,Dominican Republic_nan,Ecuador_nan,Egypt_nan,El Salvador_nan,Equatorial Guinea_nan,Eritrea_nan,Estonia_nan,Eswatini_nan,Ethiopia_nan,Fiji_nan,Finland_nan,France_French Guiana,France_French Polynesia,France_Guadeloupe,France_Martinique,France_Mayotte,France_New Caledonia,France_Reunion,France_Saint Barthelemy,France_Saint Pierre and Miquelon,France_St Martin,France_Wallis and Futuna,France_nan,Gabon_nan,Gambia_nan,Georgia_nan,Germany_nan,Ghana_nan,Greece_nan,Grenada_nan,Guatemala_nan,Guinea-Bissau_nan,Guinea_nan,Guyana_nan,Haiti_nan,Holy See_nan,Honduras_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Jamaica_nan,Japan_nan,Jordan_nan,Kazakhstan_nan,Kenya_nan,Kiribati_nan,"Korea, North_nan","Korea, South_nan",Kosovo_nan,Kuwait_nan,Kyrgyzstan_nan,Laos_nan,Latvia_nan,Lebanon_nan,Lesotho_nan,Liberia_nan,Libya_nan,Liechtenstein_nan,Lithuania_nan,Luxembourg_nan,MS Zaandam_nan,Madagascar_nan,Malawi_nan,Malaysia_nan,Maldives_nan,Mali_nan,Malta_nan,Marshall Islands_nan,Mauritania_nan,Mauritius_nan,Mexico_nan,Micronesia_nan,Moldova_nan,Monaco_nan,Mongolia_nan,Montenegro_nan,Morocco_nan,Mozambique_nan,Namibia_nan,Nepal_nan,Netherlands_Aruba,"Netherlands_Bonaire, Sint Eustatius and Saba",Netherlands_Curacao,Netherlands_Sint Maarten,Netherlands_nan,New Zealand_Cook Islands,New Zealand_nan,Nicaragua_nan,Niger_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Palau_nan,Panama_nan,Papua New Guinea_nan,Paraguay_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Romania_nan,Russia_nan,Rwanda_nan,Saint Kitts and Nevis_nan,Saint Lucia_nan,Saint Vincent and the Grenadines_nan,Samoa_nan,San Marino_nan,Sao Tome and Principe_nan,Saudi Arabia_nan,Senegal_nan,Serbia_nan,Seychelles_nan,Sierra Leone_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,Solomon Islands_nan,Somalia_nan,South Africa_nan,South Sudan_nan,Spain_nan,Sri Lanka_nan,Sudan_nan,Summer Olympics 2020_nan,Suriname_nan,Sweden_nan,Switzerland_nan,Syria_nan,Taiwan*_nan,Tajikistan_nan,Tanzania_nan,Thailand_nan,Timor-Leste_nan,Togo_nan,Tonga_nan,Trinidad and Tobago_nan,Tunisia_nan,Turkey_nan,Uganda_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_Anguilla,United Kingdom_Bermuda,United Kingdom_British Virgin Islands,United Kingdom_Cayman Islands,United Kingdom_Channel Islands,United Kingdom_Falkland Islands (Malvinas),United Kingdom_Gibraltar,United Kingdom_Guernsey,United Kingdom_Isle of Man,United Kingdom_Jersey,United Kingdom_Montserrat,"United Kingdom_Saint Helena, Ascension and Tristan da Cunha",United Kingdom_Turks and Caicos Islands,United Kingdom_nan,United States_nan,Uruguay_nan,Uzbekistan_nan,Vanuatu_nan,Venezuela_nan,Vietnam_nan,West Bank and Gaza_nan,Winter Olympics 2022_nan,Yemen_nan,Zambia_nan,Zimbabwe_nan
0,2021-07-25,6425,2456,4063,127,984,0,43,103721,4587,3,62,0,7,4,13,820,9,13126,5006,274,1383,19274,48,3394,25220,332,107,2,17651,9675,1375,550214,3,18194,169,7111,8,298,1283,1334,2322,1767,1,0,1172,46,7,0,93,4,9313,0,11240,0,578,6,98,174,35026,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,118868,147,176,1023,4941,324,8245,2351,400,30357,1,0,2542,13,155,0,3937,30797,16487,2558,123,33,1271,752,4369,186,996,170,145,278,102,174,0,266,1,0,30,7,110633,163,208,5688,91524,821,12898,1,10100,74,202,527,523,0,7594,30020,30,420967,83279,88800,18287,5026,6460,127949,1176,15127,9963,9077,3865,0,0,2077,2269,2284,2249,5,2550,7892,363,148,3375,58,4406,821,2,939,1480,7994,219,530,421,0,535,19,238424,0,6243,33,680,1624,9589,1282,2811,9713,109,17,126,34,17800,0,28,194,195,2132,5489,799,3753,23048,0,6759,192,14653,195890,27224,75242,17292,600,34268,151352,742,3,88,12,0,90,37,8167,1281,7104,79,118,37,12534,4428,0,796,69775,117,81221,4099,2776,0,631,14651,10782,1906,786,118,21,4059,26,146,0,1039,18600,50934,2557,55369,1920,0,33,25,2,0,0,94,17,29,69,1,0,18,129158,607018,5931,832,1,3492,370,3599,0,1373,3272,3094
1,2021-07-26,6477,2456,4087,127,991,0,43,104105,4590,3,66,0,7,4,13,820,9,13127,5009,284,1383,19521,48,3403,25228,333,107,2,17651,9677,1485,550839,3,18199,169,7507,8,298,1305,1334,2322,1768,1,0,1172,46,7,0,93,4,9316,0,11240,0,578,6,98,174,35119,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,119182,147,177,1023,4941,324,8247,2417,402,30357,1,0,2543,13,155,0,3937,31426,16494,2567,123,33,1271,759,4371,195,997,174,146,280,104,174,0,266,1,0,30,7,110670,163,208,5714,91527,823,12903,1,10112,74,205,530,527,0,7650,30020,30,421382,84766,89122,18347,5026,6461,127971,1178,15139,9971,9077,3872,0,0,2079,2269,2293,2261,5,2550,7894,363,148,3398,58,4406,822,2,940,1513,8201,219,531,421,0,538,19,238595,0,6245,33,688,1627,9611,1307,2834,9738,109,17,126,34,17801,0,28,194,195,2134,5491,799,3771,23087,0,6768,192,14701,195973,27247,75242,17301,600,34270,152069,757,3,88,12,0,90,37,8179,1286,7105,79,118,37,12534,4428,0,797,70018,118,81268,4147,2776,0,634,14651,10784,1908,786,119,21,4146,26,148,0,1043,18804,50997,2579,55381,1927,0,33,25,2,0,0,94,17,29,69,1,0,18,129172,607276,5936,839,1,3509,524,3599,0,1373,3295,3173
2,2021-07-27,6515,2456,4112,127,994,0,43,104352,4597,3,65,0,7,4,13,820,9,13130,5011,284,1383,19779,48,3413,25230,333,107,2,17716,9686,1485,552128,3,18203,169,7845,8,298,1324,1334,2325,1768,1,0,1172,46,7,0,93,4,9321,0,11240,0,578,6,98,174,35151,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,119482,147,177,1023,4987,326,8247,2492,405,30362,1,0,2546,13,155,0,3945,31426,16498,2577,123,33,1271,765,4374,206,999,177,147,280,104,174,0,266,1,0,30,7,110695,163,208,5731,91565,823,12911,1,10176,74,206,530,535,0,7713,30021,30,422022,86835,89479,18418,5026,6461,127995,1179,15151,9979,9077,3882,0,0,2083,2269,2298,2275,5,2552,7895,363,148,3422,58,4407,822,2,941,1540,8408,220,531,421,0,542,19,239079,0,6247,33,693,1627,9638,1341,2871,9758,109,17,126,34,17804,0,28,194,195,2134,5491,799,3788,23133,0,6781,192,14759,196058,27318,75249,17307,600,34273,152836,771,3,88,12,0,90,37,8189,1300,7108,79,119,37,12534,4428,0,798,70338,118,81323,4195,2776,0,638,14655,10787,1909,787,120,21,4264,26,148,0,1048,18968,51048,2590,55420,1929,0,33,25,2,0,0,94,17,29,69,1,0,18,129303,607727,5941,845,1,3524,524,3600,0,1374,3316,3280
3,2021-07-28,6577,2457,4161,127,1000,0,43,104822,4597,3,67,0,7,4,13,820,9,13132,5014,286,1383,20016,48,3424,25231,337,108,2,17754,9686,1485,553501,3,18205,169,8210,9,298,1339,1334,2325,1771,1,0,1175,46,7,0,93,4,9325,0,11240,0,578,6,98,174,35176,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,119801,147,177,1023,4997,326,8249,2560,411,30362,1,0,2547,13,155,0,3953,31487,16507,2587,123,34,1271,770,4376,218,1000,179,147,280,104,174,0,275,1,0,30,7,110728,163,212,5751,91586,823,12926,1,10224,74,208,530,537,0,7758,30025,30,422662,88659,89782,18484,5035,6462,128010,1182,15159,10000,9077,3895,0,0,2085,2269,2303,2288,6,2554,7897,363,148,3453,58,4407,822,2,942,1561,8551,220,531,423,0,547,19,239616,0,6250,33,701,1627,9665,1367,2927,9791,109,17,126,34,17812,0,28,195,195,2139,5491,799,3802,23209,0,6791,192,14820,196138,27401,75252,17320,601,34274,153620,776,3,88,12,0,90,37,8200,1307,7108,79,119,37,12534,4428,0,804,70908,118,81396,4258,2776,0,640,14655,10791,1911,787,121,21,4397,26,150,0,1056,19027,51124,2605,55449,1934,0,33,25,2,0,0,94,17,29,69,1,0,18,129430,608100,5950,853,1,3542,630,3601,0,1374,3338,3340
4,2021-07-29,6615,2457,4189,127,1003,0,43,105113,4604,3,67,0,7,4,13,820,9,13133,5019,286,1384,20255,48,3434,25235,337,108,2,17784,9686,1569,554842,3,18208,169,8552,9,298,1350,1334,2325,1771,1,0,1177,46,7,0,93,4,9328,0,11240,0,578,7,98,174,35295,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,120126,147,177,1023,5013,326,8250,2628,413,30363,1,0,2548,13,155,0,3956,31549,16514,2599,123,34,1272,772,4381,227,1001,184,148,280,104,174,0,275,1,0,30,7,110751,163,212,5768,91607,823,12935,1,10248,74,211,535,545,0,7793,30025,30,423217,90552,90074,18533,5035,6466,128029,1182,15173,10010,9077,3910,0,0,2089,2269,2309,2301,6,2554,7900,374,148,3469,58,4408,822,2,942,1588,8725,220,531,423,0,553,19,239997,0,6253,33,706,1629,9697,1388,2970,9807,110,17,126,34,17815,0,28,195,195,2141,5491,799,3814,23295,0,6798,192,14876,196214,27577,75257,17330,601,34275,154404,787,3,88,12,0,90,37,8200,1318,7110,79,120,37,12536,4428,0,809,71431,118,81442,4324,2776,0,643,14656,10793,1912,787,122,21,4562,26,150,0,1057,19336,51184,2632,55489,1939,0,33,31,2,0,0,94,17,29,69,1,0,18,129515,608420,5953,859,1,3558,1022,3601,0,1374,3355,3421
5,2021-07-30,6677,2457,4219,128,1008,0,43,105586,4608,3,68,0,7,4,13,820,9,13133,5022,286,1384,20467,48,3445,25241,337,108,2,17784,9687,1569,555727,3,18211,169,8942,9,298,1375,1334,2328,1771,1,0,1178,46,7,0,93,4,9339,0,11241,0,578,7,98,174,35366,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,120432,147,178,1023,5030,328,8254,2693,417,30363,1,0,2548,13,156,0,3956,31591,16518,2613,123,34,1272,779,4383,233,1005,185,148,280,104,174,0,275,1,0,30,7,110813,164,212,5793,91637,823,12948,1,10289,75,214,535,545,0,7834,30026,30,423810,92311,90344,18595,5035,6469,128047,1187,15182,10020,9077,3926,0,0,2095,2269,2314,2311,6,2556,7903,374,148,3509,58,4409,822,2,943,1614,8859,221,532,423,0,558,19,240456,0,6255,33,711,1629,9732,1407,2999,9834,110,17,126,34,17821,0,28,195,195,2149,5493,799,3814,23360,0,6808,192,14929,196214,27722,75259,17344,601,34278,155180,798,3,89,12,0,90,37,8200,1333,7112,79,120,37,12536,4428,0,809,71679,119,81486,4380,2776,0,645,14655,10793,1913,787,122,21,4679,26,152,0,1070,19503,51253,2661,55521,1943,0,33,31,2,0,0,94,17,29,69,1,0,18,129583,609304,5959,866,1,3576,1161,3601,0,1375,3376,3490
6,2021-07-31,6708,2457,4254,128,1011,0,43,105721,4614,3,68,0,7,4,13,820,9,13135,5023,287,1384,20685,48,3454,25241,337,108,2,17821,9687,1569,556676,3,18213,169,9334,9,298,1397,1334,2328,1771,1,0,1178,46,7,0,93,4,9345,0,11241,0,578,7,98,174,35448,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,120723,147,178,1038,5030,329,8259,2758,420,30373,2,0,2549,13,156,0,3963,31631,16524,2629,123,35,1272,787,4385,238,1005,185,149,280,104,174,0,275,1,0,30,7,110856,164,212,5820,91658,823,12965,1,10339,76,220,541,545,0,7834,30026,30,424351,94119,90630,18657,5035,6473,128063,1190,15191,10032,9077,3931,0,0,2098,2269,2320,2325,7,2556,7906,374,148,3509,58,4410,822,2,943,1635,9024,221,532,423,0,562,20,240906,0,6255,33,713,1630,9785,1434,3044,9857,110,17,126,34,17827,0,28,195,195,2149,5493,799,3814,23422,0,6823,192,14981,196353,27889,75261,17361,601,34281,155952,808,3,89,12,0,90,37,8237,1353,7114,79,120,37,12540,4429,0,811,72013,119,81486,4436,2776,0,649,14655,10793,1914,787,122,21,4857,26,152,0,1070,19686,51332,2690,55556,1949,0,33,31,2,0,0,94,17,29,69,1,0,18,129654,609472,5964,874,1,3591,1306,3603,0,1375,3389,3532
7,2021-08-01,6737,2457,4291,128,1016,0,43,105772,4619,3,69,0,7,4,13,820,9,13138,5027,287,1384,20916,48,3464,25241,337,108,2,17839,9687,1569,557091,3,18215,169,9731,9,298,1420,1334,2328,1771,1,0,1178,46,7,0,93,4,9347,0,11241,0,578,7,98,174,35528,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,120998,147,178,1038,5030,330,8263,2845,422,30374,2,0,2549,13,156,0,3963,31634,16528,2641,123,35,1272,798,4390,241,1006,185,149,280,104,174,0,275,1,0,30,7,110874,164,212,5853,91659,823,12975,1,10413,76,229,541,545,0,7834,30026,30,424773,95723,90996,18734,5035,6477,128068,1196,15196,10048,9077,3946,0,0,2099,2269,2328,2335,7,2556,7909,377,148,3548,58,4412,822,2,943,1661,9184,221,533,423,0,567,20,241034,0,6255,33,716,1630,9833,1462,3057,9875,110,17,127,34,17829,0,28,195,195,2149,5493,799,3850,23462,0,6833,192,15042,196438,28016,75261,17369,601,34286,156726,821,3,89,12,0,90,37,8249,1367,7118,86,120,37,12540,4429,0,813,72191,119,81486,4503,2776,0,651,14655,10794,1916,789,122,21,4990,26,153,0,1084,20067,51428,2696,55577,1951,0,33,31,2,0,0,94,17,29,69,1,0,18,129719,609694,5966,880,1,3607,1306,3604,0,1377,3406,3583
8,2021-08-02,6774,2457,4329,128,1018,0,43,106045,4621,3,69,0,7,4,13,820,9,13142,5030,287,1384,21162,48,3472,25247,337,108,2,17859,9689,1653,557635,3,18222,169,10061,38,298,1442,1334,2328,1771,1,0,1178,46,7,0,93,4,9348,0,11241,0,578,7,98,174,35616,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,121216,147,178,1038,5030,332,8266,2913,423,30374,2,0,2550,13,156,0,3963,31644,16535,2651,123,35,1272,806,4391,254,1006,187,153,283,129,174,0,275,1,0,30,7,110897,164,212,5876,91660,837,12983,1,10448,76,232,541,555,0,7902,30027,30,425195,97291,91407,18802,5035,6487,128088,1196,15207,10048,9077,3970,0,0,2104,2269,2339,2344,7,2556,7912,377,148,3579,58,4413,822,2,943,1685,9403,221,534,423,0,571,20,241279,0,6257,33,722,1631,9885,1479,3064,9898,111,17,127,34,17829,0,28,195,195,2160,5494,799,3868,23529,0,6842,192,15086,196518,28093,75261,17378,601,34291,157496,831,3,89,12,0,90,37,8249,1385,7122,86,120,38,12540,4429,0,819,72437,119,81643,4571,2776,0,652,14655,10794,1917,789,122,21,5168,26,154,0,1092,20226,51519,2710,55596,1956,0,33,31,2,0,0,94,17,30,69,1,0,18,129743,610040,5972,886,1,3623,1306,3609,0,1378,3412,3635
9,2021-08-03,6804,2457,4370,128,1022,0,43,106447,4621,3,71,0,7,4,13,820,9,13145,5034,291,1384,21397,48,3483,25251,338,108,2,17882,9689,1653,558872,3,18225,169,10373,38,298,1471,1334,2328,1772,1,0,1181,46,7,0,93,4,9349,0,11241,0,578,8,98,174,35640,6,9,6,1,2,8,2,2,6,7,13,22,212,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,121216,147,178,1045,5070,332,8267,2993,427,30378,2,0,2550,13,156,0,3968,31694,16540,2663,123,35,1273,813,4395,261,1009,189,154,283,129,174,0,288,1,0,30,7,110941,164,227,5910,91679,844,12997,1,10483,78,234,549,560,0,7902,30029,30,425757,98889,91785,18865,5035,6495,128115,1203,15217,10071,9077,3995,0,0,2106,2269,2345,2354,7,2556,7917,377,220,3609,58,4415,822,2,943,1700,9598,222,534,423,0,576,20,241936,0,6261,33,725,1631,9949,1500,3080,9922,111,17,127,34,17832,0,28,195,196,2163,5494,799,3877,23575,0,6851,192,15135,196598,28141,75265,17397,601,34297,158263,844,3,89,12,0,90,37,8249,1394,7127,91,120,38,12541,4429,0,828,72992,120,81773,4645,2776,0,654,14657,10796,1918,791,122,21,5315,26,155,0,1101,20226,51645,2725,55643,1960,0,33,31,2,0,0,94,18,30,69,1,0,18,129881,610620,5976,893,1,3637,2071,3609,0,1380,3422,3676
