date,region,min,max
2020/03/03,Australia_New South Wales,20.8,37.5
2020/03/03,Belgium_nan,3.8,8.2
2020/03/03,Canada_Ontario,-5.0,2.1
2020/03/03,China_Beijing,-5.0,9.2
2020/03/03,China_Guangdong,18.0,27.8
2020/03/03,China_Hong Kong,18.4,20.6
2020/03/03,China_Hubei,6.8,10.8
2020/03/03,China_Macau,18.2,21.0
2020/03/03,China_Shanghai,7.0,11.5
2020/03/03,Finland_nan,-4.2,1.5
2020/03/03,Finland_nan,-4.2,1.5
2020/03/03,France_nan,5.3,11.9
2020/03/03,Germany_nan,0.0,9.0
2020/03/03,India_nan,17.0,30.2
2020/03/03,Italy_nan,2.2,9.1
2020/03/03,Japan_nan,-1.8,5.1
2020/03/03,"Korea, South_nan",-2.0,6.2
2020/03/03,Malaysia_nan,22.7,28.2
2020/03/03,Netherlands_nan,4.4,6.8
2020/03/03,Norway_nan,-15.4,-0.5
2020/03/03,Philippines_nan,23.5,28.2
2020/03/03,Poland_nan,-0.7,8.8
2020/03/03,Portugal_nan,10.9,14.1
2020/03/03,Russia_nan,-11.5,-2.1
2020/03/03,Singapore_nan,26.5,30.5
2020/03/03,Spain_nan,10.1,16.5
2020/03/03,Sweden_nan,-7.0,-3.4
2020/03/03,Switzerland_nan,-3.8,-0.1
2020/03/03,Taiwan*_nan,3.1,9.7
2020/03/03,Turkey_nan,1.0,16.0
2020/03/03,United Kingdom_nan,-5.2,6.3
2020/03/03,United States_nan,0.4,15.9
2020/03/04,Australia_New South Wales,20.9,25.4
2020/03/04,Belgium_nan,4.9,8.4
2020/03/04,Canada_Ontario,-24.8,-4.8
2020/03/04,China_Beijing,-3.0,11.0
2020/03/04,China_Guangdong,13.4,21.0
2020/03/04,China_Hong Kong,17.1,18.5
2020/03/04,China_Hubei,11.5,14.5
2020/03/04,China_Macau,16.6,19.0
2020/03/04,China_Shanghai,3.7,15.5
2020/03/04,Finland_nan,-5.4,-0.9
2020/03/04,Finland_nan,-5.4,-0.9
2020/03/04,France_nan,3.1,6.1
2020/03/04,Germany_nan,4.0,6.0
2020/03/04,India_nan,17.0,32.0
2020/03/04,Italy_nan,4.4,13.0
2020/03/04,Japan_nan,-4.2,6.8
2020/03/04,"Korea, South_nan",-5.2,11.5
2020/03/04,Malaysia_nan,24.0,30.0
2020/03/04,Netherlands_nan,4.7,8.5
2020/03/04,Norway_nan,-16.1,-1.8
2020/03/04,Philippines_nan,23.7,26.5
2020/03/04,Poland_nan,2.4,6.0
2020/03/04,Portugal_nan,8.0,14.0
2020/03/04,Russia_nan,-19.1,-10.1
2020/03/04,Singapore_nan,26.5,31.5
2020/03/04,Spain_nan,6.5,14.4
2020/03/04,Sweden_nan,-11.2,2.4
2020/03/04,Switzerland_nan,-8.0,-3.0
2020/03/04,Taiwan*_nan,7.7,11.7
2020/03/04,Turkey_nan,9.0,15.0
2020/03/04,United Kingdom_nan,-4.1,5.3
2020/03/04,United States_nan,-0.3,16.8
2020/03/05,Australia_New South Wales,20.9,25.4
2020/03/05,Belgium_nan,4.9,8.4
2020/03/05,Canada_Ontario,-24.8,-4.8
2020/03/05,China_Beijing,-3.0,11.0
2020/03/05,China_Guangdong,13.4,21.0
2020/03/05,China_Hong Kong,17.1,18.5
2020/03/05,China_Hubei,11.5,14.5
2020/03/05,China_Macau,16.6,19.0
2020/03/05,China_Shanghai,3.7,15.5
2020/03/05,Finland_nan,-5.4,-0.9
2020/03/05,Finland_nan,-5.4,-0.9
2020/03/05,France_nan,3.1,6.1
2020/03/05,Germany_nan,4.0,6.0
2020/03/05,India_nan,17.0,32.0
2020/03/05,Italy_nan,4.4,13.0
2020/03/05,Japan_nan,-4.2,6.8
2020/03/05,"Korea, South_nan",-5.2,11.5
2020/03/05,Malaysia_nan,24.0,30.0
2020/03/05,Netherlands_nan,4.7,8.5
2020/03/05,Norway_nan,-16.1,-1.8
2020/03/05,Philippines_nan,23.7,26.5
2020/03/05,Poland_nan,2.4,6.0
2020/03/05,Portugal_nan,8.0,14.0
2020/03/05,Russia_nan,-19.1,-10.1
2020/03/05,Singapore_nan,26.5,31.5
2020/03/05,Spain_nan,6.5,14.4
2020/03/05,Sweden_nan,-11.2,2.4
2020/03/05,Switzerland_nan,-8.0,-3.0
2020/03/05,Taiwan*_nan,7.7,11.7
2020/03/05,Turkey_nan,9.0,15.0
2020/03/05,United Kingdom_nan,-4.1,5.3
2020/03/05,United States_nan,-0.3,16.8
2020/03/06,Australia_New South Wales,21.6,23.1
2020/03/06,Belgium_nan,5.5,7.7
2020/03/06,Canada_Ontario,-16.4,-5.8
2020/03/06,China_Beijing,-7.0,9.0
2020/03/06,China_Guangdong,12.8,19.7
2020/03/06,China_Hong Kong,15.8,18.3
2020/03/06,China_Hubei,9.0,16.5
2020/03/06,China_Macau,14.6,19.0
2020/03/06,China_Shanghai,3.7,11.5
2020/03/06,Finland_nan,-4.2,1.5
2020/03/06,Finland_nan,-4.2,1.5
2020/03/06,France_nan,5.3,11.9
2020/03/06,Germany_nan,0.0,9.0
2020/03/06,India_nan,17.0,30.2
2020/03/06,Italy_nan,2.2,9.1
2020/03/06,Japan_nan,-1.8,5.1
2020/03/06,"Korea, South_nan",-2.0,6.2
2020/03/06,Malaysia_nan,22.7,28.2
2020/03/06,Netherlands_nan,4.4,6.8
2020/03/06,Norway_nan,-15.4,-0.5
2020/03/06,Philippines_nan,23.5,28.2
2020/03/06,Poland_nan,-0.7,8.8
2020/03/06,Portugal_nan,10.9,14.1
2020/03/06,Russia_nan,-11.5,-2.1
2020/03/06,Singapore_nan,26.5,30.5
2020/03/06,Spain_nan,10.1,16.5
2020/03/06,Sweden_nan,-7.0,-3.4
