date,region,min,max
2020/04/18,Australia_New South Wales,17.6,26.8
2020/04/18,Belgium_nan,8.3,23.3
2020/04/18,Brazil_nan,19.4,25.0
2020/04/18,Canada_Ontario,-15.0,-2.9
2020/04/18,Canada_Quebec,-14.6,-10.0
2020/04/18,China_Beijing,10.0,22.2
2020/04/18,China_Guangdong,20.0,28.5
2020/04/18,China_Hong Kong,18.6,24.4
2020/04/18,China_Hubei,17.5,25.0
2020/04/18,China_Macau,21.0,24.3
2020/04/18,China_Shanghai,18.2,21.8
2020/04/18,Finland_nan,-1.7,1.1
2020/04/18,Finland_nan,-1.7,1.1
2020/04/18,France_nan,11.8,20.5
2020/04/18,Germany_nan,7.0,20.0
2020/04/18,India_nan,25.0,42.0
2020/04/18,Iran_nan,6.0,19.0
2020/04/18,Italy_nan,6.7,20.2
2020/04/18,Japan_nan,1.5,14.0
2020/04/18,"Korea, South_nan",9.3,18.0
2020/04/18,Malaysia_nan,24.0,33.8
2020/04/18,Netherlands_nan,8.7,20.0
2020/04/18,Norway_nan,-9.4,-1.7
2020/04/18,Philippines_nan,25.6,30.6
2020/04/18,Poland_nan,4.4,15.0
2020/04/18,Portugal_nan,13.3,18.4
2020/04/18,Russia_nan,1.0,9.0
2020/04/18,Singapore_nan,27.0,33.5
2020/04/18,Spain_nan,11.8,18.2
2020/04/18,Sweden_nan,1.7,7.8
2020/04/18,Switzerland_nan,9.7,19.7
2020/04/18,Taiwan*_nan,16.5,31.0
2020/04/18,Turkey_nan,3.4,17.2
2020/04/18,United Kingdom_nan,4.8,8.3
2020/04/18,United States_nan,3.6,13.3
2020/04/18,Vietnam_nan,24.0,31.0
