Italy_nan,United States_nan,Portugal_nan,Spain_nan,Netherlands_nan,France_nan,Belgium_nan,Poland_nan,United Kingdom_nan,Switzerland_nan,Germany_nan,Japan_nan,"Korea, South_nan",China_Hubei,China_Beijing,China_Guangdong,China_Shanghai,Australia_New South Wales,Canada_Ontario,China_Hong Kong,China_Macau,Finland_nan,India_nan,Malaysia_nan,Norway_nan,Philippines_nan,Russia_nan,Singapore_nan,Sweden_nan,Taiwan*_nan,Turkey_nan
11.0,5.0,7.0,7.0,-0.0,14.0,4.0,-0.0,7.0,-0.0,8.0,24.0,14.0,4533.0,111.0,257.0,82.0,11.0,1.0,15.0,7.0,2.0,17.0,10.0,-0.0,9.0,12.0,17.0,3.0,9.0,-0.0
14.0,5.0,6.0,6.0,-0.0,17.0,4.0,-0.0,5.0,-0.0,12.0,22.0,14.0,4101.0,141.0,354.0,126.0,15.0,1.0,18.0,7.0,2.0,18.0,16.0,-0.0,8.0,9.0,19.0,5.0,9.0,-0.0
7.0,5.0,9.0,9.0,-0.0,10.0,6.0,-0.0,5.0,-0.0,13.0,22.0,12.0,6014.0,141.0,443.0,140.0,13.0,1.0,17.0,7.0,1.0,17.0,17.0,-0.0,9.0,14.0,23.0,4.0,10.0,-0.0
10.0,8.0,11.0,11.0,-0.0,11.0,6.0,-0.0,10.0,-0.0,12.0,31.0,24.0,6605.0,161.0,533.0,170.0,16.0,3.0,20.0,7.0,3.0,14.0,15.0,-0.0,9.0,9.0,24.0,8.0,11.0,-0.0
10.0,9.0,6.0,7.0,-0.0,13.0,9.0,-0.0,10.0,-0.0,17.0,36.0,23.0,8341.0,192.0,643.0,207.0,11.0,3.0,17.0,7.0,3.0,15.0,17.0,-0.0,10.0,9.0,26.0,6.0,10.0,-0.0
15.0,9.0,13.0,14.0,-0.0,12.0,7.0,-0.0,9.0,-0.0,17.0,34.0,24.0,13640.0,223.0,738.0,212.0,16.0,3.0,21.0,8.0,5.0,16.0,20.0,-0.0,12.0,8.0,30.0,10.0,10.0,-0.0
14.0,13.0,17.0,18.0,-0.0,19.0,4.0,-0.0,12.0,-0.0,20.0,29.0,27.0,15863.0,238.0,832.0,232.0,11.0,3.0,19.0,8.0,3.0,22.0,19.0,-0.0,11.0,14.0,29.0,10.0,10.0,-0.0
14.0,12.0,13.0,14.0,-0.0,17.0,10.0,-0.0,10.0,-0.0,19.0,38.0,22.0,19527.0,245.0,918.0,245.0,15.0,3.0,20.0,10.0,7.0,18.0,20.0,-0.0,11.0,12.0,37.0,9.0,11.0,-0.0
13.0,12.0,9.0,10.0,-0.0,18.0,13.0,-0.0,12.0,-0.0,17.0,30.0,33.0,22384.0,269.0,997.0,265.0,11.0,3.0,25.0,10.0,6.0,17.0,23.0,-0.0,9.0,26.0,40.0,11.0,11.0,-0.0
18.0,11.0,11.0,11.0,-0.0,26.0,17.0,-0.0,13.0,-0.0,17.0,33.0,35.0,24723.0,297.0,1064.0,272.0,10.0,3.0,29.0,10.0,8.0,15.0,22.0,-0.0,10.0,7.0,36.0,11.0,18.0,-0.0
23.0,11.0,10.0,11.0,-0.0,20.0,7.0,-0.0,8.0,-0.0,22.0,41.0,31.0,27666.0,328.0,1123.0,296.0,10.0,3.0,28.0,10.0,2.0,16.0,24.0,-0.0,13.0,16.0,39.0,3.0,16.0,-0.0
19.0,11.0,6.0,7.0,-0.0,20.0,4.0,-0.0,9.0,-0.0,22.0,33.0,35.0,29489.0,342.0,1177.0,302.0,9.0,3.0,30.0,10.0,4.0,19.0,27.0,-0.0,11.0,24.0,39.0,7.0,18.0,-0.0
