date,region,min,max
28/03/2020,China_Hong Kong,16.4,18.6
29/03/2020,China_Hong Kong,17.5,20
28/03/2020,China_Hubei,6.3,9.2
29/03/2020,China_Hubei,6,12.9
28/03/2020,China_Hunan,7,8.1
29/03/2020,China_Hunan,7.2,11
22/01/2020,China_Inner Mongolia
28/03/2020,China_Inner Mongolia,2.8,11.7
29/03/2020,China_Inner Mongolia,2.2,9.4
28/03/2020,China_Jiangsu,5.6,7.8
29/03/2020,China_Jiangsu,6.1,10.6
28/03/2020,China_Jiangxi,7,8.5
29/03/2020,China_Jiangxi,7.8,11.5
28/03/2020,China_Jilin,-0.1,15
29/03/2020,China_Jilin,4,17
28/03/2020,China_Liaoning,0,15
29/03/2020,China_Liaoning,2,18
28/03/2020,China_Macau,16.4,18.6
29/03/2020,China_Macau,17.5,20
28/03/2020,United Kingdom_nan,3.6,8.9
29/03/2020,United Kingdom_nan,4.1,9.1
