date,region,min,max
2020/03/16,Australia_New South Wales,16,19.3
2020/03/16,Belgium_nan,7.1,13.2
2020/03/16,Canada_Ontario,-27.3,-6.6
2020/03/16,China_Beijing,2,18.0
2020/03/16,China_Guangdong,13.5,25.4
2020/03/16,China_Hong Kong,18.4,20.6
2020/03/16,China_Hubei,10.6,21.6
2020/03/16,China_Macau,18.2,23.0
2020/03/16,China_Shanghai,3.9,19.6
2020/03/16,Finland_nan,-11,3.2
2020/03/16,Finland_nan,-11,3.2
2020/03/16,France_nan,0.7,19.1
2020/03/16,Germany_nan,3,14.0
2020/03/16,India_nan,19,33.0
2020/03/16,Italy_nan,3.5,11.2
2020/03/16,Japan_nan,-1,7.5
2020/03/16,"Korea, South_nan",0.1,8.6
2020/03/16,Malaysia_nan,24,33.3
2020/03/16,Netherlands_nan,7.7,11.2
2020/03/16,Norway_nan,-5.1,3.0
2020/03/16,Philippines_nan,24.8,30.2
2020/03/16,Poland_nan,-5.5,8.8
2020/03/16,Portugal_nan,6.7,15.5
2020/03/16,Russia_nan,-0.2,2.9
2020/03/16,Singapore_nan,27,33.5
2020/03/16,Spain_nan,8.5,21.6
2020/03/16,Sweden_nan,-6.9,4.4
2020/03/16,Switzerland_nan,-4.2,3.3
2020/03/16,Taiwan*_nan,2.2,11.6
2020/03/16,Turkey_nan,2,19.0
2020/03/16,United Kingdom_nan,3.1,7.8
2020/03/16,United States_nan,3.1,7.1
2020/03/17,Australia_New South Wales,16.3,20.8
2020/03/17,Belgium_nan,4.5,11.7
2020/03/17,Canada_Ontario,-10.8,0.1
2020/03/17,China_Beijing,-3,12.5
2020/03/17,China_Guangdong,15.7,24.9
2020/03/17,China_Hong Kong,17.7,21.1
2020/03/17,China_Hubei,15,18.6
2020/03/17,China_Macau,18,21.4
2020/03/17,China_Shanghai,8.8,19.6
2020/03/17,Finland_nan,-3.7,2.2
2020/03/17,Finland_nan,-3.7,2.2
2020/03/17,France_nan,6.6,13.4
2020/03/17,Germany_nan,-1,17.0
2020/03/17,India_nan,20,33.8
2020/03/17,Italy_nan,2.1,13.3
2020/03/17,Japan_nan,-3.9,4.0
2020/03/17,"Korea, South_nan",-1.9,9.1
2020/03/17,Malaysia_nan,24,32.0
2020/03/17,Netherlands_nan,4,13.0
2020/03/17,Norway_nan,-4.4,1.6
2020/03/17,Philippines_nan,24.7,29.5
2020/03/17,Poland_nan,1.4,13.0
2020/03/17,Portugal_nan,4.5,13.0
2020/03/17,Russia_nan,-0.9,2.9
2020/03/17,Singapore_nan,27.5,33.0
2020/03/17,Spain_nan,4,11.7
2020/03/17,Sweden_nan,-4.2,3.6
2020/03/17,Switzerland_nan,2,5.3
2020/03/17,Taiwan*_nan,7.5,12.1
2020/03/17,Turkey_nan,-1,9.0
2020/03/17,United Kingdom_nan,0.5,6.6
2020/03/17,United States_nan,3.7,8.0
2020/03/18,Australia_New South Wales,16.3,20.8
2020/03/18,Belgium_nan,4.5,11.7
2020/03/18,Canada_Ontario,-10.8,0.1
2020/03/18,China_Beijing,-3,12.5
2020/03/18,China_Guangdong,15.7,24.9
2020/03/18,China_Hong Kong,17.7,21.1
2020/03/18,China_Hubei,15,18.6
2020/03/18,China_Macau,18,21.4
2020/03/18,China_Shanghai,8.8,19.6
2020/03/18,Finland_nan,-3.7,2.2
2020/03/18,Finland_nan,-3.7,2.2
2020/03/18,France_nan,6.6,13.4
2020/03/18,Germany_nan,-1,17.0
2020/03/18,India_nan,20,33.8
2020/03/18,Italy_nan,2.1,13.3
2020/03/18,Japan_nan,-3.9,4.0
2020/03/18,"Korea, South_nan",-1.9,9.1
2020/03/18,Malaysia_nan,24,32.0
2020/03/18,Netherlands_nan,4,13.0
2020/03/18,Norway_nan,-4.4,1.6
2020/03/18,Philippines_nan,24.7,29.5
2020/03/18,Poland_nan,1.4,13.0
2020/03/18,Portugal_nan,4.5,13.0
2020/03/18,Russia_nan,-0.9,2.9
2020/03/18,Singapore_nan,27.5,33.0
2020/03/18,Spain_nan,4,11.7
2020/03/18,Sweden_nan,-4.2,3.6
2020/03/18,Switzerland_nan,2,5.3
2020/03/18,Taiwan*_nan,7.5,12.1
2020/03/18,Turkey_nan,-1,9.0
2020/03/18,United Kingdom_nan,0.5,6.6
2020/03/18,United States_nan,3.7,8.0
2020/03/19,Australia_New South Wales,17.2,31.0
2020/03/19,Belgium_nan,3.9,12.9
2020/03/19,Canada_Ontario,-8.2,-2.0
2020/03/19,China_Beijing,8,18.0
2020/03/19,China_Guangdong,18,22.0
2020/03/19,China_Hong Kong,19.1,22.1
2020/03/19,China_Hubei,13.7,25.6
2020/03/19,China_Macau,18.9,22.0
2020/03/19,China_Shanghai,4.7,24.8
2020/03/19,Finland_nan,-4.7,4.7
2020/03/19,Finland_nan,-4.7,4.7
2020/03/19,France_nan,3,21.1
2020/03/19,Germany_nan,4,15.0
2020/03/19,India_nan,21,35.8
2020/03/19,Italy_nan,7.3,17.2
2020/03/19,Japan_nan,0.3,18.7
2020/03/19,"Korea, South_nan",2,15.6
2020/03/19,Malaysia_nan,24,31.3
2020/03/19,Netherlands_nan,7.9,10.9
2020/03/19,Norway_nan,-2.9,2.9
2020/03/19,Philippines_nan,24,29.4
2020/03/19,Poland_nan,4.9,16.0
2020/03/19,Portugal_nan,12,20.7
2020/03/19,Russia_nan,-7.9,-0.5
2020/03/19,Singapore_nan,25.8,33.5
2020/03/19,Spain_nan,7.7,17.5
2020/03/19,Sweden_nan,-0.5,5.1
2020/03/19,Switzerland_nan,2.4,7.9
2020/03/19,Taiwan*_nan,9.1,11.1
2020/03/19,Turkey_nan,-4.2,2.0
2020/03/19,United Kingdom_nan,-3.2,8.9
2020/03/19,United States_nan,13.2,24.2
2020/03/20,Australia_New South Wales,17.2,31.0
2020/03/20,Belgium_nan,3.9,12.9
2020/03/20,Canada_Ontario,-8.2,-2.0
2020/03/20,China_Beijing,8,18.0
2020/03/20,China_Guangdong,18,22.0
2020/03/20,China_Hong Kong,19.1,22.1
2020/03/20,China_Hubei,13.7,25.6
2020/03/20,China_Macau,18.9,22.0
2020/03/20,China_Shanghai,4.7,24.8
2020/03/20,Finland_nan,-4.7,4.7
2020/03/20,Finland_nan,-4.7,4.7
2020/03/20,France_nan,3,21.1
2020/03/20,Germany_nan,4,15.0
2020/03/20,India_nan,21,35.8
2020/03/20,Italy_nan,7.3,17.2
2020/03/20,Japan_nan,0.3,18.7
2020/03/20,"Korea, South_nan",2,15.6
2020/03/20,Malaysia_nan,24,31.3
2020/03/20,Netherlands_nan,7.9,10.9
2020/03/20,Norway_nan,-2.9,2.9
2020/03/20,Philippines_nan,24,29.4
2020/03/20,Poland_nan,4.9,16.0
2020/03/20,Portugal_nan,12,20.7
2020/03/20,Russia_nan,-7.9,-0.5
2020/03/20,Singapore_nan,25.8,33.5
2020/03/20,Spain_nan,7.7,17.5
2020/03/20,Sweden_nan,-0.5,5.1
2020/03/20,Switzerland_nan,2.4,7.9
2020/03/20,Taiwan*_nan,9.1,11.1
2020/03/20,Turkey_nan,-4.2,2.0
2020/03/20,United Kingdom_nan,-3.2,8.9
2020/03/20,United States_nan,13.2,24.2
2020/03/26,Australia_New South Wales,18.8,23.4
2020/03/26,Belgium_nan,-3.2,12.0
2020/03/26,Canada_Ontario,-8.3,3.9
