skill,role,level
"python","data engineer",2
"python","data engineer",3
"python","data engineer",4
"python","data engineer",5
"scala","data engineer",3
"scala","data engineer",4
"scala","data engineer",5
"java","data engineer",2
"java","data engineer",3
"java","data engineer",4
"java","data engineer",5
"c#","data engineer",2
"c#","data engineer",3
"c#","data engineer",4
"c#","data engineer",5
"closure","data engineer",3
"closure","data engineer",4
"closure","data engineer",5
"go","data engineer",3
"go","data engineer",4
"go","data engineer",5
"bigquery","data engineer",3
"bigquery","data engineer",4
"bigquery","data engineer",5
"big query","data engineer",3
"big query","data engineer",4
"big query","data engineer",5
"gcp","data engineer",3
"gcp","data engineer",4
"gcp","data engineer",5
"pub/sub","data engineer",3
"pub/sub","data engineer",4
"pub/sub","data engineer",5
"pubsub","data engineer",3
"pubsub","data engineer",4
"pubsub","data engineer",5
"dataflow","data engineer",3
"dataflow","data engineer",4
"dataflow","data engineer",5
"dataproc","data engineer",3
"dataproc","data engineer",4
"dataproc","data engineer",5
"dataprep","data engineer",3
"dataprep","data engineer",4
"dataprep","data engineer",5
"cloud functions","data engineer",3
"cloud functions","data engineer",4
"cloud functions","data engineer",5
"cloud spanner","data engineer",3
"cloud spanner","data engineer",4
"cloud spanner","data engineer",5
"cloud sql","data engineer",3
"cloud sql","data engineer",4
"cloud sql","data engineer",5
"google cloud platform","data engineer",3
"google cloud platform","data engineer",4
"google cloud platform","data engineer",5
"azure","data engineer",3
"azure","data engineer",4
"azure","data engineer",5
"microsoft azure","data engineer",3
"microsoft azure","data engineer",4
"microsoft azure","data engineer",5
"sql server","data engineer",3
"sql server","data engineer",4
"sql server","data engineer",5
"sqlserver","data engineer",3
"sqlserver","data engineer",4
"sqlserver","data engineer",5
"oracle","data engineer",3
"oracle","data engineer",4
"oracle","data engineer",5
"postgres","data engineer",3
"postgres","data engineer",4
"postgres","data engineer",5
"redshift","data engineer",3
"redshift","data engineer",4
"redshift","data engineer",5
"aws","data engineer",3
"aws","data engineer",4
"aws","data engineer",5
"aws lambda","data engineer",3
"aws lambda","data engineer",4
"aws lambda","data engineer",5
"aws pipelines","data engineer",3
"aws pipelines","data engineer",4
"aws pipelines","data engineer",5
"aws glue","data engineer",3
"aws glue","data engineer",4
"aws glue","data engineer",5
"aws aurora","data engineer",3
"aws aurora","data engineer",4
"aws aurora","data engineer",5
"aurora","data engineer",3
"aurora","data engineer",4
"aurora","data engineer",5
"serverless aurora","data engineer",3
"serverless aurora","data engineer",4
"serverless aurora","data engineer",5
"glue","data engineer",3
"glue","data engineer",4
"glue","data engineer",5
"athena","data engineer",3
"athena","data engineer",4
"athena","data engineer",5
"graph","data engineer",3
"graph","data engineer",4
"graph","data engineer",5
"neoj4","data engineer",3
"neoj4","data engineer",4
"neoj4","data engineer",5
"tigergraph","data engineer",3
"tigergraph","data engineer",4
"tigergraph","data engineer",5
"gremlin","data engineer",3
"gremlin","data engineer",4
"gremlin","data engineer",5
"gremlin graphql","data engineer",3
"gremlin graphql","data engineer",4
"gremlin graphql","data engineer",5
"confluent kafka","data engineer",3
"confluent kafka","data engineer",4
"confluent kafka","data engineer",5
"kafka","data engineer",3
"kafka","data engineer",4
"kafka","data engineer",5
"kafka developer","data engineer",3
"kafka developer","data engineer",4
"kafka developer","data engineer",5
"develop kafka","data engineer",3
"develop kafka","data engineer",4
"develop kafka","data engineer",5
"developing kafka","data engineer",3
"developing kafka","data engineer",4
"developing kafka","data engineer",5
"developed kafka","data engineer",3
"developed kafka","data engineer",4
"developed kafka","data engineer",5
"kinesis","data engineer",3
"kinesis","data engineer",4
"kinesis","data engineer",5
"teradata","data engineer",3
"teradata","data engineer",4
"teradata","data engineer",5
"big data","data engineer",3
"big data","data engineer",4
"big data","data engineer",5
"hadoop","data engineer",3
"hadoop","data engineer",4
"hadoop","data engineer",5
"hive","data engineer",3
"hive","data engineer",4
"hive","data engineer",5
"spark","data engineer",3
"spark","data engineer",4
"spark","data engineer",5
"solr","data engineer",3
"solr","data engineer",4
"solr","data engineer",5
"elasticsearch","data engineer",3
"elasticsearch","data engineer",4
"elasticsearch","data engineer",5
"cloudera","data engineer",3
"cloudera","data engineer",4
"cloudera","data engineer",5
"cdh","data engineer",3
"cdh","data engineer",4
"cdh","data engineer",5
"cdp","data engineer",3
"cdp","data engineer",4
"cdp","data engineer",5
"hortonworks","data engineer",3
"hortonworks","data engineer",4
"hortonworks","data engineer",5
"hdp","data engineer",3
"hdp","data engineer",4
"hdp","data engineer",5
"splunk","data engineer",3
"splunk","data engineer",4
"splunk","data engineer",5
"stackdriver","data engineer",3
"stackdriver","data engineer",4
"stackdriver","data engineer",5
"stackdriver","devops engineer",3
"stackdriver","devops engineer",4
"stackdriver","devops engineer",5
"terraform","devops engineer",3
"terraform","devops engineer",4
"terraform","devops engineer",5
"ansible","devops engineer",3
"ansible","devops engineer",4
"ansible","devops engineer",5
"puppet","devops engineer",3
"puppet","devops engineer",4
"puppet","devops engineer",5
"go","devops engineer",3
"go","devops engineer",4
"go","devops engineer",5
"bash","devops engineer",3
"bash","devops engineer",4
"bash","devops engineer",5
"red-hat","devops engineer",3
"red-hat","devops engineer",4
"read-hat","devops engineer",5
"centos","devops engineer",3
"centos","devops engineer",4
"centos","devops engineer",5
"debian","devops engineer",3
"debian","devops engineer",4
"debian","devops engineer",5
"scripting","devops engineer",3
"scripting","devops engineer",4
"scripting","devops engineer",5
"r","data scientist",3
"r","data scientist",4
"r","data scientist",5
"pyspark","data scientist",3
"pyspark","data scientist",4
"pyspark","data scientist",5
"pyspark.ml","data scientist",3
"pyspark.ml","data scientist",4
"pyspark.ml","data scientist",5
"mllib","data scientist",3
"mllib","data scientist",4
"mllib","data scientist",5
"python","data scientist",3
"python","data scientist",4
"pyhton","data scientist",5
"python keras","data scientist",3
"python keras","data scientist",4
"pyhton keras","data scientist",5
"keras","data scientist",3
"keras","data scientist",4
"keras","data scientist",5
"tensorflow","data scientist",3
"tensorflow","data scientist",4
"tensorflow","data scientist",5
"data mining","data scientist",3
"data mining","data scientist",4
"data mining","data scientist",5
"data science","data scientist",3
"data science","data scientist",4
"data science","data scientist",5
"chatbot","data scientist",4
"chatbot","data scientist",4
"chatbot","data scientist",5
"reinforcement learning","data scientist",3
"reinforcement learning","data scientist",4
"reinforcement learning","data scientist",5
"neural networks","data scientist",4
"neural networks","data scientist",4
"neural networks","data scientist",5
"lambda architecture","solution architect",5
"kappa architecture","solution architect",5
"team management","solution architect",5
"team management","solution architect",6
"managed a team","solution architect",5
"managed a team","solution architect",6
"togaf","solution architect",5
"archimate","solution architect",5
"domain driven design","solution architect",5
"ddd","solution architect",5
"soa","solution architect",5
"graphql","solution architect",5
"data integration","solution architect",5
"api","solution architect",5
"api management","solution architect",5
"kong","solution architect",5
"apigee","solution architect",5
"mulesoft","solution architect",5
"kubernetes","solution architect",5
"eks","solution architect",5
"aks","solution architect",5
"gke","solution architect",5
"k8S","solution architect",5
"istio","solution architect",5
"linkerd","solution architect",5
"envoy","solution architect",5
"kong mesh","solution architect",5
"node/java","solution architect",5
"node.js","solution architect",5
"influx","solution architect",5
"influxdb","solution architect",5
"druid","solution architect",5
"datastax","solution architect",5
"cassandra","solution architect",5
"redis","solution architect",5
"redis enterprise","solution architect",5
"ci/cd","solution architect",5
"oracle","data architect",5
"postgres","data architect",5
"redshift","data architect",5
"sql server","data architect",5
"big query","data architect",5 
"aws","data architect",5
"gcp","data architect",5
"azure","data architect",5
"graph","data architect",5
"neoj4","data architect",5
"tigergraph","data architect",5
"gremlin","data architect",5
"gremlin graphql","data architect",5
"ci/cd","data architect",5
